ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1963,1963-09-15,2,22.060,BUF,@,OAK,L 17-35,,6,11,54.55,36,0,1,23.3,0,0,3.27,-0.82,1,0,0.00,0,0,0,0,0,,0
2,1963,1963-09-22,3,22.067,BUF,,KAN,T 27-27,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,2,80,40.00,0
3,1963,1963-09-28,4,22.073,BUF,,HOU,L 20-31,,5,17,29.41,49,0,2,0.0,0,0,2.88,-2.41,1,-3,-3.00,0,0,0,3,115,38.33,0
4,1963,1963-10-05,5,22.080,BUF,,OAK,W 12-0,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,6,223,37.17,0
5,1963,1963-10-13,6,22.088,BUF,@,KAN,W 35-26,,0,0,,0,0,0,,0,0,,,1,5,5.00,0,0,0,3,133,44.33,0
6,1963,1963-10-20,7,22.095,BUF,@,HOU,L 14-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,7,274,39.14,0
7,1963,1963-10-26,8,22.101,BUF,,BOS,W 28-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,152,38.00,0
8,1963,1963-11-03,9,22.109,BUF,@,DEN,W 30-28,,9,17,52.94,211,2,0,137.1,0,0,12.41,14.76,3,3,1.00,0,0,0,2,103,51.50,0
9,1963,1963-11-09,10,22.115,BUF,,DEN,W 27-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,5,235,47.00,0
10,1963,1963-11-17,11,22.123,BUF,,SDG,L 13-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,4,134,33.50,0
11,1963,1963-12-01,12,22.137,BUF,@,BOS,L 7-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,9,324,36.00,0
12,1963,1963-12-08,13,22.144,BUF,,NYJ,W 45-14,*,10,16,62.50,115,1,0,104.9,0,0,7.19,8.44,3,3,1.00,0,0,0,2,93,46.50,0
13,1963,1963-12-14,14,22.150,BUF,@,NYJ,W 19-10,*,3,9,33.33,26,0,1,2.8,0,0,2.89,-2.11,0,0,,0,0,0,5,220,44.00,0
14,1964,1964-09-13,1,23.058,BUF,,KAN,W 34-17,,0,0,,0,0,0,,0,0,,,3,5,1.67,0,0,0,0,0,,0
15,1964,1964-09-20,2,23.065,BUF,,DEN,W 30-13,,2,5,40.00,58,0,0,83.7,0,0,11.60,11.60,6,47,7.83,1,1,6,0,0,,0
16,1964,1964-09-26,3,23.071,BUF,,SDG,W 30-3,,2,2,100.00,68,1,0,158.3,0,0,34.00,44.00,3,21,7.00,0,0,0,0,0,,0
17,1964,1964-10-03,4,23.078,BUF,,OAK,W 23-20,,7,10,70.00,164,1,0,145.8,0,0,16.40,18.40,2,2,1.00,1,1,6,0,0,,0
18,1964,1964-10-11,5,23.086,BUF,@,HOU,W 48-17,,2,3,66.67,27,0,0,95.1,0,0,9.00,9.00,2,6,3.00,0,0,0,0,0,,0
19,1964,1964-10-18,6,23.093,BUF,@,KAN,W 35-22,,1,2,50.00,20,0,1,45.8,0,0,10.00,-12.50,7,48,6.86,0,0,0,0,0,,0
20,1964,1964-10-24,7,23.099,BUF,,NYJ,W 34-24,,4,11,36.36,127,1,1,72.9,0,0,11.55,9.27,4,14,3.50,1,1,6,0,0,,0
21,1964,1964-11-01,8,23.107,BUF,,HOU,W 24-10,,5,11,45.45,69,0,2,26.5,0,0,6.27,-1.91,8,61,7.63,0,0,0,0,0,,0
22,1964,1964-11-08,9,23.114,BUF,@,NYJ,W 20-7,,11,24,45.83,267,1,1,83.2,0,0,11.13,10.08,2,-2,-1.00,0,0,0,0,0,,0
23,1964,1964-11-15,10,23.121,BUF,,BOS,L 28-36,,4,12,33.33,77,0,1,21.9,0,0,6.42,2.67,0,0,,0,0,0,0,0,,0
24,1964,1964-11-26,11,23.132,BUF,@,SDG,W 27-24,,4,7,57.14,40,0,0,73.5,0,0,5.71,5.71,6,6,1.00,1,1,6,0,0,,0
25,1964,1964-12-06,12,23.142,BUF,@,OAK,L 13-16,,7,18,38.89,131,1,1,60.2,0,0,7.28,5.89,6,48,8.00,0,0,0,0,0,,0
26,1964,1964-12-13,13,23.149,BUF,@,DEN,W 30-19,*,6,21,28.57,89,1,1,40.8,0,0,4.24,3.05,6,33,5.50,2,2,12,0,0,,0
27,1965,1965-09-11,1,24.056,BUF,,BOS,W 24-7,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,0,,0
28,1965,1965-09-19,2,24.064,BUF,@,DEN,W 30-15,,1,3,33.33,17,0,0,53.5,0,0,5.67,5.67,1,1,1.00,0,0,0,0,0,,0
29,1965,1965-09-26,3,24.071,BUF,,NYJ,W 33-21,,3,5,60.00,30,0,0,77.1,0,0,6.00,6.00,2,2,1.00,0,0,0,0,0,,0
30,1965,1965-10-10,5,24.085,BUF,,SDG,L 3-34,,8,14,57.14,60,0,2,28.0,0,0,4.29,-2.14,0,0,,0,0,0,0,0,,0
31,1965,1965-10-17,6,24.092,BUF,@,KAN,W 23-7,,1,4,25.00,30,1,1,58.3,0,0,7.50,1.25,2,-1,-0.50,0,0,0,0,0,,0
32,1965,1965-10-24,7,24.099,BUF,,DEN,W 31-13,,2,5,40.00,16,0,0,48.7,0,0,3.20,3.20,0,0,,0,0,0,0,0,,0
33,1965,1965-10-31,8,24.106,BUF,,HOU,L 17-19,,2,5,40.00,14,0,2,8.3,0,0,2.80,-15.20,1,10,10.00,0,0,0,0,0,,0
34,1965,1965-11-25,11,24.131,BUF,@,SDG,T 20-20,,1,2,50.00,4,0,0,56.2,0,0,2.00,2.00,1,1,1.00,1,1,6,0,0,,0
35,1965,1965-12-05,12,24.141,BUF,@,HOU,W 29-18,*,3,14,21.43,83,1,1,45.8,0,0,5.93,4.14,2,8,4.00,0,0,0,0,0,,0
36,1965,1965-12-19,14,24.155,BUF,@,NYJ,L 12-14,,8,16,50.00,122,1,0,96.4,0,0,7.63,8.88,1,9,9.00,0,0,0,0,0,,0
37,1966,1966-09-04,1,25.049,BUF,@,SDG,L 7-27,,5,7,71.43,76,0,0,106.8,0,0,10.86,10.86,0,0,,0,0,0,0,0,,0
38,1966,1966-09-11,2,25.056,BUF,,KAN,L 20-42,,5,17,29.41,43,0,0,39.6,0,0,2.53,2.53,0,0,,0,0,0,0,0,,0
39,1966,1966-09-18,3,25.063,BUF,,MIA,W 58-24,,4,7,57.14,103,1,1,101.8,0,0,14.71,11.14,0,0,,0,0,0,0,0,,0
40,1966,1966-09-25,4,25.070,BUF,,HOU,W 27-20,,0,0,,0,0,0,,0,0,,,3,7,2.33,0,0,0,0,0,,0
41,1966,1966-10-16,7,25.091,BUF,,SDG,T 17-17,,5,8,62.50,49,1,0,119.3,0,0,6.13,8.63,2,11,5.50,1,1,6,0,0,,0
42,1966,1966-11-06,9,25.112,BUF,@,MIA,W 29-0,,3,13,23.08,64,0,2,8.0,0,0,4.92,-2.00,0,0,,0,0,0,0,0,,0
43,1966,1966-11-20,11,25.126,BUF,@,HOU,W 42-20,,4,7,57.14,104,2,0,141.4,0,0,14.86,20.57,0,0,,0,0,0,0,0,,0
44,1966,1966-11-24,12,25.130,BUF,@,OAK,W 31-10,,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,0,,0
45,1966,1966-12-04,13,25.140,BUF,@,BOS,L 3-14,,6,15,40.00,91,0,0,60.7,0,0,6.07,6.07,4,-12,-3.00,0,0,0,0,0,,0
46,1966,1966-12-18,14,25.154,BUF,,DEN,W 38-21,,1,7,14.29,19,0,2,0.0,0,0,2.71,-10.14,0,0,,0,0,0,0,0,,0
47,1967,1967-09-10,1,26.055,OAK,,DEN,W 51-0,*,8,14,57.14,118,1,1,78.9,0,0,8.43,6.64,2,30,15.00,1,1,6,0,0,,0
48,1967,1967-09-17,2,26.062,OAK,,BOS,W 35-7,*,15,25,60.00,251,3,0,133.5,0,0,10.04,12.44,2,22,11.00,1,1,6,0,0,,0
49,1967,1967-10-01,3,26.076,OAK,,KAN,W 23-21,*,23,38,60.53,236,2,1,85.0,0,0,6.21,6.08,0,0,,0,0,0,0,0,,0
50,1967,1967-10-07,4,26.082,OAK,@,NYJ,L 14-27,*,16,38,42.11,176,2,4,34.4,0,0,4.63,0.95,2,8,4.00,0,0,0,0,0,,0
51,1967,1967-10-15,5,26.090,OAK,@,BUF,W 24-20,*,9,23,39.13,129,2,4,47.5,0,0,5.61,-0.48,1,1,1.00,0,0,0,0,0,,0
52,1967,1967-10-22,6,26.097,OAK,@,BOS,W 48-14,*,15,37,40.54,240,4,0,98.9,0,0,6.49,8.65,4,9,2.25,0,0,0,0,0,,0
53,1967,1967-10-29,7,26.104,OAK,,SDG,W 51-10,*,13,30,43.33,316,2,1,90.4,0,0,10.53,10.37,3,4,1.33,2,2,12,0,0,,0
54,1967,1967-11-05,8,26.111,OAK,@,DEN,W 21-17,*,15,39,38.46,167,2,1,58.4,0,0,4.28,4.15,1,0,0.00,0,0,0,0,0,,0
55,1967,1967-11-19,9,26.125,OAK,,MIA,W 31-17,*,21,33,63.64,292,3,2,97.0,0,0,8.85,7.94,3,11,3.67,0,0,0,0,0,,0
56,1967,1967-11-23,10,26.129,OAK,@,KAN,W 44-22,*,20,35,57.14,281,1,2,68.9,0,0,8.03,6.03,1,3,3.00,0,0,0,0,0,,0
57,1967,1967-12-03,11,26.139,OAK,@,SDG,W 41-21,*,21,34,61.76,349,4,0,135.5,0,0,10.26,12.62,0,0,,0,0,0,0,0,,0
58,1967,1967-12-10,12,26.146,OAK,@,HOU,W 19-7,*,23,35,65.71,286,0,1,79.0,0,0,8.17,6.89,0,0,,0,0,0,0,0,,0
59,1967,1967-12-17,13,26.153,OAK,,NYJ,W 38-29,*,16,32,50.00,336,3,2,92.7,0,0,10.50,9.56,2,-1,-0.50,0,0,0,0,0,,0
60,1967,1967-12-24,14,26.160,OAK,,BUF,W 28-21,*,5,12,41.67,51,1,1,47.6,0,0,4.25,2.17,1,23,23.00,0,0,0,0,0,,0
61,1968,1968-09-15,1,27.060,OAK,@,BUF,W 48-6,*,10,30,33.33,167,1,0,64.2,0,0,5.57,6.23,2,3,1.50,0,0,0,0,0,,0
62,1968,1968-09-21,2,27.066,OAK,@,MIA,W 47-21,*,15,24,62.50,344,4,0,145.8,0,0,14.33,17.67,1,11,11.00,0,0,0,0,0,,0
63,1968,1968-09-29,3,27.074,OAK,@,HOU,W 24-15,*,7,22,31.82,80,2,1,55.1,0,0,3.64,3.41,2,14,7.00,0,0,0,0,0,,0
64,1968,1968-10-06,4,27.081,OAK,,BOS,W 41-10,*,17,39,43.59,226,2,1,69.0,0,0,5.79,5.67,0,0,,0,0,0,0,0,,0
65,1968,1968-10-13,5,27.088,OAK,,SDG,L 14-23,*,13,32,40.63,229,1,2,50.1,0,0,7.16,4.97,2,5,2.50,0,0,0,0,0,,0
66,1968,1968-10-20,6,27.095,OAK,@,KAN,L 10-24,*,12,27,44.44,189,1,1,65.2,0,0,7.00,6.07,0,0,,0,0,0,0,0,,0
67,1968,1968-10-27,7,27.102,OAK,,CIN,W 31-10,*,17,31,54.84,205,3,1,94.2,0,0,6.61,7.10,1,13,13.00,0,0,0,0,0,,0
68,1968,1968-11-03,8,27.109,OAK,,KAN,W 38-21,*,18,32,56.25,352,2,0,115.6,0,0,11.00,12.25,2,19,9.50,1,1,6,0,0,,0
69,1968,1968-11-17,10,27.123,OAK,,NYJ,W 43-32,*,21,34,61.76,311,4,2,106.4,0,0,9.15,8.85,0,0,,0,0,0,0,0,,0
70,1968,1968-11-24,11,27.130,OAK,@,CIN,W 34-0,*,24,32,75.00,368,1,0,122.9,0,0,11.50,12.13,1,-5,-5.00,0,0,0,0,0,,0
71,1968,1968-11-28,12,27.134,OAK,,BUF,W 13-10,*,12,32,37.50,145,0,1,39.2,0,0,4.53,3.13,2,-1,-0.50,0,0,0,0,0,,0
72,1968,1968-12-08,13,27.144,OAK,,DEN,W 33-27,*,22,42,52.38,354,1,4,49.2,0,0,8.43,4.62,1,-2,-2.00,0,0,0,0,0,,0
73,1968,1968-12-15,14,27.151,OAK,@,SDG,W 34-27,*,18,39,46.15,275,3,2,74.2,0,0,7.05,6.28,5,41,8.20,0,0,0,0,0,,0
74,1969,1969-09-14,1,28.059,OAK,,HOU,W 21-17,*,10,31,32.26,148,1,3,20.0,0,0,4.77,1.06,2,-4,-2.00,0,0,0,0,0,,0
75,1969,1969-09-20,2,28.065,OAK,,MIA,W 20-17,*,23,42,54.76,270,1,3,52.7,0,0,6.43,3.69,1,0,0.00,0,0,0,0,0,,0
76,1969,1969-09-28,3,28.073,OAK,@,BOS,W 38-23,*,13,23,56.52,226,4,1,111.6,0,0,9.83,11.35,2,7,3.50,0,0,0,0,0,,0
77,1969,1969-10-04,4,28.079,OAK,@,MIA,T 20-20,*,19,43,44.19,215,2,1,65.6,0,0,5.00,4.88,0,0,,0,0,0,0,0,,0
78,1969,1969-10-12,5,28.087,OAK,@,DEN,W 24-14,*,19,37,51.35,253,3,0,100.4,0,0,6.84,8.46,1,9,9.00,0,0,0,0,0,,0
79,1969,1969-10-19,6,28.094,OAK,,BUF,W 50-21,*,21,36,58.33,313,6,1,114.9,0,0,8.69,10.78,1,12,12.00,0,0,0,0,0,,0
80,1969,1969-10-26,7,28.101,OAK,@,SDG,W 24-12,*,19,26,73.08,237,3,3,99.8,0,0,9.12,6.23,0,0,,0,0,0,0,0,,0
81,1969,1969-11-02,8,28.108,OAK,@,CIN,L 17-31,*,21,44,47.73,275,2,5,43.5,0,0,6.25,2.05,1,0,0.00,0,0,0,0,0,,0
82,1969,1969-11-09,9,28.115,OAK,,DEN,W 41-10,*,11,21,52.38,268,3,0,137.4,0,0,12.76,15.62,0,0,,0,0,0,0,0,,0
83,1969,1969-11-16,10,28.122,OAK,,SDG,W 21-16,*,15,29,51.72,235,2,3,62.4,0,0,8.10,4.83,0,0,,0,0,0,0,0,,0
84,1969,1969-11-23,11,28.129,OAK,@,KAN,W 27-24,*,9,24,37.50,142,1,0,71.9,0,0,5.92,6.75,0,0,,0,0,0,0,0,,0
85,1969,1969-11-30,12,28.136,OAK,@,NYJ,W 27-14,*,19,28,67.86,333,2,1,117.1,0,0,11.89,11.71,3,6,2.00,1,1,6,0,0,,0
86,1969,1969-12-07,13,28.143,OAK,,CIN,W 37-17,*,11,22,50.00,199,3,2,83.1,0,0,9.05,7.68,1,5,5.00,0,0,0,0,0,,0
87,1969,1969-12-13,14,28.149,OAK,,KAN,W 10-6,*,11,20,55.00,188,1,2,64.2,0,0,9.40,5.90,1,1,1.00,0,0,0,0,0,,0
88,1970,1970-09-20,1,29.065,OAK,@,CIN,L 21-31,*,17,36,47.22,265,2,2,67.5,2,0,7.36,5.97,2,-3,-1.50,0,0,0,0,0,,0
89,1970,1970-09-27,2,29.072,OAK,@,SDG,T 27-27,*,23,38,60.53,267,1,0,90.6,0,0,7.03,7.55,0,0,,0,0,0,0,0,,0
90,1970,1970-10-03,3,29.078,OAK,@,MIA,L 13-20,*,12,22,54.55,154,1,4,52.3,0,0,7.00,-0.27,2,4,2.00,0,0,0,0,0,,0
91,1970,1970-10-11,4,29.086,OAK,,DEN,W 35-23,*,20,37,54.05,364,4,1,112.9,2,0,9.84,10.78,0,0,,0,0,0,0,0,,0
92,1970,1970-10-19,5,29.094,OAK,,WAS,W 34-20,*,19,27,70.37,232,3,1,118.1,0,0,8.59,9.15,0,0,,0,0,0,0,0,,0
93,1970,1970-10-25,6,29.100,OAK,,PIT,W 31-14,*,3,5,60.00,46,1,0,130.0,0,0,9.20,13.20,0,0,,0,0,0,0,0,,0
94,1970,1970-11-01,7,29.107,OAK,@,KAN,T 17-17,*,13,28,46.43,125,2,0,83.2,2,0,4.46,5.89,0,0,,0,0,0,0,0,,0
95,1970,1970-11-08,8,29.114,OAK,,CLE,W 23-20,*,7,20,35.00,68,1,0,62.1,1,0,3.40,4.40,0,0,,0,0,0,0,0,,0
96,1970,1970-11-15,9,29.121,OAK,@,DEN,W 24-19,*,11,23,47.83,188,2,1,86.9,1,0,8.17,7.96,1,1,1.00,0,0,0,0,0,,0
97,1970,1970-11-22,10,29.128,OAK,,SDG,W 20-17,*,14,23,60.87,213,0,0,91.4,0,0,9.26,9.26,2,17,8.50,0,0,0,0,0,,0
98,1970,1970-11-26,11,29.132,OAK,@,DET,L 14-28,*,7,20,35.00,104,2,1,65.4,1,0,5.20,4.95,0,0,,0,0,0,0,0,,0
99,1970,1970-12-06,12,29.142,OAK,@,NYJ,W 14-13,*,13,39,33.33,169,1,2,35.1,1,0,4.33,2.54,0,0,,0,0,0,0,0,,0
100,1970,1970-12-12,13,29.148,OAK,,KAN,W 20-6,*,9,19,47.37,136,1,1,67.0,3,0,7.16,5.84,0,0,,0,0,0,0,0,,0
101,1970,1970-12-20,14,29.156,OAK,,SFO,L 7-38,*,11,19,57.89,185,1,2,68.9,2,0,9.74,6.05,1,5,5.00,0,0,0,0,0,,0
102,1971,1971-09-19,1,30.064,OAK,@,NWE,L 6-20,*,9,23,39.13,105,0,0,53.7,1,0,4.57,4.57,1,13,13.00,0,0,0,0,0,,0
103,1971,1971-09-26,2,30.071,OAK,@,SDG,W 34-0,*,11,17,64.71,162,2,0,134.9,1,0,9.53,11.88,1,0,0.00,0,0,0,0,0,,0
104,1971,1971-10-04,3,30.079,OAK,@,CLE,W 34-20,*,11,21,52.38,184,2,1,94.1,3,0,8.76,8.52,1,-3,-3.00,0,0,0,0,0,,0
105,1971,1971-10-10,4,30.085,OAK,@,DEN,W 27-16,*,1,5,20.00,-1,0,0,39.6,0,0,-0.20,-0.20,0,0,,0,0,0,0,0,,0
106,1971,1971-10-17,5,30.092,OAK,,PHI,W 34-10,,7,15,46.67,144,2,0,120.6,0,0,9.60,12.27,0,0,,0,0,0,0,0,,0
107,1971,1971-10-24,6,30.099,OAK,,CIN,W 31-27,*,7,13,53.85,93,1,1,70.4,3,0,7.15,5.23,0,0,,0,0,0,0,0,,0
108,1971,1971-10-31,7,30.106,OAK,,KAN,T 20-20,*,10,22,45.45,122,0,2,25.2,4,0,5.55,1.45,0,0,,0,0,0,0,0,,0
109,1971,1971-11-07,8,30.113,OAK,@,NOR,T 21-21,*,6,12,50.00,114,2,1,88.2,1,0,9.50,9.08,0,0,,0,0,0,0,0,,0
110,1971,1971-11-14,9,30.120,OAK,,HOU,W 41-21,*,7,12,58.33,167,2,2,102.8,1,0,13.92,9.75,0,0,,0,0,0,0,0,,0
111,1971,1971-11-21,10,30.127,OAK,,SDG,W 34-33,*,16,26,61.54,190,3,0,122.3,0,0,7.31,9.62,1,6,6.00,0,0,0,0,0,,0
112,1971,1971-11-28,11,30.134,OAK,,BAL,L 14-37,*,8,18,44.44,89,0,4,20.1,1,0,4.94,-5.06,0,0,,0,0,0,0,0,,0
113,1971,1971-12-05,12,30.141,OAK,@,ATL,L 13-24,*,12,31,38.71,130,1,2,35.7,1,0,4.19,1.94,0,0,,0,0,0,0,0,,0
114,1971,1971-12-12,13,30.148,OAK,@,KAN,L 14-16,*,5,9,55.56,36,0,0,65.0,1,0,4.00,4.00,0,0,,0,0,0,0,0,,0
115,1971,1971-12-19,14,30.155,OAK,,DEN,W 21-13,*,8,18,44.44,182,1,3,60.2,1,0,10.11,3.72,0,0,,0,0,0,0,0,,0
116,1972,1972-09-17,1,31.062,OAK,@,PIT,L 28-34,,8,10,80.00,172,2,0,158.3,0,0,17.20,21.20,2,15,7.50,0,0,0,0,0,,0
117,1972,1972-09-24,2,31.069,OAK,@,GNB,W 20-14,*,8,21,38.10,142,0,0,62.0,2,0,6.76,6.76,1,10,10.00,0,0,0,0,0,,0
118,1972,1972-10-01,3,31.076,OAK,,SDG,T 17-17,*,14,26,53.85,152,1,1,68.1,1,0,5.85,4.88,1,3,3.00,0,0,0,0,0,,0
119,1972,1972-10-09,4,31.084,OAK,@,HOU,W 34-0,*,12,26,46.15,166,2,0,92.8,3,0,6.38,7.92,0,0,,0,0,0,0,0,,0
120,1972,1972-10-15,5,31.090,OAK,,BUF,W 28-16,*,10,26,38.46,192,1,2,45.7,1,0,7.38,4.69,0,0,,0,0,0,0,0,,0
121,1972,1972-10-22,6,31.097,OAK,,DEN,L 23-30,*,8,15,53.33,64,0,0,64.3,0,0,4.27,4.27,0,0,,0,0,0,0,0,,0
122,1972,1972-10-29,7,31.104,OAK,,RAM,W 45-17,*,9,19,47.37,136,3,0,111.0,0,0,7.16,10.32,1,0,0.00,0,0,0,0,0,,0
123,1972,1972-11-05,8,31.111,OAK,@,KAN,L 14-27,*,9,15,60.00,74,0,1,44.9,1,0,4.93,1.93,0,0,,0,0,0,0,0,,0
124,1972,1972-11-12,9,31.118,OAK,@,CIN,W 20-14,*,13,24,54.17,99,0,1,47.0,1,0,4.13,2.25,3,5,1.67,0,0,0,0,0,,0
125,1972,1972-11-19,10,31.125,OAK,@,DEN,W 37-20,*,13,24,54.17,148,2,0,100.7,1,0,6.17,7.83,0,0,,0,0,0,0,0,,0
126,1972,1972-11-26,11,31.132,OAK,,KAN,W 26-3,*,14,21,66.67,174,2,1,104.1,1,0,8.29,8.05,2,0,0.00,0,0,0,0,0,,0
127,1972,1972-12-03,12,31.139,OAK,@,SDG,W 21-19,*,14,23,60.87,223,2,2,86.0,2,0,9.70,7.52,0,0,,0,0,0,0,0,,0
128,1972,1972-12-11,13,31.147,OAK,,NYJ,W 24-16,*,10,17,58.82,202,2,2,100.2,1,0,11.88,8.94,0,0,,0,0,0,0,0,,0
129,1972,1972-12-17,14,31.153,OAK,,CHI,W 28-21,*,7,14,50.00,54,1,2,44.0,0,0,3.86,-1.14,0,0,,0,0,0,0,0,,0
130,1973,1973-09-16,1,32.061,OAK,@,MIN,L 16-24,*,13,30,43.33,183,0,2,35.8,4,0,6.10,3.10,1,0,0.00,0,0,0,0,0,,0
131,1973,1973-09-23,2,32.068,OAK,,MIA,W 12-7,*,7,10,70.00,63,0,1,47.1,0,0,6.30,1.80,1,-3,-3.00,0,0,0,0,0,,0
132,1973,1973-09-30,3,32.075,OAK,@,KAN,L 3-16,*,4,12,33.33,53,0,1,13.5,3,0,4.42,0.67,0,0,,0,0,0,0,0,,0
133,1973,1973-10-22,6,32.097,OAK,@,DEN,T 23-23,,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,0,0,,0,0,0,0,0,,0
134,1973,1973-11-04,8,32.110,OAK,,NYG,W 42-0,,2,5,40.00,43,1,0,110.8,0,0,8.60,12.60,0,0,,0,0,0,0,0,,0
135,1973,1973-11-11,9,32.117,OAK,,PIT,L 9-17,,13,31,41.94,236,1,4,39.9,4,0,7.61,2.45,3,-4,-1.33,0,0,0,0,0,,0
136,1973,1973-11-25,11,32.131,OAK,,SDG,W 31-3,,1,2,50.00,14,0,0,72.9,0,0,7.00,7.00,0,0,,0,0,0,0,0,,0
137,1973,1973-12-08,13,32.144,OAK,,KAN,W 37-7,,1,2,50.00,13,0,0,70.8,0,0,6.50,6.50,0,0,,0,0,0,0,0,,0
138,1974,1974-10-06,4,33.081,OAK,@,CLE,W 40-24,,1,2,50.00,13,0,1,31.2,0,0,6.50,-16.00,1,-3,-3.00,0,0,0,0,0,,0
139,1974,1974-11-03,8,33.109,OAK,@,DEN,W 28-17,,,,,,,,,,,,,,,,,,,,,,
140,1974,1974-12-08,13,33.144,OAK,@,KAN,W 7-6,,2,7,28.57,22,1,3,40.2,3,0,3.14,-13.29,1,0,0.00,0,0,0,0,0,,0
141,1974,1974-12-14,14,33.150,OAK,,DAL,W 27-23,,,,,,,,,,,,,,,,,,,,,,
