ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1973,1973-09-16,1,29.237,CHI,,DAL,L 17-20,,,,,,,,
2,1973,1973-09-23,2,29.244,CHI,,MIN,L 13-22,,,,,1,0.0,0,0
3,1973,1973-09-30,3,29.251,CHI,@,DEN,W 33-14,,,,2,2,100.0,0,6
4,1973,1973-10-07,4,29.258,CHI,@,NOR,L 16-21,1,1,100.0,3,4,75.0,0,10
5,1973,1973-10-14,5,29.265,CHI,@,ATL,L 6-46,,1,0.0,,1,0.0,0,0
6,1973,1973-10-21,6,29.272,CHI,,NWE,L 10-13,1,1,100.0,1,1,100.0,0,4
7,1973,1973-10-28,7,29.279,CHI,,HOU,W 35-14,5,5,100.0,,2,0.0,0,5
8,1973,1973-11-12,9,29.294,CHI,@,KAN,L 7-19,1,1,100.0,,,,0,1
9,1973,1973-11-18,10,29.300,CHI,,DET,L 7-30,1,1,100.0,,,,0,1
10,1973,1973-11-25,11,29.307,CHI,@,MIN,L 13-31,1,1,100.0,2,3,66.7,0,7
11,1973,1973-12-02,12,29.314,CHI,,RAM,L 0-26,,,,,,,,
12,1973,1973-12-09,13,29.321,CHI,@,DET,L 7-40,1,1,100.0,,1,0.0,0,1
13,1973,1973-12-16,14,29.328,CHI,,GNB,L 0-21,,,,,1,0.0,0,0
14,1974,1974-09-15,1,30.236,CHI,,DET,W 17-9,2,2,100.0,1,1,100.0,0,5
15,1974,1974-09-22,2,30.243,CHI,,NYJ,L 21-23,3,3,100.0,,1,0.0,0,3
16,1974,1974-09-29,3,30.250,CHI,@,MIN,L 7-11,1,1,100.0,,,,0,1
17,1974,1974-10-06,4,30.257,CHI,,NOR,W 24-10,3,3,100.0,1,1,100.0,0,6
18,1974,1974-10-13,5,30.264,CHI,@,ATL,L 10-13,1,1,100.0,1,1,100.0,0,4
19,1974,1974-10-21,6,30.272,CHI,,GNB,W 10-9,1,1,100.0,1,1,100.0,0,4
20,1974,1974-10-27,7,30.278,CHI,@,BUF,L 6-16,,,,2,2,100.0,0,6
21,1974,1974-11-03,8,30.285,CHI,,MIN,L 0-17,,,,,,,,
22,1974,1974-11-10,9,30.292,CHI,@,GNB,L 3-20,,,,1,3,33.3,0,3
23,1974,1974-11-17,10,30.299,CHI,,SFO,L 0-34,,,,,1,0.0,0,0
24,1974,1974-11-24,11,30.306,CHI,@,DET,L 17-34,2,2,100.0,1,1,100.0,0,5
25,1974,1974-12-01,12,30.313,CHI,,NYG,W 16-13,1,1,100.0,1,1,100.0,0,4
26,1974,1974-12-08,13,30.320,CHI,@,SDG,L 21-28,3,3,100.0,,,,0,3
27,1974,1974-12-15,14,30.327,CHI,@,WAS,L 0-42,,,,,,,,
28,1976,1976-09-12,1,32.234,TAM,@,HOU,L 0-20,,,,,1,0.0,0,0
29,1976,1976-09-19,2,32.241,TAM,,SDG,L 0-23,,,,,2,0.0,0,0
