ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1964,1964-09-13,1,22.083,PIT,,RAM,L 14-26,1,14,14.00,0,1,10,10.00,0,0,0,,0,1,2,2.00,0,0,0,0
2,1964,1964-10-04,4,22.104,PIT,@,PHI,L 7-21,1,15,15.00,0,0,0,,0,0,0,,0,2,9,4.50,0,0,0,0
3,1964,1964-10-18,6,22.118,PIT,@,MIN,L 10-30,3,84,28.00,0,2,2,1.00,0,1,26,26.00,0,1,8,8.00,0,0,0,0
4,1964,1964-10-25,7,22.125,PIT,,PHI,L 10-34,1,32,32.00,0,1,0,0.00,0,0,0,,0,0,0,,0,0,0,0
5,1964,1964-11-22,11,22.153,PIT,@,NYG,W 44-17,0,0,,0,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0
6,1964,1964-11-29,12,22.160,PIT,,STL,L 20-21,0,0,,0,0,0,,0,0,0,,0,1,19,19.00,0,0,0,0
7,1964,1964-12-06,13,22.167,PIT,@,WAS,W 14-7,0,0,,0,0,0,,0,0,0,,0,4,18,4.50,0,0,0,0
8,1964,1964-12-13,14,22.174,PIT,@,DAL,L 14-17,0,0,,0,0,0,,0,0,0,,0,3,6,2.00,0,0,0,0
9,1965,1965-09-19,1,23.089,PIT,,GNB,L 9-41,1,18,18.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0
10,1965,1965-09-26,2,23.096,PIT,@,SFO,L 17-27,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0
11,1965,1965-10-03,3,23.103,PIT,,NYG,L 13-23,2,26,13.00,0,2,3,1.50,0,0,0,,0,0,0,,0,0,0,0
12,1965,1965-10-09,4,23.109,PIT,@,CLE,L 19-24,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0
13,1965,1965-10-17,5,23.117,PIT,,STL,L 7-20,1,24,24.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0
14,1965,1965-12-12,13,23.173,PIT,,PHI,L 13-47,3,34,11.33,0,0,0,,0,0,0,,0,0,0,,0,0,0,0
15,1965,1965-12-19,14,23.180,PIT,@,WAS,L 14-35,2,46,23.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0
16,1966,1966-09-25,3,24.095,PIT,,WAS,L 27-33,0,0,,0,0,0,,0,2,39,19.50,0,0,0,,0,0,0,0
17,1966,1966-10-30,7,24.130,PIT,@,DAL,L 21-52,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,9,0
18,1966,1966-11-06,8,24.137,PIT,,CLE,W 16-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0,0
19,1966,1966-11-13,9,24.144,PIT,,STL,W 30-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,35,0
20,1967,1967-09-17,1,25.087,PIT,,CHI,W 41-13,0,0,,0,0,0,,0,2,41,20.50,0,0,0,,0,0,0,0
21,1967,1967-09-24,2,25.094,PIT,,STL,L 14-28,0,0,,0,0,0,,0,2,52,26.00,0,0,0,,0,0,0,0
22,1967,1967-10-01,3,25.101,PIT,@,PHI,L 24-34,0,0,,0,0,0,,0,1,32,32.00,0,0,0,,0,0,0,0
