ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1959,1959-09-26,1,22.036,NYG,@,RAM,W 23-21,6,13,2.17,0,4,48,12.00,0,0,0,,0,0,,,,,,,,,,,,,,,0,,,,
2,1959,1959-10-04,2,22.044,NYG,@,PHI,L 21-49,5,13,2.60,0,2,42,21.00,0,0,0,,0,0,,,,,,,,,,,,,,,0,,,,
3,1959,1959-10-11,3,22.051,NYG,@,CLE,W 10-6,2,8,4.00,0,2,5,2.50,0,0,0,,0,0,,,,,,,,,,,,,,,0,,,,
4,1959,1959-10-18,4,22.058,NYG,,PHI,W 24-7,8,34,4.25,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,0,,,,
5,1959,1959-10-25,5,22.065,NYG,@,PIT,W 21-16,8,10,1.25,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,0,,,,
6,1959,1959-11-01,6,22.072,NYG,,GNB,W 20-3,11,38,3.45,0,4,33,8.25,0,0,0,,0,0,,,,,,,,,,,,,,,0,,,,
7,1959,1959-11-08,7,22.079,NYG,,CRD,W 9-3,2,5,2.50,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,0,,,,
8,1959,1959-11-15,8,22.086,NYG,,PIT,L 9-14,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,0,,,,
9,1959,1959-11-22,9,22.093,NYG,@,CRD,W 30-20,2,1,0.50,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,0,,,,
10,1959,1959-11-29,10,22.100,NYG,,WAS,W 45-14,9,22,2.44,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,0,,,,
11,1959,1959-12-06,11,22.107,NYG,,CLE,W 48-7,2,0,0.00,0,2,34,17.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,,,0,,,,
12,1959,1959-12-13,12,22.114,NYG,@,WAS,W 24-10,6,22,3.67,1,3,21,7.00,1,1,1,100.00,14,0,0,118.7,0,0,14.00,14.00,,,,,,,,,2,,,,
13,1960,1960-09-25,1,23.035,NYG,@,SFO,W 21-19,10,32,3.20,0,2,-2,-1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
14,1960,1960-10-02,2,23.042,NYG,@,STL,W 35-14,12,46,3.83,0,2,57,28.50,2,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12,0,0,0
15,1960,1960-10-09,3,23.049,NYG,@,PIT,W 19-17,7,32,4.57,0,3,53,17.67,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0,,0,0,0,0,0,0
16,1960,1960-10-16,4,23.056,NYG,,WAS,T 24-24,5,24,4.80,0,5,60,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
17,1960,1960-10-30,5,23.070,NYG,,STL,L 13-20,12,42,3.50,0,5,53,10.60,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
18,1960,1960-11-06,6,23.077,NYG,@,CLE,W 17-13,5,5,1.00,0,1,35,35.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
19,1960,1960-11-13,7,23.084,NYG,,PIT,W 27-24,9,30,3.33,0,2,16,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
20,1960,1960-11-20,8,23.091,NYG,,PHI,L 10-17,9,35,3.89,1,3,20,6.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0
21,1960,1960-11-27,9,23.098,NYG,@,PHI,L 23-31,17,54,3.18,0,1,17,17.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,0,0
