ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1986,1986-10-12,6,24.022,STL,@,TAM,W 30-19,,,,,,,,,,,
2,1986,1986-10-19,7,24.029,STL,@,WAS,L 21-28,,,,,,,,,,,
3,1986,1986-10-26,8,24.036,STL,@,DAL,L 6-37,,,,,,,,,,,
4,1986,1986-11-02,9,24.043,STL,,PHI,W 13-10,,,,,,,,,,,
5,1986,1986-11-09,10,24.050,STL,@,SFO,L 17-43,,,,,,,,,,,
6,1986,1986-11-16,11,24.057,STL,,NOR,L 7-16,,,,,,,,,,,
7,1986,1986-11-30,13,24.071,STL,,WAS,L 17-20,,,,,,,,,,,
8,1986,1986-12-07,14,24.078,STL,@,PHI,T 10-10,,,,,,,,,,,
9,1986,1986-12-14,15,24.085,STL,@,NYG,L 7-27,,,,,,,,,,,
10,1986,1986-12-21,16,24.092,STL,,TAM,W 21-17,,,,,,,,,,,
11,1987,1987-09-13,1,24.358,STL,,DAL,W 24-13,,,,,,,,,,,
12,1987,1987-09-20,2,25.000,STL,@,SDG,L 24-28,,,,,,,,,,,
13,1987,1987-10-25,6,25.035,STL,@,NYG,L 7-30,,,,,,,,,,,
14,1987,1987-11-01,7,25.042,STL,,PHI,L 23-28,,,,,,,,,,,
15,1987,1987-11-08,8,25.049,STL,,TAM,W 31-28,,,,,,,,,,,
16,1987,1987-11-15,9,25.056,STL,,RAM,L 24-27,,,,,,,,,,,
17,1987,1987-11-22,10,25.063,STL,@,PHI,W 31-19,,,,,,,,,,,
18,1987,1987-11-29,11,25.070,STL,@,ATL,W 34-21,,,,,,,,,,,
19,1987,1987-12-06,12,25.077,STL,,WAS,L 17-34,,,,,,,,,,,
20,1987,1987-12-13,13,25.084,STL,,NYG,W 27-24,,,,,,,,,,,
21,1987,1987-12-20,14,25.091,STL,@,TAM,W 31-14,,,,,,,,,,,
22,1987,1987-12-27,15,25.098,STL,@,DAL,L 16-21,,,,,,,,,,,
23,1988,1988-09-11,2,25.357,DEN,,SDG,W 34-3,,,,,,,,,,,
24,1988,1988-09-26,4,26.006,DEN,,RAI,L 27-30,,,,,,,,,,,
25,1988,1988-10-02,5,26.012,DEN,@,SDG,W 12-0,,,,,,,,,,,
26,1988,1988-10-09,6,26.019,DEN,@,SFO,W 16-13,,,,,,,,,,,
27,1988,1988-10-16,7,26.026,DEN,,ATL,W 30-14,,,,,,,,,,,
28,1988,1988-10-23,8,26.033,DEN,@,PIT,L 21-39,,,,,,,,,,,
29,1988,1988-10-31,9,26.041,DEN,@,IND,L 23-55,,,,,,,,,,,
30,1988,1988-11-06,10,26.047,DEN,,KAN,W 17-11,,,,,,,,,,,
31,1988,1988-11-13,11,26.054,DEN,,CLE,W 30-7,,,,,,,,,,,
