ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2012,2012-09-09,1,23.316,STL,@,DET,L 23-27,*,0,0,,0,0,0,0.0,4,2,1,34,0
2,2012,2012-09-16,2,23.323,STL,,WAS,W 31-28,*,0,0,,0,0,0,0.0,5,0,0,0,0
3,2012,2012-09-23,3,23.330,STL,@,CHI,L 6-23,*,0,0,,0,0,0,0.0,5,1,0,0,0
4,2012,2012-09-30,4,23.337,STL,,SEA,W 19-13,*,0,0,,0,0,0,0.0,2,1,0,0,0
5,2012,2012-10-04,5,23.341,STL,,ARI,W 17-3,*,3,22,7.33,0,0,0,0.0,3,1,0,0,0
6,2012,2012-10-14,6,23.351,STL,@,MIA,L 14-17,*,6,21,3.50,0,0,0,0.0,4,0,0,0,0
7,2012,2012-10-21,7,23.358,STL,,GNB,L 20-30,*,0,0,,0,0,0,0.0,7,1,0,0,0
8,2012,2012-10-28,8,23.365,STL,,NWE,L 7-45,*,0,0,,0,0,0,0.0,5,0,0,0,0
9,2012,2012-11-18,10,24.020,STL,,NYJ,L 13-27,*,0,0,,0,0,0,0.0,3,1,0,0,0
10,2012,2012-11-25,11,24.027,STL,@,ARI,W 31-17,*,0,0,,0,0,12,0.0,2,0,2,75,2
11,2012,2012-12-02,12,24.034,STL,,SFO,W 16-13,*,0,0,,0,0,6,0.0,4,1,0,0,0
12,2012,2012-12-09,13,24.041,STL,@,BUF,W 15-12,*,0,0,,0,0,0,0.0,5,1,0,0,0
13,2012,2012-12-16,14,24.048,STL,,MIN,L 22-36,,0,3,,0,0,0,0.0,8,0,0,0,0
14,2012,2012-12-23,15,24.055,STL,@,TAM,W 28-13,*,0,0,,0,0,6,0.0,6,0,1,41,1
15,2012,2012-12-30,16,24.062,STL,@,SEA,L 13-20,*,0,0,,0,0,0,0.0,1,0,0,0,0
16,2013,2013-09-08,1,24.314,STL,,ARI,W 27-24,*,0,0,,0,0,0,0.0,3,0,0,0,0
17,2013,2013-09-15,2,24.321,STL,@,ATL,L 24-31,*,0,0,,0,0,0,0.0,5,0,0,0,0
18,2013,2013-09-22,3,24.328,STL,@,DAL,L 7-31,*,0,0,,0,0,0,0.0,6,0,0,0,0
19,2013,2013-09-26,4,24.332,STL,,SFO,L 11-35,*,0,0,,0,0,0,0.0,3,2,0,0,0
20,2013,2013-10-06,5,24.342,STL,,JAX,W 34-20,*,0,0,,0,0,0,0.0,4,0,0,0,0
21,2013,2013-10-13,6,24.349,STL,@,HOU,W 38-13,*,0,0,,0,0,0,1.0,2,1,1,5,0
22,2013,2013-10-20,7,24.356,STL,@,CAR,L 15-30,*,0,0,,0,0,0,0.0,1,1,0,0,0
23,2013,2013-10-28,8,24.364,STL,,SEA,L 9-14,*,0,0,,0,0,0,0.0,3,1,0,0,0
24,2013,2013-11-03,9,25.005,STL,,TEN,L 21-28,*,0,0,,0,0,0,0.0,1,0,0,0,0
25,2013,2013-11-10,10,25.012,STL,@,IND,W 38-8,*,0,0,,0,0,0,0.0,5,1,0,0,0
26,2013,2013-11-24,11,25.026,STL,,CHI,W 42-21,*,0,0,,0,0,0,0.0,6,0,0,0,0
27,2013,2013-12-01,12,25.033,STL,@,SFO,L 13-23,*,0,0,,0,0,0,0.0,2,0,0,0,0
28,2013,2013-12-08,13,25.040,STL,@,ARI,L 10-30,*,0,0,,0,0,0,0.0,4,0,0,0,0
29,2013,2013-12-15,14,25.047,STL,,NOR,W 27-16,*,0,0,,0,0,0,0.0,6,0,0,0,0
30,2013,2013-12-22,15,25.054,STL,,TAM,W 23-13,*,0,0,,0,0,0,0.0,3,0,0,0,0
31,2013,2013-12-29,16,25.061,STL,@,SEA,L 9-27,*,,,,,,,,,,,,
32,2014,2014-09-07,1,25.313,STL,,MIN,L 6-34,*,0,0,,0,0,0,0.0,6,0,0,0,0
