ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1973,1973-09-16,1,23.248,SFO,@,MIA,L 13-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,264,44.00,0
2,1973,1973-09-23,2,23.255,SFO,@,DEN,W 36-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,276,46.00,0
3,1973,1973-09-30,3,23.262,SFO,,RAM,L 20-40,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,3,94,31.33,0
4,1973,1973-10-07,4,23.269,SFO,@,ATL,W 13-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,7,306,43.71,0
5,1973,1973-10-14,5,23.276,SFO,,MIN,L 13-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,1,47,47.00,0
6,1973,1973-10-21,6,23.283,SFO,,NOR,W 40-0,1,63,63.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,8,347,43.38,0
7,1973,1973-10-28,7,23.290,SFO,,ATL,L 3-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,8,359,44.88,0
8,1973,1973-11-04,8,23.297,SFO,@,DET,L 20-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,283,47.17,0
9,1973,1973-11-11,9,23.304,SFO,@,WAS,L 9-33,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,155,38.75,0
10,1973,1973-11-18,10,23.311,SFO,@,RAM,L 13-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,6,245,40.83,0
11,1973,1973-11-26,11,23.319,SFO,,GNB,W 20-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,216,43.20,0
12,1973,1973-12-02,12,23.325,SFO,,PHI,W 38-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,186,46.50,0
13,1973,1973-12-09,13,23.332,SFO,@,NOR,L 10-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,7,351,50.14,0
14,1973,1973-12-15,14,23.338,SFO,,PIT,L 14-37,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,8,326,40.75,0
15,1974,1974-09-15,1,24.247,SFO,@,NOR,W 17-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,2,112,56.00,0
16,1974,1974-09-22,2,24.254,SFO,@,ATL,W 16-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,3,79,26.33,0
17,1974,1974-09-29,3,24.261,SFO,,CIN,L 3-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,194,48.50,0
18,1974,1974-10-06,4,24.268,SFO,,STL,L 9-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,7,294,42.00,0
19,1974,1974-10-14,5,24.276,SFO,@,DET,L 13-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,226,45.20,0
20,1974,1974-10-20,6,24.282,SFO,@,RAM,L 14-37,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,5,239,47.80,0
21,1974,1974-10-27,7,24.289,SFO,,OAK,L 24-35,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,0,0,4,182,45.50,0
