ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1975,1975-09-22,1,21.206,OAK,@,MIA,W 31-21,0,0,,0,5,51,10.20,0,0,0,0.0,1,0,0
2,1975,1975-09-28,2,21.212,OAK,@,BAL,W 31-20,0,0,,0,4,104,26.00,0,0,0,0.0,1,38,0
3,1975,1975-10-05,3,21.219,OAK,@,SDG,W 6-0,0,0,,0,8,60,7.50,0,0,0,0.0,0,0,0
4,1975,1975-10-12,4,21.226,OAK,@,KAN,L 10-42,0,0,,0,3,56,18.67,0,0,0,0.0,1,0,0
5,1975,1975-10-19,5,21.233,OAK,@,CIN,L 10-14,0,0,,0,0,0,,0,0,0,0.0,1,0,0
6,1975,1975-10-26,6,21.240,OAK,,SDG,W 25-0,0,0,,0,4,63,15.75,0,0,0,0.0,0,0,0
7,1975,1975-11-02,7,21.247,OAK,@,DEN,W 42-17,0,0,,0,3,127,42.33,0,0,0,0.0,0,0,0
8,1975,1975-11-09,8,21.254,OAK,,NOR,W 48-10,0,0,,0,5,43,8.60,0,0,0,0.0,0,0,0
9,1975,1975-11-16,9,21.261,OAK,,CLE,W 38-17,0,0,,0,3,32,10.67,0,0,0,0.0,0,0,0
10,1975,1975-11-30,11,21.275,OAK,,ATL,W 37-34,0,0,,0,6,43,7.17,0,0,0,0.0,0,0,0
11,1975,1975-12-08,12,21.283,OAK,,DEN,W 17-10,0,0,,0,3,25,8.33,0,0,0,0.0,0,0,0
12,1975,1975-12-14,13,21.289,OAK,,HOU,L 26-27,0,0,,0,2,29,14.50,0,0,0,0.0,0,0,0
13,1975,1975-12-21,14,21.296,OAK,,KAN,W 28-20,0,0,,0,2,22,11.00,0,0,0,0.0,0,0,0
14,1976,1976-09-12,1,22.197,OAK,,PIT,W 31-28,0,0,,0,1,8,8.00,0,0,0,0.0,0,0,0
15,1976,1976-09-20,2,22.205,OAK,@,KAN,W 24-21,1,25,25.00,0,3,16,5.33,0,0,0,0.0,0,0,0
16,1976,1976-09-26,3,22.211,OAK,@,HOU,W 14-13,1,12,12.00,0,3,47,15.67,0,0,0,0.0,0,0,0
17,1976,1976-10-03,4,22.218,OAK,@,NWE,L 17-48,3,52,17.33,0,1,11,11.00,0,0,0,0.0,0,0,0
18,1976,1976-10-10,5,22.225,OAK,@,SDG,W 27-17,0,0,,0,4,62,15.50,0,0,0,0.0,0,0,0
19,1976,1976-10-17,6,22.232,OAK,@,DEN,W 17-10,0,0,,0,5,65,13.00,0,0,0,0.0,0,0,0
20,1976,1976-10-24,7,22.239,OAK,,GNB,W 18-14,0,0,,0,3,36,12.00,0,0,0,0.0,0,0,0
21,1976,1976-10-31,8,22.246,OAK,,DEN,W 19-6,0,0,,0,3,39,13.00,0,0,0,0.0,0,0,0
22,1976,1976-11-07,9,22.253,OAK,@,CHI,W 28-27,0,0,,0,3,16,5.33,0,0,0,0.0,0,0,0
23,1976,1976-11-14,10,22.260,OAK,,KAN,W 21-10,0,0,,0,3,45,15.00,0,0,0,0.0,0,0,0
24,1976,1976-11-21,11,22.267,OAK,@,PHI,W 26-7,1,26,26.00,0,4,35,8.75,0,0,0,0.0,0,0,0
25,1976,1976-11-28,12,22.274,OAK,,TAM,W 49-16,0,0,,0,4,21,5.25,0,0,0,0.0,0,0,0
26,1976,1976-12-06,13,22.282,OAK,,CIN,W 35-20,0,0,,0,3,33,11.00,0,0,0,0.0,0,0,0
27,1976,1976-12-12,14,22.288,OAK,,SDG,W 24-0,0,0,,0,1,14,14.00,0,0,0,0.0,0,0,0
28,1977,1977-09-18,1,23.202,OAK,,SDG,W 24-0,0,0,,0,2,27,13.50,0,0,0,0.0,0,0,0
29,1977,1977-09-25,2,23.209,OAK,@,PIT,W 16-7,0,0,,0,3,33,11.00,0,0,0,0.0,0,0,0
30,1977,1977-10-03,3,23.217,OAK,@,KAN,W 37-28,0,0,,0,5,61,12.20,0,0,0,0.0,0,0,0
31,1977,1977-10-09,4,23.223,OAK,@,CLE,W 26-10,,,,,,,,,,,,,,
32,1977,1977-10-16,5,23.230,OAK,,DEN,L 7-30,0,0,,0,4,36,9.00,0,0,0,0.0,0,0,0
33,1977,1977-10-23,6,23.237,OAK,@,NYJ,W 28-27,0,0,,0,1,11,11.00,0,0,0,0.0,2,0,0
34,1977,1977-10-30,7,23.244,OAK,@,DEN,W 24-14,0,0,,0,5,43,8.60,0,0,0,0.0,0,0,0
35,1977,1977-11-06,8,23.251,OAK,,SEA,W 44-7,0,0,,0,3,34,11.33,0,0,0,0.0,0,0,0
36,1977,1977-11-13,9,23.258,OAK,,HOU,W 34-29,0,0,,0,2,14,7.00,0,0,0,0.0,1,13,0
37,1977,1977-11-20,10,23.265,OAK,@,SDG,L 7-12,,,,,,,,,,,,,,
