ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1971,1971-09-19,1,22.098,PHI,@,CIN,L 14-37,2,2,100.0,,1,0.0,0,2
2,1971,1971-09-26,2,22.105,PHI,,DAL,L 7-42,1,1,100.0,,,,0,1
3,1971,1971-10-03,3,22.112,PHI,,SFO,L 3-31,,,,1,3,33.3,0,3
4,1971,1971-10-10,4,22.119,PHI,,MIN,L 0-13,,,,,3,0.0,0,0
5,1971,1971-10-17,5,22.126,PHI,@,OAK,L 10-34,1,1,100.0,1,2,50.0,0,4
6,1971,1971-10-24,6,22.133,PHI,,NYG,W 23-7,2,2,100.0,3,5,60.0,0,11
7,1971,1971-10-31,7,22.140,PHI,,DEN,W 17-16,2,2,100.0,1,1,100.0,0,5
8,1971,1971-11-07,8,22.147,PHI,@,WAS,T 7-7,1,1,100.0,,4,0.0,0,1
9,1971,1971-11-14,9,22.154,PHI,@,DAL,L 7-20,1,1,100.0,,1,0.0,0,1
10,1972,1972-11-12,9,23.152,NOR,@,ATL,L 20-36,2,2,100.0,2,2,100.0,0,8
11,1972,1972-11-19,10,23.159,NOR,@,DET,L 14-27,2,2,100.0,,,,0,2
12,1972,1972-11-26,11,23.166,NOR,,RAM,W 19-16,1,2,50.0,2,3,66.7,0,7
13,1972,1972-12-03,12,23.173,NOR,@,NYJ,L 17-18,2,2,100.0,1,2,50.0,0,5
14,1972,1972-12-10,13,23.180,NOR,,NWE,L 10-17,1,1,100.0,1,3,33.3,0,4
15,1972,1972-12-17,14,23.187,NOR,,GNB,L 20-30,2,2,100.0,,1,0.0,0,2
16,1973,1973-09-16,1,24.095,NOR,,ATL,L 7-62,1,1,100.0,,,,0,1
17,1973,1973-09-24,2,24.103,NOR,@,DAL,L 3-40,,,,1,3,33.3,0,3
18,1973,1973-09-30,3,24.109,NOR,@,BAL,L 10-14,1,1,100.0,1,2,50.0,0,4
19,1973,1973-10-07,4,24.116,NOR,,CHI,W 21-16,3,3,100.0,,4,0.0,0,3
20,1973,1973-10-14,5,24.123,NOR,,DET,W 20-13,2,2,100.0,2,2,100.0,0,8
21,1973,1973-10-21,6,24.130,NOR,@,SFO,L 0-40,,,,,1,0.0,0,0
