ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2002,2002-09-29,4,23.177,CAR,@,GNB,L 14-17,,,,,,,,,,,,,,
2,2002,2002-10-06,5,23.184,CAR,,ARI,L 13-16,,,,,,,,,,,,,,
3,2002,2002-10-13,6,23.191,CAR,@,DAL,L 13-14,,,,,,,,,,,,,,
4,2002,2002-10-20,7,23.198,CAR,@,ATL,L 0-30,,,,,,,,,,,,,,
5,2002,2002-10-27,8,23.205,CAR,,TAM,L 9-12,,,,,,,,,,,,,,
6,2002,2002-11-10,9,23.219,CAR,,NOR,L 24-34,,,,,,,,,,,,,,
7,2002,2002-11-17,10,23.226,CAR,@,TAM,L 10-23,,,,,,,,,,,,,,
8,2002,2002-11-24,11,23.233,CAR,,ATL,L 0-41,,,,,,,,,,,,,,
9,2002,2002-12-01,12,23.240,CAR,@,CLE,W 13-6,*,,,,,,,,,,,,,
10,2002,2002-12-08,13,23.247,CAR,,CIN,W 52-31,,,,,,,,,,,,,,
11,2002,2002-12-15,14,23.254,CAR,@,PIT,L 14-30,,,,,,,,,,,,,,
12,2002,2002-12-22,15,23.261,CAR,,CHI,W 24-14,,,,,,,,,,,,,,
13,2002,2002-12-29,16,23.268,CAR,@,NOR,W 10-6,,,,,,,,,,,,,,
14,2003,2003-09-07,1,24.155,CAR,,JAX,W 24-23,,,,,,,,,,,,,,
15,2003,2003-09-14,2,24.162,CAR,@,TAM,W 12-9,,,,,,,,,,,,,,
16,2003,2003-09-28,3,24.176,CAR,,ATL,W 23-3,,,,,,,,,,,,,,
17,2003,2003-10-05,4,24.183,CAR,,NOR,W 19-13,,,,,,,,,,,,,,
18,2003,2003-10-12,5,24.190,CAR,@,IND,W 23-20,,,,,,,,,,,,,,
19,2003,2003-10-19,6,24.197,CAR,,TEN,L 17-37,,,,,,,,,,,,,,
20,2003,2003-10-26,7,24.204,CAR,@,NOR,W 23-20,,,,,,,,,,,,,,
21,2003,2003-11-02,8,24.211,CAR,@,HOU,L 10-14,,,,,,,,,,,,,,
22,2003,2003-11-09,9,24.218,CAR,,TAM,W 27-24,,,,,,,,,,,,,,
23,2003,2003-11-16,10,24.225,CAR,,WAS,W 20-17,,,,,,,,,,,,,,
24,2003,2003-11-23,11,24.232,CAR,@,DAL,L 20-24,,,,,,,,,,,,,,
25,2003,2003-11-30,12,24.239,CAR,,PHI,L 16-25,,,,,,,,,,,,,,
26,2003,2003-12-07,13,24.246,CAR,@,ATL,L 14-20,,0,0,,0,0,0,,0,0,0,1.0,,
27,2003,2003-12-14,14,24.253,CAR,@,ARI,W 20-17,*,,,,,,,,,,,,,
28,2003,2003-12-21,15,24.260,CAR,,DET,W 20-14,,,,,,,,,,,,,,
29,2003,2003-12-28,16,24.267,CAR,@,NYG,W 37-24,,,,,,,,,,,,,,
30,2004,2004-10-10,4,25.188,CAR,@,DEN,L 17-20,,,,,,,,,,,,,,
31,2004,2004-10-17,5,25.195,CAR,@,PHI,L 8-30,,,,,,,,,,,,,,
32,2004,2004-10-24,6,25.202,CAR,,SDG,L 6-17,,,,,,,,,,,,,,
33,2004,2004-10-31,7,25.209,CAR,@,SEA,L 17-23,,,,,,,,,,,,,,
34,2004,2004-11-07,8,25.216,CAR,,OAK,L 24-27,,1,15,15.00,0,0,0,,0,0,0,0.0,,
35,2004,2004-11-14,9,25.223,CAR,@,SFO,W 37-27,,,,,,,,,,,,,,
36,2004,2004-11-21,10,25.230,CAR,,ARI,W 35-10,,,,,,,,,,,,,,
37,2004,2004-11-28,11,25.237,CAR,,TAM,W 21-14,,,,,,,,,,,,,,
38,2004,2004-12-05,12,25.244,CAR,@,NOR,W 32-21,,,,,,,,,,,,,,
39,2004,2004-12-12,13,25.251,CAR,,STL,W 20-7,,,,,,,,,,,,,,
40,2004,2004-12-18,14,25.257,CAR,@,ATL,L 31-34,,,,,,,,,,,,,,
41,2004,2004-12-26,15,25.265,CAR,@,TAM,W 37-20,,,,,,,,,,,,,,
42,2004,2005-01-02,16,25.272,CAR,,NOR,L 18-21,,,,,,,,,,,,,,
