ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2009,2009-09-27,3,27.240,MIA,@,SDG,L 13-23,,,0,0,0.0,0,0,0,0,0
2,2009,2009-10-04,4,27.247,MIA,,BUF,W 38-10,,,0,0,2.5,5,1,0,0,0
3,2009,2009-10-12,5,27.255,MIA,,NYJ,W 31-27,,,,,,,,,,
4,2009,2009-10-25,6,27.268,MIA,,NOR,L 34-46,,,0,0,0.0,0,0,0,0,0
5,2009,2009-11-01,7,27.275,MIA,@,NYJ,W 30-25,,,0,0,0.0,0,1,0,0,0
6,2009,2009-11-08,8,27.282,MIA,@,NWE,L 17-27,,,0,0,1.0,1,0,0,0,0
7,2009,2009-11-15,9,27.289,MIA,,TAM,W 25-23,,,0,0,1.0,2,0,0,0,0
8,2009,2009-11-19,10,27.293,MIA,@,CAR,W 24-17,,,0,0,0.0,0,0,0,0,0
9,2009,2009-11-29,11,27.303,MIA,@,BUF,L 14-31,,,0,0,0.0,0,1,0,0,0
10,2009,2009-12-06,12,27.310,MIA,,NWE,W 22-21,,,0,0,0.0,0,0,0,0,0
11,2009,2009-12-13,13,27.317,MIA,@,JAX,W 14-10,,,0,0,1.0,1,0,0,0,0
12,2009,2009-12-20,14,27.324,MIA,@,TEN,L 24-27,,,0,0,0.0,0,0,0,0,0
13,2009,2009-12-27,15,27.331,MIA,,HOU,L 20-27,,,0,0,0.0,1,0,0,0,0
14,2009,2010-01-03,16,27.338,MIA,,PIT,L 24-30,*,,0,0,0.0,0,0,0,0,0
15,2010,2010-09-12,1,28.225,MIA,@,BUF,W 15-10,*,,0,0,1.0,3,0,0,0,0
16,2010,2010-09-19,2,28.232,MIA,@,MIN,W 14-10,*,,0,0,1.0,2,2,0,0,0
17,2010,2010-09-26,3,28.239,MIA,,NYJ,L 23-31,*,,0,0,0.0,1,0,0,0,0
18,2010,2010-10-04,4,28.247,MIA,,NWE,L 14-41,*,,0,0,1.0,4,1,0,0,0
19,2010,2010-10-17,5,28.260,MIA,@,GNB,W 23-20,*,,0,0,3.0,3,0,0,0,0
20,2010,2010-10-24,6,28.267,MIA,,PIT,L 22-23,*,,0,0,0.5,3,1,0,0,0
21,2010,2010-10-31,7,28.274,MIA,@,CIN,W 22-14,*,,0,0,0.0,1,2,0,0,0
22,2010,2010-11-07,8,28.281,MIA,@,BAL,L 10-26,*,,0,0,2.0,8,0,0,0,0
23,2010,2010-11-14,9,28.288,MIA,,TEN,W 29-17,*,,0,0,0.0,0,1,0,0,0
24,2010,2010-11-18,10,28.292,MIA,,CHI,L 0-16,*,,0,0,1.0,6,0,0,0,0
25,2010,2010-11-28,11,28.302,MIA,@,OAK,W 33-17,*,,0,0,1.0,2,0,0,0,0
26,2010,2010-12-05,12,28.309,MIA,,CLE,L 10-13,*,,0,0,1.5,3,1,0,0,0
27,2010,2010-12-12,13,28.316,MIA,@,NYJ,W 10-6,*,,0,0,2.0,5,0,0,0,0
28,2010,2010-12-19,14,28.323,MIA,,BUF,L 14-17,*,,0,0,0.0,2,0,0,0,0
29,2010,2010-12-26,15,28.330,MIA,,DET,L 27-34,*,,0,0,0.0,2,0,0,0,0
30,2010,2011-01-02,16,28.337,MIA,@,NWE,L 7-38,*,,0,0,0.0,3,1,0,0,0
31,2011,2011-09-12,1,29.225,MIA,,NWE,L 24-38,*,,0,0,1.0,3,0,0,0,0
32,2011,2011-09-18,2,29.231,MIA,,HOU,L 13-23,*,,0,0,1.0,2,1,0,0,0
33,2011,2011-09-25,3,29.238,MIA,@,CLE,L 16-17,*,,0,0,0.0,0,0,0,0,0
34,2011,2011-10-02,4,29.245,MIA,@,SDG,L 16-26,*,,0,0,1.0,3,0,0,0,0
35,2011,2011-10-17,5,29.260,MIA,@,NYJ,L 6-24,*,,0,0,0.0,2,0,0,0,0
36,2011,2011-10-23,6,29.266,MIA,,DEN,L 15-18,*,,0,0,2.0,4,0,0,0,0
37,2011,2011-10-30,7,29.273,MIA,@,NYG,L 17-20,*,,0,0,0.0,2,0,0,0,0
38,2011,2011-11-06,8,29.280,MIA,@,KAN,W 31-3,*,,0,0,0.5,2,1,0,0,0
39,2011,2011-11-13,9,29.287,MIA,,WAS,W 20-9,*,,0,0,0.0,1,0,0,0,0
40,2011,2011-11-20,10,29.294,MIA,,BUF,W 35-8,,,0,0,0.0,1,0,0,0,0
41,2011,2011-11-24,11,29.298,MIA,@,DAL,L 19-20,*,,0,0,1.0,4,0,0,0,0
42,2011,2011-12-04,12,29.308,MIA,,OAK,W 34-14,*,,0,0,0.0,0,1,0,0,0
43,2011,2011-12-11,13,29.315,MIA,,PHI,L 10-26,,,0,0,0.0,4,1,0,0,0
44,2011,2011-12-18,14,29.322,MIA,@,BUF,W 30-23,*,,0,0,1.0,6,1,0,0,0
45,2011,2011-12-24,15,29.328,MIA,@,NWE,L 24-27,*,,0,0,1.0,2,0,0,0,0
46,2011,2012-01-01,16,29.336,MIA,,NYJ,W 19-17,*,,0,0,0.0,1,0,0,0,0
47,2012,2012-09-09,1,30.223,MIA,@,HOU,L 10-30,*,,0,0,0.0,2,1,0,0,0
48,2012,2012-09-16,2,30.230,MIA,,OAK,W 35-13,*,,0,0,0.0,1,0,0,0,0
49,2012,2012-09-23,3,30.237,MIA,,NYJ,L 20-23,*,,0,0,0.0,4,1,0,0,0
50,2012,2012-09-30,4,30.244,MIA,@,ARI,L 21-24,*,,0,0,4.5,4,1,0,0,0
51,2012,2012-10-07,5,30.251,MIA,@,CIN,W 17-13,*,,0,0,1.0,2,3,0,0,0
52,2012,2012-10-14,6,30.258,MIA,,STL,W 17-14,*,,0,0,1.0,3,0,0,0,0
53,2012,2012-10-28,7,30.272,MIA,@,NYJ,W 30-9,*,,0,0,1.0,1,0,0,0,0
54,2012,2012-11-04,8,30.279,MIA,@,IND,L 20-23,*,,0,0,1.0,4,0,0,0,0
55,2012,2012-11-11,9,30.286,MIA,,TEN,L 3-37,*,,0,0,0.0,1,1,0,0,0
56,2012,2012-11-15,10,30.290,MIA,@,BUF,L 14-19,*,,0,0,1.0,2,3,0,0,0
57,2012,2012-11-25,11,30.300,MIA,,SEA,W 24-21,*,,0,0,0.0,1,0,0,0,0
58,2012,2012-12-02,12,30.307,MIA,,NWE,L 16-23,*,,0,0,1.5,2,1,0,0,0
59,2012,2012-12-09,13,30.314,MIA,@,SFO,L 13-27,*,,0,0,3.0,6,0,0,0,0
60,2012,2012-12-16,14,30.321,MIA,,JAX,W 24-3,*,,0,0,0.0,1,1,0,0,0
61,2012,2012-12-23,15,30.328,MIA,,BUF,W 24-10,*,,0,0,1.0,3,0,0,0,0
62,2012,2012-12-30,16,30.335,MIA,@,NWE,L 0-28,*,,0,0,0.0,1,3,0,0,0
63,2013,2013-09-08,1,31.221,MIA,@,CLE,W 23-10,*,,0,0,2.5,2,2,0,0,0
64,2013,2013-09-15,2,31.228,MIA,@,IND,W 24-20,*,,0,0,0.0,0,1,0,0,0
65,2013,2013-09-22,3,31.235,MIA,,ATL,W 27-23,*,,,,,,,,,
66,2013,2013-10-06,5,31.249,MIA,,BAL,L 23-26,*,,,,,,,,,
67,2013,2013-10-20,6,31.263,MIA,,BUF,L 21-23,*,,0,0,0.0,1,0,0,0,0
68,2013,2013-10-27,7,31.270,MIA,@,NWE,L 17-27,*,,0,0,0.0,1,1,0,0,0
69,2013,2013-10-31,8,31.274,MIA,,CIN,W 22-20,*,1,0,2,3.0,5,0,0,0,0
70,2013,2013-11-11,9,31.285,MIA,@,TAM,L 19-22,*,,0,0,0.0,2,0,0,0,0
71,2013,2013-11-17,10,31.291,MIA,,SDG,W 20-16,*,,0,0,1.0,4,0,0,0,0
72,2013,2013-11-24,11,31.298,MIA,,CAR,L 16-20,*,,0,0,0.0,2,0,0,0,0
73,2013,2013-12-01,12,31.305,MIA,@,NYJ,W 23-3,*,,0,0,0.0,1,3,0,0,0
74,2013,2013-12-08,13,31.312,MIA,@,PIT,W 34-28,*,,0,0,1.0,3,0,0,0,0
75,2013,2013-12-15,14,31.319,MIA,,NWE,W 24-20,*,,0,0,1.0,3,0,0,0,0
76,2013,2013-12-22,15,31.326,MIA,@,BUF,L 0-19,*,,0,0,0.0,3,1,0,0,0
77,2013,2013-12-29,16,31.333,MIA,,NYJ,L 7-20,*,,0,0,0.0,1,1,0,0,0
