ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1970,1970-09-21,1,24.008,NYJ,@,CLE,L 21-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,9,9.00,0,0,0
2,1970,1970-09-27,2,24.014,NYJ,@,BOS,W 31-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,0,0,,0,0,0
3,1970,1970-10-04,3,24.021,NYJ,@,BUF,L 31-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,28,28.00,0,0,0,,0,0,0
4,1970,1970-10-10,4,24.027,NYJ,,MIA,L 6-20,2,14,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
5,1970,1970-10-18,5,24.035,NYJ,,BAL,L 22-29,12,151,12.58,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
6,1970,1970-10-25,6,24.042,NYJ,,BUF,L 6-10,2,19,9.50,0,1,-7,-7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0
7,1970,1970-11-01,7,24.049,NYJ,,NYG,L 10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1970,1970-11-08,8,24.056,NYJ,@,PIT,L 17-21,0,0,,0,1,0,0.00,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,1,15,15.00,0,1,1,1.00,0,0,0
9,1970,1970-11-15,9,24.063,NYJ,@,RAM,W 31-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,0,0
10,1970,1970-11-22,10,24.070,NYJ,,BOS,W 17-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,16,8.00,0,0,0
11,1970,1970-11-29,11,24.077,NYJ,,MIN,W 20-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1970,1970-12-06,12,24.084,NYJ,,OAK,L 13-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1970,1970-12-13,13,24.091,NYJ,@,MIA,L 10-16,3,32,10.67,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,6.00,0,1,6
14,1970,1970-12-19,14,24.097,NYJ,@,BAL,L 20-35,2,30,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
15,1971,1971-09-19,1,25.006,NYJ,@,BAL,L 0-22,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,-3,-3.00,0,0,0
16,1971,1971-09-27,2,25.014,NYJ,@,STL,L 10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1971,1971-10-03,3,25.020,NYJ,@,MIA,W 14-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1971,1971-10-10,4,25.027,NYJ,@,NWE,L 0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1971,1971-10-17,5,25.034,NYJ,,BUF,W 28-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
