ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1989,1989-09-10,1,22.248,DET,,PHO,L 13-16,,0,0,,0,,,,,,,,,,
2,1989,1989-09-17,2,22.255,DET,@,NYG,L 14-24,,1,8,8.00,0,0,0,,0,0,0,0.0,0,0,0
3,1989,1989-09-24,3,22.262,DET,,CHI,L 27-47,,0,0,,0,,,,,,,,,,
4,1989,1989-10-01,4,22.269,DET,,PIT,L 3-23,,0,0,,0,,,,,,,,,,
5,1989,1989-10-08,5,22.276,DET,@,MIN,L 17-24,,0,0,,0,,,,,,,,,,
6,1989,1989-10-15,6,22.283,DET,@,TAM,W 17-16,,0,0,,0,,,,,,,,,,
7,1989,1989-10-22,7,22.290,DET,,MIN,L 7-20,,0,0,,0,,,,,,,,,,
8,1989,1989-10-29,8,22.297,DET,@,GNB,L 20-23,,0,0,,0,,,,,,,,,,
9,1989,1989-11-05,9,22.304,DET,@,HOU,L 31-35,,0,0,,0,,,,,,,,,,
10,1989,1989-11-12,10,22.311,DET,,GNB,W 31-22,,0,0,,0,,,,,,,,,,
11,1989,1989-11-19,11,22.318,DET,@,CIN,L 7-42,,0,0,,0,,,,,,,,,,
12,1989,1989-11-23,12,22.322,DET,,CLE,W 13-10,,0,0,,0,,,,,,,,,,
13,1989,1989-12-03,13,22.332,DET,,NOR,W 21-14,,0,0,,0,,,,,,,,,,
14,1989,1989-12-10,14,22.339,DET,@,CHI,W 27-17,,0,0,,0,,,,,,,,,,
15,1989,1989-12-17,15,22.346,DET,,TAM,W 33-7,,0,0,,0,0,0,,0,0,0,0.0,1,5,0
16,1989,1989-12-24,16,22.353,DET,@,ATL,W 31-24,,0,0,,0,,,,,,,,,,
17,1990,1990-09-09,1,23.247,DET,,TAM,L 21-38,,,,,,,,,,,,,,,
18,1990,1990-09-16,2,23.254,DET,,ATL,W 21-14,,,,,,,,,,,,,,,
19,1990,1990-09-23,3,23.261,DET,@,TAM,L 20-23,,,,,,,,,,,,,,,
20,1990,1990-09-30,4,23.268,DET,,GNB,L 21-24,,,,,,,,,,,,,,,
21,1990,1990-10-07,5,23.275,DET,@,MIN,W 34-27,,,,,,,,,,,,,,,
22,1990,1990-10-14,6,23.282,DET,@,KAN,L 24-43,,,,,,,,,,,,,,,
23,1990,1990-10-28,7,23.296,DET,@,NOR,W 27-10,,0,0,,0,0,0,,0,0,0,0.0,1,3,0
24,1990,1990-11-04,8,23.303,DET,,WAS,L 38-41,,,,,,,,,,,,,,,
25,1990,1990-11-11,9,23.310,DET,,MIN,L 7-17,,,,,,,,,,,,,,,
26,1990,1990-11-18,10,23.317,DET,@,NYG,L 0-20,,,,,,,,,,,,,,,
27,1990,1990-11-22,11,23.321,DET,,DEN,W 40-27,,0,0,,0,0,0,,0,0,0,0.0,1,9,0
28,1990,1990-12-02,12,23.331,DET,@,CHI,L 17-23,,,,,,,,,,,,,,,
29,1990,1990-12-10,13,23.339,DET,,RAI,L 31-38,,,,,,,,,,,,,,,
30,1990,1990-12-16,14,23.345,DET,,CHI,W 38-21,,0,0,,0,0,0,,0,0,0,1.0,0,0,0
31,1990,1990-12-22,15,23.351,DET,@,GNB,W 24-17,,0,0,,0,0,0,,0,0,0,0.0,1,5,0
32,1990,1990-12-30,16,23.359,DET,@,SEA,L 10-30,,,,,,,,,,,,,,,
33,1991,1991-09-01,1,24.239,DET,@,WAS,L 0-45,,,,,,,,,,,,,,,
34,1991,1991-09-08,2,24.246,DET,,GNB,W 23-14,,,,,,,,,,,,,,,
35,1991,1991-09-15,3,24.253,DET,,MIA,W 17-13,,,,,,,,,,,,,,,
36,1991,1991-09-22,4,24.260,DET,@,IND,W 33-24,,,,,,,,,,,,,,,
37,1991,1991-09-29,5,24.267,DET,,TAM,W 31-3,,0,0,,0,0,0,,0,0,0,0.0,1,3,0
38,1991,1991-10-06,6,24.274,DET,,MIN,W 24-20,,,,,,,,,,,,,,,
39,1991,1991-10-20,7,24.288,DET,@,SFO,L 3-35,,,,,,,,,,,,,,,
40,1991,1991-10-27,8,24.295,DET,,DAL,W 34-10,,0,0,,0,0,0,,0,1,6,0.0,1,96,1
41,1991,1991-11-03,9,24.302,DET,@,CHI,L 10-20,,,,,,,,,,,,,,,
42,1991,1991-11-10,10,24.309,DET,@,TAM,L 21-30,,,,,,,,,,,,,,,
43,1991,1991-11-17,11,24.316,DET,,RAM,W 21-10,,0,0,,0,0,0,,0,0,0,0.0,1,42,0
44,1991,1991-11-24,12,24.323,DET,@,MIN,W 34-14,,0,0,,0,0,0,,0,0,0,1.0,1,0,0
45,1991,1991-11-28,13,24.327,DET,,CHI,W 16-6,,0,0,,0,0,0,,0,0,0,0.0,1,0,0
46,1991,1991-12-08,14,24.337,DET,,NYJ,W 34-20,,,,,,,,,,,,,,,
47,1991,1991-12-15,15,24.344,DET,@,GNB,W 21-17,,0,0,,0,0,0,,0,0,0,0.0,1,0,0
48,1991,1991-12-22,16,24.351,DET,@,BUF,W 17-14,,,,,,,,,,,,,,,
49,1992,1992-09-06,1,25.245,DET,@,CHI,L 24-27,,,,,,,,,,,,,,,
