ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1983,1983-09-04,1,22.036,NWE,,BAL,L 23-29,2,81,40.50,1,0,0,,0,0,0,,0,0,0,,0,1,6
2,1983,1983-09-11,2,22.043,NWE,@,MIA,L 24-34,1,16,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
3,1983,1983-09-18,3,22.050,NWE,,NYJ,W 23-13,0,0,,0,,,,,,,,,,,,,,
4,1983,1983-09-25,4,22.057,NWE,@,PIT,W 28-23,2,108,54.00,1,0,0,,0,0,0,,0,0,0,,0,1,6
5,1983,1983-10-02,5,22.064,NWE,,SFO,L 13-33,2,29,14.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
6,1983,1983-10-16,7,22.078,NWE,,SDG,W 37-21,2,22,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
7,1983,1983-10-23,8,22.085,NWE,@,BUF,W 31-0,1,44,44.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
8,1983,1983-10-30,9,22.092,NWE,@,ATL,L 13-24,3,47,15.67,0,0,0,,0,0,0,,0,0,0,,0,0,0
9,1983,1983-11-06,10,22.099,NWE,,BUF,W 21-7,0,0,,0,,,,,,,,,,,,,,
10,1983,1983-11-13,11,22.106,NWE,,MIA,W 17-6,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
11,1983,1983-11-20,12,22.113,NWE,,CLE,L 0-30,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
12,1983,1983-11-27,13,22.120,NWE,@,NYJ,L 3-26,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
13,1983,1983-12-04,14,22.127,NWE,,NOR,W 7-0,0,0,,0,,,,,,,,,,,,,,
14,1983,1983-12-11,15,22.134,NWE,@,RAM,W 21-7,0,0,,0,,,,,,,,,,,,,,
15,1983,1983-12-18,16,22.141,NWE,@,SEA,L 6-24,1,16,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
16,1984,1984-09-02,1,23.034,NWE,@,BUF,W 21-17,3,105,35.00,1,0,0,,0,0,0,,0,2,13,6.50,0,1,6
17,1984,1984-09-09,2,23.041,NWE,@,MIA,L 7-28,2,29,14.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
18,1984,1984-09-16,3,23.048,NWE,,SEA,W 38-23,4,46,11.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
19,1984,1984-09-23,4,23.055,NWE,,WAS,L 10-26,7,98,14.00,1,0,0,,0,0,0,,0,0,0,,0,1,6
20,1984,1984-09-30,5,23.062,NWE,@,NYJ,W 28-21,6,49,8.17,0,0,0,,0,0,0,,0,0,0,,0,0,0
21,1984,1984-10-07,6,23.069,NWE,@,CLE,W 17-16,3,77,25.67,1,0,0,,0,0,0,,0,0,0,,0,1,6
