ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1999,1999-10-10,5,23.124,NYG,@,ARI,L 3-14,,,,,,,
2,1999,1999-10-24,7,23.138,NYG,,NOR,W 31-3,,14,28,2.00,1,1,6
3,1999,1999-12-05,12,23.180,NYG,,NYJ,W 41-28,*,38,111,2.92,1,1,6
4,1999,1999-12-12,13,23.187,NYG,@,BUF,W 19-17,*,20,77,3.85,0,0,0
5,1999,1999-12-19,14,23.194,NYG,@,STL,L 10-31,*,12,41,3.42,0,0,0
6,1999,1999-12-26,15,23.201,NYG,,MIN,L 17-34,*,19,55,2.89,0,0,0
7,1999,2000-01-02,16,23.208,NYG,@,DAL,L 18-26,*,12,36,3.00,1,1,6
8,2000,2000-10-01,5,24.115,NYG,@,TEN,L 14-28,,,,,,,
9,2000,2000-10-29,8,24.143,NYG,,PHI,W 24-7,,1,4,4.00,1,1,6
10,2000,2000-11-05,9,24.150,NYG,@,CLE,W 24-3,,,,,,,
11,2002,2002-12-08,13,26.183,CAR,,CIN,W 52-31,,,,,,,
12,2002,2002-12-15,14,26.190,CAR,@,PIT,L 14-30,,,,,,,
13,2002,2002-12-22,15,26.197,CAR,,CHI,W 24-14,,7,20,2.86,0,0,0
