ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1965,1965-09-19,1,21.340,MIN,@,BAL,L 16-35,0,0,,0,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,5,100,20.00,0,0,0,,0,0,0
2,1965,1965-10-31,7,22.017,MIN,@,CLE,W 27-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,32,16.00,0,2,6,3.00,0,0,0
3,1965,1965-11-07,8,22.024,MIN,,RAM,W 24-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,41,41.00,0,0,0,,0,0,0
4,1965,1965-11-14,9,22.031,MIN,,BAL,L 21-41,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,120,60.00,1,1,6,6.00,0,1,6
5,1965,1965-11-21,10,22.038,MIN,,GNB,L 13-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,69,23.00,0,0,0,,0,0,0
6,1965,1965-11-28,11,22.045,MIN,,SFO,L 24-45,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,140,28.00,0,1,-3,-3.00,0,0,0
7,1965,1965-12-05,12,22.052,MIN,@,GNB,L 19-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,42,21.00,0,0,0,,0,0,0
8,1965,1965-12-19,14,22.066,MIN,@,CHI,W 24-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,58,19.33,0,0,0,,0,0,0
9,1966,1966-09-25,3,22.346,MIN,@,DAL,L 17-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,37,18.50,0,0,0,,0,0,0
10,1966,1966-10-30,7,23.016,MIN,,SFO,W 28-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,1.00,0,0,0
11,1966,1966-11-06,8,23.023,MIN,@,GNB,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,25,25.00,0,0,0,,0,0,0
12,1966,1966-11-13,9,23.030,MIN,,DET,L 31-32,2,10,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,35,17.50,0,1,2,2.00,0,0,0
13,1966,1966-11-20,10,23.037,MIN,@,RAM,L 6-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,15,15.00,0,3,-1,-0.33,0,0,0
14,1966,1966-11-27,11,23.044,MIN,,GNB,L 16-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,69,23.00,0,1,14,14.00,0,0,0
15,1966,1966-12-04,12,23.051,MIN,,ATL,L 13-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,-3,-3.00,0,0,0
16,1966,1966-12-11,13,23.058,MIN,@,DET,W 28-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,0,0
17,1966,1966-12-18,14,23.065,MIN,@,CHI,L 28-41,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,1,0.50,0,0,0
18,1967,1967-09-17,1,23.338,DAL,@,CLE,W 21-14,3,30,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
19,1967,1967-09-24,2,23.345,DAL,,NYG,W 38-24,2,21,10.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
20,1967,1967-10-01,3,23.352,DAL,,RAM,L 13-35,9,102,11.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
21,1967,1967-10-08,4,23.359,DAL,@,WAS,W 17-14,8,104,13.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,1,6
22,1967,1967-10-15,5,24.001,DAL,,NOR,W 14-10,3,43,14.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,35,17.50,0,1,6
23,1967,1967-10-22,6,24.008,DAL,@,PIT,W 24-21,3,82,27.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
24,1967,1967-10-29,7,24.015,DAL,@,PHI,L 14-21,2,39,19.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
25,1967,1967-11-12,9,24.029,DAL,@,NOR,W 27-10,1,19,19.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,6,3.00,0,0,0
26,1967,1967-11-19,10,24.036,DAL,,WAS,L 20-27,13,223,17.15,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
27,1967,1967-11-23,11,24.040,DAL,,STL,W 46-21,5,145,29.00,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,12
28,1967,1967-12-03,12,24.050,DAL,@,BAL,L 17-23,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
29,1967,1967-12-10,13,24.057,DAL,,PHI,W 38-17,4,85,21.25,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,1,6
30,1967,1967-12-16,14,24.063,DAL,@,SFO,L 16-24,4,88,22.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
31,1968,1968-09-15,1,24.337,DAL,,DET,W 59-13,4,68,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
32,1968,1968-09-22,2,24.344,DAL,,CLE,W 28-7,4,68,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
33,1968,1968-09-29,3,24.351,DAL,@,PHI,W 45-13,4,43,10.75,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,39,19.50,0,2,12
34,1968,1968-10-06,4,24.358,DAL,@,STL,W 27-10,1,27,27.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,-3,-3.00,0,0,0
35,1968,1968-10-13,5,24.365,DAL,,PHI,W 34-14,10,152,15.20,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,23,11.50,0,0,0
36,1968,1968-10-20,6,25.006,DAL,@,MIN,W 20-7,2,16,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
37,1968,1968-10-28,7,25.014,DAL,,GNB,L 17-28,3,56,18.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,-5,-2.50,0,0,0
38,1968,1968-11-03,8,25.020,DAL,@,NOR,W 17-3,3,57,19.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,12,12.00,0,0,0
39,1968,1968-11-10,9,25.027,DAL,,NYG,L 21-27,4,57,14.25,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,1,6
40,1968,1968-11-17,10,25.034,DAL,@,WAS,W 44-24,4,83,20.75,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,28,9.33,0,2,12
41,1968,1968-11-24,11,25.041,DAL,@,CHI,W 34-3,3,69,23.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,3,3.00,0,0,0
42,1968,1968-11-28,12,25.045,DAL,,WAS,W 29-20,3,83,27.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
43,1968,1968-12-08,13,25.055,DAL,,PIT,W 28-7,2,100,50.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
44,1968,1968-12-15,14,25.062,DAL,@,NYG,W 28-10,7,130,18.57,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,-4,-4.00,0,0,0
45,1969,1969-09-21,1,25.342,DAL,,STL,W 24-3,2,128,64.00,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,11,5.50,0,2,12
46,1969,1969-09-28,2,25.349,DAL,@,NOR,W 21-17,2,42,21.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,0,0
47,1969,1969-10-05,3,25.356,DAL,@,PHI,W 38-7,6,128,21.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
48,1969,1969-10-12,4,25.363,DAL,@,ATL,W 24-17,4,75,18.75,1,1,-3,-3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,-1,-1.00,0,1,6
49,1969,1969-10-19,5,26.005,DAL,,PHI,W 49-14,6,97,16.17,3,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,18
