ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2003,2003-11-30,12,23.245,CLE,@,SEA,L 7-34,,,,,
2,2004,2004-10-17,6,24.201,CLE,,CIN,W 34-17,,,,,
3,2004,2004-10-24,7,24.208,CLE,,PHI,L 31-34,,,,,
4,2004,2004-11-07,8,24.222,CLE,@,BAL,L 13-27,,,,,
5,2004,2004-11-14,9,24.229,CLE,,PIT,L 10-24,,,,,
6,2004,2004-11-21,10,24.236,CLE,,NYJ,L 7-10,,,,,
7,2004,2004-11-28,11,24.243,CLE,@,CIN,L 48-58,,,,,
8,2004,2004-12-05,12,24.250,CLE,,NWE,L 15-42,,,,,
9,2004,2004-12-12,13,24.257,CLE,@,BUF,L 7-37,,,,,
10,2004,2004-12-19,14,24.264,CLE,,SDG,L 0-21,,,,,
11,2004,2004-12-26,15,24.271,CLE,@,MIA,L 7-10,,,,,
12,2004,2005-01-02,16,24.278,CLE,@,HOU,W 22-14,,,,,
13,2005,2005-09-11,1,25.165,CLE,,CIN,L 13-27,,,,,
14,2005,2005-09-18,2,25.172,CLE,@,GNB,W 26-24,,,,,
15,2005,2005-09-25,3,25.179,CLE,@,IND,L 6-13,,,,,
16,2005,2005-10-09,4,25.193,CLE,,CHI,W 20-10,,,,,
17,2005,2005-10-16,5,25.200,CLE,@,BAL,L 3-16,,,,,
18,2005,2005-10-23,6,25.207,CLE,,DET,L 10-13,,,,,
19,2005,2005-10-30,7,25.214,CLE,@,HOU,L 16-19,,,,,
20,2005,2005-11-06,8,25.221,CLE,,TEN,W 20-14,,,,,
21,2005,2005-11-13,9,25.228,CLE,@,PIT,L 21-34,,,,,
22,2005,2005-11-20,10,25.235,CLE,,MIA,W 22-0,,,,,
23,2005,2005-11-27,11,25.242,CLE,@,MIN,L 12-24,,,,,
24,2005,2005-12-04,12,25.249,CLE,,JAX,L 14-20,,,,,
25,2005,2005-12-11,13,25.256,CLE,@,CIN,L 20-23,,,,,
26,2005,2005-12-18,14,25.263,CLE,@,OAK,W 9-7,,,,,
27,2005,2005-12-24,15,25.269,CLE,,PIT,L 0-41,,,,,
28,2005,2006-01-01,16,25.277,CLE,,BAL,W 20-16,,,,,
29,2006,2006-09-10,1,26.164,CLE,,NOR,L 14-19,,,,,
30,2006,2006-09-17,2,26.171,CLE,@,CIN,L 17-34,,,,,
31,2006,2006-09-24,3,26.178,CLE,,BAL,L 14-15,,1,0,0.00,0
32,2006,2006-10-01,4,26.185,CLE,@,OAK,W 24-21,,,,,
33,2006,2006-10-08,5,26.192,CLE,@,CAR,L 12-20,,,,,
34,2006,2006-10-22,6,26.206,CLE,,DEN,L 7-17,,,,,
35,2006,2006-10-29,7,26.213,CLE,,NYJ,W 20-13,,,,,
36,2006,2006-11-05,8,26.220,CLE,@,SDG,L 25-32,,,,,
37,2006,2006-11-12,9,26.227,CLE,@,ATL,W 17-13,,,,,
38,2006,2006-11-19,10,26.234,CLE,,PIT,L 20-24,,,,,
39,2006,2006-11-26,11,26.241,CLE,,CIN,L 0-30,,,,,
40,2006,2006-12-03,12,26.248,CLE,,KAN,W 31-28,,,,,
41,2006,2006-12-07,13,26.252,CLE,@,PIT,L 7-27,,,,,
42,2006,2006-12-17,14,26.262,CLE,@,BAL,L 17-27,,,,,
43,2006,2006-12-24,15,26.269,CLE,,TAM,L 7-22,,,,,
44,2006,2006-12-31,16,26.276,CLE,@,HOU,L 6-14,,,,,
