ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-09-09,1,22.150,MIA,@,WAS,L 13-16,,0,0,0,,0,0.0%,,1,7,7.00,0,0,0,,0,0,0,,,,,,3,70,23.33,0,4,20,5.00,0,,0,0,0.0,,
2,2007,2007-09-16,2,22.157,MIA,,DAL,L 20-37,,2,0,0,,0,0.0%,0.00,1,-3,-3.00,0,0,0,,0,0,0,,,,,,6,121,20.17,0,3,37,12.33,0,,0,0,0.0,,
3,2007,2007-09-23,3,22.164,MIA,@,NYJ,L 28-31,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0,0,0,,,,,,3,80,26.67,0,2,6,3.00,0,,0,0,0.0,,
4,2007,2007-09-30,4,22.171,MIA,,OAK,L 17-35,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,3,58,19.33,0,0,0,,0,,0,0,0.0,,
5,2007,2007-10-07,5,22.178,MIA,@,HOU,L 19-22,,3,1,36,36.00,0,33.3%,12.00,0,0,,0,0,0,,0,0,0,,,,,,5,176,35.20,0,0,0,,0,,0,0,0.0,,
6,2007,2007-10-14,6,22.185,MIA,@,CLE,L 31-41,*,2,1,32,32.00,0,50.0%,16.00,0,0,,0,0,0,,0,0,0,,,,,,5,122,24.40,0,1,10,10.00,0,,0,0,0.0,,
7,2007,2007-10-21,7,22.192,MIA,,NWE,L 28-49,*,7,3,37,12.33,0,42.9%,5.29,0,0,,0,0,0,,0,0,0,,,,,,4,86,21.50,0,0,0,,0,,0,0,0.0,,
8,2007,2007-10-28,8,22.199,MIA,,NYG,L 10-13,*,2,1,21,21.00,1,50.0%,10.50,0,0,,0,0,0,,0,0,0,,,,,,3,65,21.67,0,0,0,,0,,1,6,0.0,,
9,2007,2007-11-11,9,22.213,MIA,,BUF,L 10-13,*,3,1,12,12.00,0,33.3%,4.00,1,0,0.00,0,0,0,,0,0,0,,,,,,2,29,14.50,0,2,16,8.00,0,,0,0,0.0,,
10,2007,2007-11-18,10,22.220,MIA,@,PHI,L 7-17,,6,4,52,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,0,,,,,,2,52,26.00,0,3,99,33.00,1,,1,6,0.0,,
11,2007,2007-11-26,11,22.228,MIA,@,PIT,L 0-3,,6,3,35,11.67,0,50.0%,5.83,1,-1,-1.00,0,0,0,,0,0,0,,,,,,1,23,23.00,0,0,0,,0,,0,0,0.0,,
