ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1989,1989-09-10,1,23.131,MIN,,HOU,W 38-7,,4,45,11.25,0,,,0,0
2,1989,1989-09-17,2,23.138,MIN,@,CHI,L 7-38,,0,0,,0,,,,
3,1989,1989-09-24,3,23.145,MIN,@,PIT,L 14-27,,0,0,,0,,,,
4,1989,1989-10-01,4,23.152,MIN,,TAM,W 17-3,,0,0,,0,,,,
5,1989,1989-10-08,5,23.159,MIN,,DET,W 24-17,,0,0,,0,,,,
6,1989,1989-10-15,6,23.166,MIN,,GNB,W 26-14,,0,0,,0,,,,
7,1989,1989-10-22,7,23.173,MIN,@,DET,W 20-7,,0,0,,0,,,,
8,1989,1989-10-30,8,23.181,MIN,@,NYG,L 14-24,,0,0,,0,,,,
9,1989,1989-11-05,9,23.187,MIN,,RAM,W 23-21,,0,0,,0,,,,
10,1989,1989-11-12,10,23.194,MIN,@,TAM,W 24-10,,0,0,,0,,,,
11,1989,1989-11-19,11,23.201,MIN,@,PHI,L 9-10,,0,0,,0,,,,
12,1989,1989-11-26,12,23.208,MIN,@,GNB,L 19-20,,0,0,,0,,,,
13,1989,1989-12-03,13,23.215,MIN,,CHI,W 27-16,,0,0,,0,,,,
14,1989,1989-12-10,14,23.222,MIN,,ATL,W 43-17,,1,2,2.00,1,,,1,6
15,1989,1989-12-17,15,23.229,MIN,@,CLE,L 17-23,,0,0,,0,,,,
16,1989,1989-12-25,16,23.237,MIN,,CIN,W 29-21,,0,0,,0,,,,
17,1991,1991-09-15,3,25.136,CLE,,CIN,W 14-13,,,,,,,,,
18,1991,1991-09-22,4,25.143,CLE,@,NYG,L 10-13,,,,,,,,,
19,1992,1992-09-06,1,26.127,GNB,,MIN,L 20-23,,,,,,0.0%,,,
20,1992,1992-09-13,2,26.134,GNB,@,TAM,L 3-31,,,,,,0.0%,,,
21,1992,1992-09-20,3,26.141,GNB,,CIN,W 24-23,,,,,,0.0%,,,
22,1992,1992-09-27,4,26.148,GNB,,PIT,W 17-3,,,,,,0.0%,,,
23,1992,1992-10-04,5,26.155,GNB,@,ATL,L 10-24,,,,,,0.0%,,,
24,1992,1992-10-18,6,26.169,GNB,@,CLE,L 6-17,,,,,,0.0%,,,
25,1992,1992-10-25,7,26.176,GNB,,CHI,L 10-30,,,,,,0.0%,,,
26,1992,1992-11-01,8,26.183,GNB,@,DET,W 27-13,,,,,,0.0%,,,
27,1992,1992-11-08,9,26.190,GNB,@,NYG,L 7-27,,,,,,0.0%,,,
28,1992,1992-11-15,10,26.197,GNB,,PHI,W 27-24,,,,,,0.0%,,,
29,1992,1992-11-22,11,26.204,GNB,@,CHI,W 17-3,,,,,,0.0%,,,
30,1992,1992-11-29,12,26.211,GNB,,TAM,W 19-14,,,,,,0.0%,,,
31,1992,1992-12-06,13,26.218,GNB,,DET,W 38-10,,,,,,0.0%,,,
32,1992,1992-12-13,14,26.225,GNB,@,HOU,W 16-14,,,,,,0.0%,,,
33,1992,1992-12-20,15,26.232,GNB,,RAM,W 28-13,,,,,,0.0%,,,
34,1992,1992-12-27,16,26.239,GNB,@,MIN,L 7-27,,,,,,0.0%,,,
35,1993,1993-11-21,10,27.203,GNB,,DET,W 26-17,,,,,,0.0%,,,
36,1993,1993-11-28,11,27.210,GNB,,TAM,W 13-10,,,,,,0.0%,,,
