ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,1994,1994-10-23,8,23.084,WAS,@,IND,W 41-27,*,17,32,53.13,226,2,0,96.6,0,0,7.06,8.31,3,1,0.33,0,0,0,0.0,,
2,1994,1994-10-30,9,23.091,WAS,,PHI,L 29-31,*,13,30,43.33,189,3,2,70.0,1,8,6.30,5.30,0,0,,0,0,0,0.0,,
3,1994,1994-11-06,10,23.098,WAS,,SFO,L 22-37,*,15,32,46.88,167,0,2,36.8,2,10,5.22,2.41,1,0,0.00,0,0,0,0.0,,
4,1994,1994-11-20,11,23.112,WAS,@,DAL,L 7-31,*,1,6,16.67,18,0,1,0.0,0,0,3.00,-4.50,0,0,,0,0,0,0.0,,
5,1995,1995-09-03,1,24.034,WAS,,ARI,W 27-7,,9,15,60.00,157,2,0,135.3,0,0,10.47,13.13,3,-4,-1.33,0,0,0,0.0,,
6,1995,1995-09-10,2,24.041,WAS,,OAK,L 8-20,*,20,34,58.82,272,0,1,72.2,2,12,8.00,6.68,2,1,0.50,0,0,0,0.0,,
7,1995,1995-09-17,3,24.048,WAS,@,DEN,L 31-38,*,16,26,61.54,233,3,1,113.1,1,8,8.96,9.54,0,0,,0,0,0,0.0,,
8,1995,1995-09-24,4,24.055,WAS,@,TAM,L 6-14,*,21,40,52.50,230,0,1,59.4,3,14,5.75,4.63,2,2,1.00,0,0,0,0.0,,
9,1995,1995-10-01,5,24.062,WAS,,DAL,W 27-23,*,13,24,54.17,192,2,1,91.0,1,9,8.00,7.79,1,-2,-2.00,0,0,0,0.0,,
10,1995,1995-10-08,6,24.069,WAS,@,PHI,L 34-37,*,22,45,48.89,252,2,1,71.7,3,26,5.60,5.49,4,4,1.00,1,1,6,0.0,,
11,1995,1995-10-15,7,24.076,WAS,@,ARI,L 20-24,*,15,29,51.72,242,2,1,88.6,2,25,8.34,8.17,1,0,0.00,0,0,0,0.0,,
12,1995,1995-10-22,8,24.083,WAS,,DET,W 36-30,*,21,39,53.85,245,1,0,81.7,1,6,6.28,6.79,1,9,9.00,0,0,0,0.0,,
13,1995,1995-10-29,9,24.090,WAS,,NYG,L 15-24,*,22,44,50.00,345,0,4,38.5,4,39,7.84,3.75,2,13,6.50,0,0,0,0.0,,
14,1995,1995-11-05,10,24.097,WAS,@,KAN,L 3-24,*,11,34,32.35,140,0,0,46.2,2,18,4.12,4.12,0,0,,0,0,0,0.0,,
15,1995,1995-11-19,11,24.111,WAS,,SEA,L 20-27,*,14,32,43.75,200,1,2,49.0,1,7,6.25,4.06,2,1,0.50,0,0,0,0.0,,
16,1995,1995-11-26,12,24.118,WAS,,PHI,L 7-14,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,
17,1995,1995-12-03,13,24.125,WAS,@,DAL,W 24-17,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,
18,1995,1995-12-10,14,24.132,WAS,@,NYG,L 13-20,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,
19,1995,1995-12-17,15,24.139,WAS,@,STL,W 35-23,,5,10,50.00,58,0,1,28.3,1,9,5.80,1.30,2,-2,-1.00,0,0,0,0.0,,
20,1995,1995-12-24,16,24.146,WAS,,CAR,W 20-17,*,10,24,41.67,185,0,0,68.9,2,19,7.71,7.71,2,-6,-3.00,0,0,0,0.0,,
21,1996,1996-09-01,1,25.032,WAS,,PHI,L 14-17,*,12,25,48.00,119,0,0,61.9,3,26,4.76,4.76,0,0,,0,0,0,0.0,,
22,1996,1996-09-08,2,25.039,WAS,,CHI,W 10-3,*,18,29,62.07,177,0,0,79.2,1,9,6.10,6.10,3,-2,-0.67,0,0,0,0.0,,
23,1996,1996-09-15,3,25.046,WAS,@,NYG,W 31-10,*,15,23,65.22,197,1,1,88.5,2,5,8.57,7.48,2,-6,-3.00,0,0,0,0.0,,
24,1996,1996-09-22,4,25.053,WAS,@,STL,W 17-10,*,12,23,52.17,151,1,2,51.2,0,0,6.57,3.52,5,-1,-0.20,0,0,0,0.0,,
25,1996,1996-09-29,5,25.060,WAS,,NYJ,W 31-16,*,15,22,68.18,257,1,0,122.7,0,0,11.68,12.59,1,-3,-3.00,0,0,0,0.0,,
26,1996,1996-10-13,6,25.074,WAS,@,NWE,W 27-22,*,18,33,54.55,280,2,0,103.1,1,4,8.48,9.70,1,-1,-1.00,0,0,0,0.0,,
27,1996,1996-10-20,7,25.081,WAS,,NYG,W 31-21,*,14,24,58.33,207,0,1,69.3,0,0,8.63,6.75,4,-2,-0.50,0,0,0,0.0,,
28,1996,1996-10-27,8,25.088,WAS,,IND,W 31-16,*,18,25,72.00,178,1,1,88.4,1,5,7.12,6.12,3,1,0.33,0,0,0,0.0,,
29,1996,1996-11-03,9,25.095,WAS,@,BUF,L 13-38,*,13,28,46.43,171,0,0,66.2,1,12,6.11,6.11,1,0,0.00,0,0,0,0.0,,
30,1996,1996-11-10,10,25.102,WAS,,ARI,L 34-37,*,18,36,50.00,212,1,1,66.0,0,0,5.89,5.19,1,17,17.00,0,0,0,0.0,,
31,1996,1996-11-17,11,25.109,WAS,@,PHI,W 26-21,*,18,33,54.55,212,2,1,81.9,2,7,6.42,6.27,3,-2,-0.67,0,0,0,0.0,,
32,1996,1996-11-24,12,25.116,WAS,,SFO,L 16-19,*,18,26,69.23,294,1,0,119.7,2,12,11.31,12.08,0,0,,0,0,0,0.0,,
33,1996,1996-11-28,13,25.120,WAS,@,DAL,L 10-21,*,17,33,51.52,175,1,2,52.0,2,12,5.30,3.18,1,0,0.00,0,0,0,0.0,,
34,1996,1996-12-08,14,25.130,WAS,@,TAM,L 10-24,*,20,39,51.28,219,1,1,66.1,2,13,5.62,4.97,0,0,,0,0,0,0.0,,
35,1996,1996-12-15,15,25.137,WAS,@,ARI,L 26-27,*,22,40,55.00,258,0,0,74.8,2,9,6.45,6.45,2,13,6.50,0,0,0,0.0,,
