ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2000,2000-09-10,2,23.010,GNB,@,BUF,L 18-27,,1,-6,-6.00,0,0,0,0,,0,0.0%,,0,0,,0
2,2000,2000-09-17,3,23.017,GNB,,PHI,W 6-3,,,,,,,,,,,0.0%,,,,,
3,2000,2000-09-24,4,23.024,GNB,@,ARI,W 29-3,,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,,0
4,2000,2000-10-01,5,23.031,GNB,,CHI,L 24-27,,,,,,,,,,,0.0%,,,,,
5,2000,2000-10-08,6,23.038,GNB,@,DET,L 24-31,,0,0,,0,1,1,0,0.00,0,100.0%,0.00,4,129,32.25,0
6,2001,2001-09-30,3,24.030,GNB,@,CAR,W 28-7,,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,,0
7,2001,2001-10-14,5,24.044,GNB,,BAL,W 31-23,,,,,,,,,,,0.0%,,,,,
8,2001,2001-12-09,12,24.100,GNB,,CHI,W 17-7,,0,0,,0,0,0,0,,0,0.0%,,1,21,21.00,0
9,2001,2001-12-16,13,24.107,GNB,@,TEN,L 20-26,,,,,,,,,,,0.0%,,,,,
10,2001,2001-12-23,14,24.114,GNB,,CLE,W 30-7,,,,,,,,,,,0.0%,,,,,
11,2001,2001-12-30,15,24.121,GNB,,MIN,W 24-13,,,,,,,,,,,0.0%,,,,,
12,2001,2002-01-06,16,24.128,GNB,@,NYG,W 34-25,,,,,,0,,,,,0.0%,,,,,
