ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2013,2013-09-29,4,24.178,PIT,@,MIN,L 27-34,,,,,,,,,,,,,,,,
2,2015,2015-10-18,6,26.197,PIT,,ARI,W 25-13,,8,12,66.67,168,2,0,149.3,0,0,14.00,17.33,1,-1,-1.00,0
3,2015,2015-10-25,7,26.204,PIT,@,KAN,L 13-23,*,16,29,55.17,209,1,2,60.8,2,17,7.21,4.79,1,-2,-2.00,0
4,2015,2015-11-08,9,26.218,PIT,,OAK,W 38-35,,4,6,66.67,79,0,0,109.7,0,0,13.17,13.17,0,0,,0
5,2015,2015-11-15,10,26.225,PIT,,CLE,W 30-9,*,3,4,75.00,23,0,0,88.5,0,0,5.75,5.75,0,0,,0
6,2015,2015-11-29,11,26.239,PIT,@,SEA,L 30-39,,1,4,25.00,34,0,2,22.9,0,0,8.50,-14.00,0,0,,0
7,2015,2015-12-06,12,26.246,PIT,,IND,W 45-10,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0
8,2015,2015-12-13,13,26.253,PIT,@,CIN,W 33-20,,0,0,,0,0,0,,0,0,,,2,-1,-0.50,0
9,2016,2016-10-02,4,27.181,PIT,,KAN,W 43-14,,0,0,,0,0,0,,0,0,,,2,0,0.00,0
10,2016,2016-10-09,5,27.188,PIT,,NYJ,W 31-13,,0,0,,0,0,0,,0,0,,,2,-2,-1.00,0
11,2016,2016-10-16,6,27.195,PIT,@,MIA,L 15-30,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,-1,-1.00,0
12,2016,2016-10-23,7,27.202,PIT,,NWE,L 16-27,*,29,47,61.70,281,1,1,76.6,0,0,5.98,5.45,0,0,,0
13,2016,2016-11-13,9,27.223,PIT,,DAL,L 30-35,,0,0,,0,0,0,,0,0,,,0,0,,0
14,2016,2016-11-24,11,27.234,PIT,@,IND,W 28-7,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0
15,2016,2016-12-04,12,27.244,PIT,,NYG,W 24-14,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0
16,2016,2017-01-01,16,27.272,PIT,,CLE,W 27-24,*,24,37,64.86,277,3,1,103.1,4,34,7.49,7.89,0,0,,0
17,2017,2017-11-16,10,28.226,PIT,,TEN,W 40-17,,0,0,,0,0,0,,0,0,,,3,-3,-1.00,0
18,2017,2017-12-25,15,28.265,PIT,@,HOU,W 34-6,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,-1,-0.50,0
19,2017,2017-12-31,16,28.271,PIT,,CLE,W 28-24,*,23,27,85.19,239,1,1,100.5,3,15,8.85,7.93,3,-6,-2.00,0
