ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1976,1976-09-12,1,23.129,OAK,,PIT,W 31-28,,,
2,1976,1976-09-20,2,23.137,OAK,@,KAN,W 24-21,,,
3,1976,1976-10-03,4,23.150,HOU,@,NOR,W 31-26,,,
4,1976,1976-10-10,5,23.157,HOU,,DEN,W 17-3,,,
5,1976,1976-10-17,6,23.164,HOU,@,SDG,L 27-30,,,
6,1976,1976-10-24,7,23.171,HOU,,CIN,L 7-27,,,
7,1976,1976-11-01,8,23.179,HOU,@,BAL,L 14-38,,,
8,1976,1976-11-07,9,23.185,HOU,,CLE,L 7-21,,,
9,1976,1976-11-14,10,23.192,HOU,@,CIN,L 27-31,,,
10,1976,1976-11-21,11,23.199,HOU,@,PIT,L 16-32,,,
11,1976,1976-11-28,12,23.206,HOU,,ATL,W 20-14,,,
12,1976,1976-12-05,13,23.213,HOU,@,CLE,L 10-13,1,19,0
13,1976,1976-12-11,14,23.219,HOU,,PIT,L 0-21,,,
14,1977,1977-09-18,1,24.135,HOU,,NYJ,W 20-0,,,
15,1977,1977-09-25,2,24.142,HOU,@,GNB,W 16-10,,,
16,1977,1977-10-02,3,24.149,HOU,@,MIA,L 7-27,,,
17,1977,1977-10-09,4,24.156,HOU,,PIT,W 27-10,2,19,0
18,1977,1977-10-16,5,24.163,HOU,,CLE,L 23-24,,,
19,1977,1977-10-23,6,24.170,HOU,@,PIT,L 10-27,1,30,0
20,1977,1977-10-30,7,24.177,HOU,@,CIN,L 10-13,1,29,0
21,1977,1977-11-06,8,24.184,HOU,,CHI,W 47-0,,,
22,1977,1977-11-13,9,24.191,HOU,@,OAK,L 29-34,,,
23,1977,1977-11-20,10,24.198,HOU,@,SEA,W 22-10,,,
24,1977,1977-11-27,11,24.205,HOU,,KAN,W 34-20,1,0,0
25,1977,1977-12-04,12,24.212,HOU,,DEN,L 14-24,,,
26,1977,1977-12-11,13,24.219,HOU,@,CLE,W 19-15,,,
27,1977,1977-12-18,14,24.226,HOU,,CIN,W 21-16,,,
28,1978,1978-09-03,1,25.120,HOU,@,ATL,L 14-20,,,
29,1978,1978-09-10,2,25.127,HOU,@,KAN,W 20-17,,,
30,1978,1978-09-17,3,25.134,HOU,,SFO,W 20-19,,,
31,1978,1978-09-24,4,25.141,HOU,,RAM,L 6-10,,,
32,1978,1978-10-01,5,25.148,HOU,@,CLE,W 16-13,1,0,0
33,1978,1978-10-08,6,25.155,HOU,@,OAK,L 17-21,,,
34,1978,1978-10-15,7,25.162,HOU,,BUF,W 17-10,,,
35,1978,1978-10-23,8,25.170,HOU,@,PIT,W 24-17,,,
36,1978,1978-10-29,9,25.176,HOU,@,CIN,L 13-28,,,
37,1978,1978-11-05,10,25.183,HOU,,CLE,W 14-10,,,
38,1978,1978-11-12,11,25.190,HOU,@,NWE,W 26-23,,,
39,1978,1978-11-20,12,25.198,HOU,,MIA,W 35-30,,,
40,1978,1978-11-26,13,25.204,HOU,,CIN,W 17-10,,,
41,1978,1978-12-03,14,25.211,HOU,,PIT,L 3-13,,,
42,1978,1978-12-10,15,25.218,HOU,@,NOR,W 17-12,,,
43,1978,1978-12-17,16,25.225,HOU,,SDG,L 24-45,,,
44,1979,1979-09-02,1,26.119,HOU,@,WAS,W 29-27,1,20,0
45,1979,1979-09-09,2,26.126,HOU,@,PIT,L 7-38,1,23,0
46,1979,1979-09-16,3,26.133,HOU,,KAN,W 20-6,2,3,0
47,1979,1979-09-23,4,26.140,HOU,@,CIN,W 30-27,,,
48,1979,1979-09-30,5,26.147,HOU,,CLE,W 31-10,1,2,0
49,1979,1979-10-07,6,26.154,HOU,,STL,L 17-24,,,
50,1979,1979-10-14,7,26.161,HOU,@,BAL,W 28-16,2,76,0
51,1979,1979-10-21,8,26.168,HOU,@,SEA,L 14-34,1,0,0
52,1979,1979-10-28,9,26.175,HOU,,NYJ,W 27-24,1,9,0
53,1979,1979-11-05,10,26.183,HOU,@,MIA,W 9-6,,,
54,1979,1979-11-11,11,26.189,HOU,,OAK,W 31-17,2,41,0
55,1979,1979-11-18,12,26.196,HOU,,CIN,W 42-21,1,31,0
56,1979,1979-11-22,13,26.200,HOU,@,DAL,W 30-24,,,
57,1979,1979-12-02,14,26.210,HOU,@,CLE,L 7-14,,,
58,1979,1979-12-10,15,26.218,HOU,,PIT,W 20-17,,,
59,1979,1979-12-16,16,26.224,HOU,,PHI,L 20-26,,,
60,1980,1980-09-07,1,27.124,HOU,@,PIT,L 17-31,,,
61,1980,1980-09-15,2,27.132,HOU,@,CLE,W 16-7,,,
62,1980,1980-09-21,3,27.138,HOU,,BAL,W 21-16,,,
63,1980,1980-09-28,4,27.145,HOU,@,CIN,W 13-10,,,
64,1980,1980-10-05,5,27.152,HOU,,SEA,L 7-26,,,
65,1980,1980-10-12,6,27.159,HOU,@,KAN,L 20-21,,,
66,1980,1980-10-19,7,27.166,HOU,,TAM,W 20-14,,,
67,1980,1980-10-26,8,27.173,HOU,,CIN,W 23-3,1,23,0
68,1980,1980-11-02,9,27.180,HOU,@,DEN,W 20-16,,,
69,1980,1980-11-10,10,27.188,HOU,,NWE,W 38-34,,,
70,1980,1980-11-16,11,27.194,HOU,@,CHI,W 10-6,,,
71,1980,1980-11-23,12,27.201,HOU,@,NYJ,L 28-31,,,
72,1980,1980-11-30,13,27.208,HOU,,CLE,L 14-17,1,10,0
73,1980,1980-12-04,14,27.212,HOU,,PIT,W 6-0,2,3,0
74,1980,1980-12-14,15,27.222,HOU,@,GNB,W 22-3,,,
75,1980,1980-12-21,16,27.229,HOU,,MIN,W 20-16,,,
76,1981,1981-09-06,1,28.123,HOU,@,RAM,W 27-20,,,
77,1981,1981-09-13,2,28.130,HOU,@,CLE,W 9-3,,,
78,1981,1981-09-20,3,28.137,HOU,,MIA,L 10-16,,,
79,1981,1981-09-27,4,28.144,HOU,@,NYJ,L 17-33,,,
80,1981,1981-10-04,5,28.151,HOU,,CIN,W 17-10,,,
81,1981,1981-10-11,6,28.158,HOU,,SEA,W 35-17,,,
82,1981,1981-10-18,7,28.165,HOU,@,NWE,L 10-38,,,
83,1981,1981-10-26,8,28.173,HOU,@,PIT,L 13-26,,,
84,1981,1981-11-01,9,28.179,HOU,@,CIN,L 21-34,,,
85,1981,1981-11-08,10,28.186,HOU,,OAK,W 17-16,1,2,0
86,1981,1981-11-15,11,28.193,HOU,@,KAN,L 10-23,,,
87,1981,1981-11-22,12,28.200,HOU,,NOR,L 24-27,,,
88,1981,1981-11-29,13,28.207,HOU,,ATL,L 27-31,,,
89,1981,1981-12-03,14,28.211,HOU,,CLE,W 17-13,1,16,0
90,1981,1981-12-13,15,28.221,HOU,@,SFO,L 6-28,,,
91,1981,1981-12-20,16,28.228,HOU,,PIT,W 21-20,,,
92,1982,1982-09-12,1,29.129,HOU,@,CIN,L 6-27,,,
93,1982,1982-09-19,2,29.136,HOU,,SEA,W 23-21,,,
94,1982,1982-11-21,3,29.199,HOU,,PIT,L 10-24,,,
95,1982,1982-11-28,4,29.206,HOU,@,NWE,L 21-29,,,
96,1982,1982-12-05,5,29.213,HOU,@,NYG,L 14-17,,,
97,1982,1982-12-13,6,29.221,HOU,,DAL,L 7-37,,,
98,1982,1982-12-19,7,29.227,HOU,@,PHI,L 14-35,,,
99,1982,1982-12-26,8,29.234,HOU,,CLE,L 14-20,,,
100,1982,1983-01-02,9,29.241,HOU,,CIN,L 27-35,,,
