ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1986,1986-10-19,7,26.046,SFO,@,ATL,T 10-10,1,8,8.00,0,3,64,21.33,0,0,0,,0
2,1986,1986-10-26,8,26.053,SFO,@,GNB,W 31-17,0,0,,0,1,22,22.00,0,1,1,1.00,0
3,1986,1986-11-02,9,26.060,SFO,@,NOR,L 10-23,2,15,7.50,0,1,19,19.00,0,3,14,4.67,0
4,1986,1986-11-09,10,26.067,SFO,,STL,W 43-17,0,0,,0,1,18,18.00,0,0,0,,0
5,1986,1986-11-17,11,26.075,SFO,@,WAS,L 6-14,1,42,42.00,0,0,0,,0,0,0,,0
6,1986,1986-11-23,12,26.081,SFO,,ATL,W 20-0,0,0,,0,1,14,14.00,0,0,0,,0
7,1986,1986-12-01,13,26.089,SFO,,NYG,L 17-21,1,5,5.00,0,3,68,22.67,0,0,0,,0
8,1986,1986-12-07,14,26.095,SFO,,NYJ,W 24-10,0,0,,0,2,32,16.00,0,0,0,,0
9,1986,1986-12-14,15,26.102,SFO,@,NWE,W 29-24,0,0,,0,1,11,11.00,0,0,0,,0
10,1986,1986-12-19,16,26.107,SFO,,RAM,W 24-14,0,0,,0,2,32,16.00,0,0,0,,0
