ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1986,1986-09-07,1,22.034,PHI,@,WAS,L 14-41,,0,0,,0,,,,,,
2,1986,1986-09-14,2,22.041,PHI,@,CHI,L 10-13,,0,0,,0,,,,,,
3,1986,1986-09-21,3,22.048,PHI,,DEN,L 7-33,,0,0,,0,,,,,,
4,1986,1986-09-28,4,22.055,PHI,,RAM,W 34-20,,0,0,,0,,,,,,
5,1986,1986-10-05,5,22.062,PHI,@,ATL,W 16-0,,0,0,,0,,,,,,
6,1986,1986-10-12,6,22.069,PHI,@,NYG,L 3-35,,0,0,,0,,,,,,
7,1986,1986-10-19,7,22.076,PHI,,DAL,L 14-17,,0,0,,0,,,,,,
8,1986,1986-10-26,8,22.083,PHI,,SDG,W 23-7,,0,0,,0,,,,,,
9,1986,1986-11-02,9,22.090,PHI,@,STL,L 10-13,,0,0,,0,,,,,,
10,1986,1986-11-09,10,22.097,PHI,,NYG,L 14-17,,0,0,,0,,,,,,
11,1986,1986-11-16,11,22.104,PHI,,DET,L 11-13,,0,0,,0,,,,,,
12,1986,1986-11-23,12,22.111,PHI,@,SEA,L 20-24,,1,0,0.00,0,0,0,0.0,0,0,0
13,1986,1986-11-30,13,22.118,PHI,@,RAI,W 33-27,,0,0,,0,0,0,1.0,0,0,0
14,1986,1986-12-07,14,22.125,PHI,,STL,T 10-10,,0,0,,0,0,0,1.0,0,0,0
15,1986,1986-12-14,15,22.132,PHI,@,DAL,W 23-21,,0,0,,0,,,,,,
16,1986,1986-12-21,16,22.139,PHI,,WAS,L 14-21,,0,0,,0,,,,,,
17,1987,1987-09-13,1,23.040,PHI,@,WAS,L 24-34,,,,,,,,,,,
18,1987,1987-09-20,2,23.047,PHI,,NOR,W 27-17,,0,0,,0,0,0,1.5,0,0,0
19,1987,1987-10-25,6,23.082,PHI,,DAL,W 37-20,,0,0,,0,0,0,0.5,0,0,0
20,1987,1987-11-01,7,23.089,PHI,@,STL,W 28-23,,,,,,,,,,,
21,1987,1987-11-08,8,23.096,PHI,,WAS,W 31-27,,0,0,,0,0,0,1.0,0,0,0
22,1987,1987-11-15,9,23.103,PHI,,NYG,L 17-20,,,,,,,,,,,
23,1987,1987-11-22,10,23.110,PHI,,STL,L 19-31,,0,0,,0,0,0,1.0,0,0,0
24,1987,1987-11-29,11,23.117,PHI,@,NWE,W 34-31,,0,0,,0,0,0,1.0,0,0,0
25,1987,1987-12-06,12,23.124,PHI,@,NYG,L 20-23,,,,,,,,,,,
26,1987,1987-12-13,13,23.131,PHI,,MIA,L 10-28,,0,0,,0,0,0,1.0,0,0,0
27,1987,1987-12-20,14,23.138,PHI,@,NYJ,W 38-27,,,,,,,,,,,
28,1987,1987-12-27,15,23.145,PHI,,BUF,W 17-7,,,,,,,,,,,
29,1988,1988-09-04,1,24.031,PHI,@,TAM,W 41-14,,,,,,,,,,,
30,1988,1988-09-11,2,24.038,PHI,,CIN,L 24-28,,,,,,,,,,,
31,1988,1988-09-18,3,24.045,PHI,@,WAS,L 10-17,,,,,,,,,,,
32,1988,1988-09-25,4,24.052,PHI,@,MIN,L 21-23,,,,,,,,,,,
33,1988,1988-10-02,5,24.059,PHI,,HOU,W 32-23,,0,0,,0,0,0,2.0,0,0,0
34,1988,1988-10-10,6,24.067,PHI,,NYG,W 24-13,,,,,,,,,,,
35,1988,1988-10-16,7,24.073,PHI,@,CLE,L 3-19,,,,,,,,,,,
36,1988,1988-10-23,8,24.080,PHI,,DAL,W 24-23,,0,0,,0,0,0,1.0,0,0,0
37,1988,1988-10-30,9,24.087,PHI,,ATL,L 24-27,,0,0,,0,0,0,1.0,0,0,0
38,1988,1988-11-06,10,24.094,PHI,,RAM,W 30-24,,,,,,,,,,,
39,1988,1988-11-13,11,24.101,PHI,@,PIT,W 27-26,,0,0,,0,0,0,1.0,0,0,0
40,1988,1988-11-20,12,24.108,PHI,@,NYG,W 23-17,,0,0,,0,0,0,0.5,0,0,0
41,1988,1988-11-27,13,24.115,PHI,,PHO,W 31-21,,0,0,,0,0,0,2.5,0,0,0
42,1988,1988-12-04,14,24.122,PHI,,WAS,L 19-20,,,,,,,,,,,
43,1988,1988-12-10,15,24.128,PHI,@,PHO,W 23-17,,,,,,,,,,,
44,1988,1988-12-18,16,24.136,PHI,@,DAL,W 23-7,,,,,,,,,,,
45,1989,1989-09-10,1,25.037,PHI,,SEA,W 31-7,,0,0,,0,0,0,2.0,0,0,0
46,1989,1989-09-17,2,25.044,PHI,@,WAS,W 42-37,,,,,,,,,,,
47,1989,1989-09-24,3,25.051,PHI,,SFO,L 28-38,,0,0,,0,0,0,2.0,0,0,0
48,1989,1989-10-02,4,25.059,PHI,@,CHI,L 13-27,,0,0,,0,0,0,1.0,0,0,0
49,1989,1989-10-08,5,25.065,PHI,,NYG,W 21-19,,0,0,,0,0,0,1.0,0,0,0
50,1989,1989-10-15,6,25.072,PHI,@,PHO,W 17-5,,0,0,,0,0,0,1.0,0,0,0
51,1989,1989-10-22,7,25.079,PHI,,RAI,W 10-7,,,,,,,,,,,
52,1989,1989-10-29,8,25.086,PHI,@,DEN,W 28-24,,0,0,,0,0,0,3.5,0,0,0
53,1989,1989-11-05,9,25.093,PHI,@,SDG,L 17-20,,,,,,,,,,,
54,1989,1989-11-12,10,25.100,PHI,,WAS,L 3-10,,,,,,,,,,,
55,1989,1989-11-19,11,25.107,PHI,,MIN,W 10-9,,0,0,,0,0,0,1.0,0,0,0
56,1989,1989-11-23,12,25.111,PHI,@,DAL,W 27-0,,,,,,,,,,,
57,1989,1989-12-03,13,25.121,PHI,@,NYG,W 24-17,,0,0,,0,1,6,1.0,1,60,1
58,1989,1989-12-10,14,25.128,PHI,,DAL,W 20-10,,0,0,,0,0,0,1.0,0,0,0
59,1989,1989-12-18,15,25.136,PHI,@,NOR,L 20-30,,0,0,,0,0,0,1.0,0,0,0
60,1989,1989-12-24,16,25.142,PHI,,PHO,W 31-14,,0,0,,0,0,0,1.0,0,0,0
61,1990,1990-09-09,1,26.036,PHI,@,NYG,L 20-27,,,,,,,,,,,
62,1990,1990-09-16,2,26.043,PHI,,PHO,L 21-23,,,,,,,,,,,
63,1990,1990-09-23,3,26.050,PHI,@,RAM,W 27-21,,,,,,,,,,,
64,1990,1990-09-30,4,26.057,PHI,,IND,L 23-24,,,,,,,,,,,
65,1990,1990-10-15,5,26.072,PHI,,MIN,W 32-24,,,,,,,,,,,
66,1990,1990-10-21,6,26.078,PHI,@,WAS,L 7-13,,,,,,,,,,,
67,1990,1990-10-28,7,26.085,PHI,@,DAL,W 21-20,,0,0,,0,0,0,1.0,0,0,0
68,1990,1990-11-04,8,26.092,PHI,,NWE,W 48-20,,0,0,,0,0,0,0.5,0,0,0
69,1990,1990-11-12,9,26.100,PHI,,WAS,W 28-14,,0,0,,0,0,0,1.0,0,0,0
70,1990,1990-11-18,10,26.106,PHI,@,ATL,W 24-23,,0,0,,0,0,0,2.0,0,0,0
71,1990,1990-11-25,11,26.113,PHI,,NYG,W 31-13,,,,,,,,,,,
72,1990,1990-12-02,12,26.120,PHI,@,BUF,L 23-30,,,,,,,,,,,
73,1990,1990-12-09,13,26.127,PHI,@,MIA,L 20-23,,0,0,,0,0,0,1.0,0,0,0
74,1990,1990-12-16,14,26.134,PHI,,GNB,W 31-0,,0,0,,0,0,0,1.5,0,0,0
75,1990,1990-12-23,15,26.141,PHI,,DAL,W 17-3,,,,,,,,,,,
76,1990,1990-12-29,16,26.147,PHI,@,PHO,W 23-21,,0,0,,0,0,0,0.5,0,0,0
77,1991,1991-09-01,1,27.028,PHI,@,GNB,W 20-3,,,,,,,,,,,
78,1991,1991-09-08,2,27.035,PHI,,PHO,L 10-26,,,,,,,,,,,
79,1991,1991-09-15,3,27.042,PHI,@,DAL,W 24-0,,0,0,,0,0,0,4.5,0,0,0
80,1991,1991-09-22,4,27.049,PHI,,PIT,W 23-14,,0,0,,0,0,0,2.0,0,0,0
81,1991,1991-09-30,5,27.057,PHI,@,WAS,L 0-23,,,,,,,,,,,
82,1991,1991-10-06,6,27.063,PHI,@,TAM,L 13-14,,,,,,,,,,,
83,1991,1991-10-13,7,27.070,PHI,,NOR,L 6-13,,,,,,,,,,,
84,1991,1991-10-27,8,27.084,PHI,,SFO,L 7-23,,0,0,,0,0,0,0.5,0,0,0
85,1991,1991-11-04,9,27.092,PHI,,NYG,W 30-7,,0,0,,0,0,0,1.5,0,0,0
86,1991,1991-11-10,10,27.098,PHI,@,CLE,W 32-30,,0,0,,0,0,0,0.5,0,0,0
87,1991,1991-11-17,11,27.105,PHI,,CIN,W 17-10,,0,0,,0,0,0,2.0,0,0,0
88,1991,1991-11-24,12,27.112,PHI,@,PHO,W 34-14,,,,,,,,,,,
89,1991,1991-12-02,13,27.120,PHI,@,HOU,W 13-6,,,,,,,,,,,
90,1991,1991-12-08,14,27.126,PHI,@,NYG,W 19-14,,0,0,,0,0,0,2.0,0,0,0
91,1991,1991-12-15,15,27.133,PHI,,DAL,L 13-25,,,,,,,,,,,
92,1991,1991-12-22,16,27.140,PHI,,WAS,W 24-22,,,,,,,,,,,
93,1992,1992-09-06,1,28.033,PHI,,NOR,W 15-13,,,,,,,,,,,
94,1992,1992-09-13,2,28.040,PHI,@,PHO,W 31-14,,0,0,,0,0,0,3.0,0,0,0
95,1992,1992-09-20,3,28.047,PHI,,DEN,W 30-0,,0,0,,0,0,0,1.5,0,0,0
96,1992,1992-10-05,4,28.062,PHI,,DAL,W 31-7,,0,0,,0,0,0,1.0,0,0,0
97,1992,1992-10-11,5,28.068,PHI,@,KAN,L 17-24,,0,0,,0,0,0,2.0,0,0,0
98,1992,1992-10-18,6,28.075,PHI,@,WAS,L 12-16,,0,0,,0,0,0,1.0,0,0,0
99,1992,1992-10-25,7,28.082,PHI,,PHO,W 7-3,,0,0,,0,0,0,1.0,0,0,0
100,1992,1992-11-01,8,28.089,PHI,@,DAL,L 10-20,,,,,,,,,,,
101,1992,1992-11-08,9,28.096,PHI,,RAI,W 31-10,,0,0,,0,0,0,1.5,0,0,0
102,1992,1992-11-15,10,28.103,PHI,@,GNB,L 24-27,,,,,,,,,,,
103,1992,1992-11-22,11,28.110,PHI,@,NYG,W 47-34,,0,0,,0,0,0,3.0,0,0,0
104,1992,1992-11-29,12,28.117,PHI,@,SFO,L 14-20,,,,,,,,,,,
105,1992,1992-12-06,13,28.124,PHI,,MIN,W 28-17,,0,0,,0,0,0,0.5,0,0,0
106,1992,1992-12-13,14,28.131,PHI,@,SEA,W 20-17,,0,0,,0,0,0,2.0,0,0,0
107,1992,1992-12-20,15,28.138,PHI,,WAS,W 17-13,,0,0,,0,0,0,1.0,0,0,0
108,1992,1992-12-27,16,28.145,PHI,,NYG,W 20-10,,0,0,,0,0,0,1.5,0,0,0
109,1993,1993-09-05,1,29.032,PHI,,PHO,W 23-17,,,,,,,,,,,
110,1993,1993-09-12,2,29.039,PHI,@,GNB,W 20-17,,,,,,,,,,,
111,1993,1993-09-19,3,29.046,PHI,,WAS,W 34-31,,0,0,,0,0,0,2.0,0,0,0
112,1993,1993-10-03,4,29.060,PHI,@,NYJ,W 35-30,,,,,,,,,,,
113,1993,1993-10-10,5,29.067,PHI,,CHI,L 6-17,,,,,,,,,,,
114,1993,1993-10-17,6,29.074,PHI,@,NYG,L 10-21,,,,,,,,,,,
115,1993,1993-10-31,7,29.088,PHI,,DAL,L 10-23,,,,,,,,,,,
116,1993,1993-11-07,8,29.095,PHI,@,PHO,L 3-16,,,,,,,,,,,
117,1993,1993-11-14,9,29.102,PHI,,MIA,L 14-19,,,,,,,,,,,
118,1993,1993-11-21,10,29.109,PHI,,NYG,L 3-7,,,,,,,,,,,
119,1993,1993-11-28,11,29.116,PHI,@,WAS,W 17-14,,0,0,,0,0,0,0.5,0,0,0
