ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1971,1971-09-20,1,22.231,DET,,MIN,L 13-16,,,,
2,1971,1971-09-26,2,22.237,DET,@,NWE,W 34-7,,,,
3,1971,1971-10-03,3,22.244,DET,,ATL,W 41-38,,,,
4,1971,1971-10-10,4,22.251,DET,,GNB,W 31-28,,,,
5,1971,1971-10-17,5,22.258,DET,@,HOU,W 31-7,1,4,4.00,0
6,1971,1971-10-24,6,22.265,DET,,CHI,L 23-28,,,,
7,1971,1971-11-01,7,22.273,DET,@,GNB,T 14-14,,,,
8,1971,1971-11-07,8,22.279,DET,@,DEN,W 24-20,,,,
9,1971,1971-11-14,9,22.286,DET,,RAM,L 13-21,,,,
10,1971,1971-11-21,10,22.293,DET,@,CHI,W 28-3,,,,
11,1971,1971-11-25,11,22.297,DET,,KAN,W 32-21,,,,
12,1971,1971-12-05,12,22.307,DET,,PHI,L 20-23,,,,
13,1971,1971-12-11,13,22.313,DET,@,MIN,L 10-29,,,,
14,1971,1971-12-19,14,22.321,DET,@,SFO,L 27-31,,,,
15,1972,1972-09-17,1,23.229,DET,,NYG,W 30-16,,,,
16,1972,1972-09-24,2,23.236,DET,,MIN,L 10-34,,,,
17,1972,1972-10-01,3,23.243,DET,@,CHI,W 38-24,,,,
18,1972,1972-10-08,4,23.250,DET,@,ATL,W 26-23,,,,
19,1972,1972-10-16,5,23.258,DET,,GNB,L 23-24,,,,
20,1972,1972-10-22,6,23.264,DET,,SDG,W 34-20,,,,
21,1972,1972-10-30,7,23.272,DET,@,DAL,L 24-28,,,,
22,1973,1973-09-16,1,24.227,DET,@,PIT,L 10-24,,,,
23,1973,1973-09-23,2,24.234,DET,@,GNB,T 13-13,,,,
24,1973,1973-10-01,3,24.242,DET,,ATL,W 31-6,,,,
25,1973,1973-10-07,4,24.248,DET,,MIN,L 9-23,,,,
26,1973,1973-10-14,5,24.255,DET,@,NOR,L 13-20,,,,
27,1973,1973-10-21,6,24.262,DET,,BAL,L 27-29,,,,
28,1973,1973-10-28,7,24.269,DET,,GNB,W 34-0,,,,
29,1973,1973-11-04,8,24.276,DET,,SFO,W 30-20,,,,
30,1973,1973-11-11,9,24.283,DET,@,MIN,L 7-28,,,,
31,1973,1973-11-18,10,24.290,DET,@,CHI,W 30-7,,,,
32,1973,1973-11-22,11,24.294,DET,,WAS,L 0-20,,,,
33,1973,1973-12-02,12,24.304,DET,@,STL,W 20-16,,,,
34,1973,1973-12-09,13,24.311,DET,,CHI,W 40-7,,,,
35,1973,1973-12-15,14,24.317,DET,@,MIA,L 7-34,,,,
36,1974,1974-09-15,1,25.226,NOR,,SFO,L 13-17,,,,
37,1974,1974-09-22,2,25.233,NOR,@,RAM,L 0-24,,,,
38,1974,1974-09-29,3,25.240,NOR,,ATL,W 14-13,,,,
39,1974,1974-10-06,4,25.247,NOR,@,CHI,L 10-24,,,,
40,1974,1974-10-13,5,25.254,NOR,@,DEN,L 17-33,,,,
41,1974,1974-10-20,6,25.261,NOR,@,ATL,W 13-3,,,,
42,1974,1974-10-27,7,25.268,NOR,,PHI,W 14-10,,,,
43,1974,1974-11-03,8,25.275,NOR,@,DET,L 14-19,,,,
44,1974,1974-11-10,9,25.282,NOR,,MIA,L 0-21,,,,
45,1974,1974-11-17,10,25.289,NOR,,RAM,W 20-7,,,,
46,1974,1974-11-25,11,25.297,NOR,,PIT,L 7-28,,,,
47,1974,1974-12-01,12,25.303,NOR,@,MIN,L 9-29,,,,
48,1974,1974-12-08,13,25.310,NOR,,STL,W 14-0,,,,
49,1974,1974-12-15,14,25.317,NOR,@,SFO,L 21-35,,,,
50,1975,1975-09-21,1,26.232,NOR,@,WAS,L 3-41,,,,
51,1975,1975-09-28,2,26.239,NOR,,CIN,L 0-21,,,,
52,1975,1975-10-05,3,26.246,NOR,@,ATL,L 7-14,,,,
53,1975,1975-10-12,4,26.253,NOR,,GNB,W 20-19,,,,
54,1975,1975-10-19,5,26.260,NOR,@,SFO,L 21-35,,,,
55,1975,1975-11-02,7,26.274,NOR,,ATL,W 23-7,,,,
56,1975,1975-11-09,8,26.281,NOR,@,OAK,L 10-48,,,,
