ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2007,2007-09-09,1,21.351,DEN,@,BUF,W 15-14,,,,,,,,,,,
2,2007,2007-09-16,2,21.358,DEN,,OAK,W 23-20,,0,0,,0,0.0,,,1,-2,0
3,2007,2007-09-23,3,22.000,DEN,,JAX,L 14-23,,,,,,,,,,,
4,2007,2007-09-30,4,22.007,DEN,@,IND,L 20-38,,,,,,,,,,,
5,2007,2007-10-07,5,22.014,DEN,,SDG,L 3-41,,,,,,,,,,,
6,2007,2007-10-21,6,22.028,DEN,,PIT,W 31-28,*,,,,,,,,,,
7,2007,2007-10-29,7,22.036,DEN,,GNB,L 13-19,,,,,,,,,,,
8,2007,2007-11-04,8,22.042,DEN,@,DET,L 7-44,,,,,,,,,,,
9,2007,2007-11-11,9,22.049,DEN,@,KAN,W 27-11,,,,,,,,,,,
10,2007,2007-11-19,10,22.057,DEN,,TEN,W 34-20,,,,,,,,,,,
11,2007,2007-11-25,11,22.063,DEN,@,CHI,L 34-37,,,,,,,,,,,
12,2007,2007-12-02,12,22.070,DEN,@,OAK,L 20-34,,,,,,,,,,,
13,2007,2007-12-09,13,22.077,DEN,,KAN,W 41-7,*,,,,,,,,,,
14,2007,2007-12-13,14,22.081,DEN,@,HOU,L 13-31,*,,,,,,,,,,
15,2007,2007-12-24,15,22.092,DEN,@,SDG,L 3-23,*,,,,,,,,,,
16,2007,2007-12-30,16,22.098,DEN,,MIN,W 22-19,*,,,,,,,,,,
17,2008,2008-09-08,1,22.351,DEN,@,OAK,W 41-14,*,0,0,,0,0.0,1,0,0,0,0
18,2008,2008-09-14,2,22.357,DEN,,SDG,W 39-38,*,,,,,,,,,,
19,2008,2008-09-21,3,22.364,DEN,,NOR,W 34-32,*,,,,,,,,,,
20,2008,2008-09-28,4,23.005,DEN,@,KAN,L 19-33,*,0,0,,0,0.0,4,1,0,0,0
21,2008,2008-10-05,5,23.012,DEN,,TAM,W 16-13,*,0,0,,0,0.0,0,2,1,11,0
22,2008,2008-10-12,6,23.019,DEN,,JAX,L 17-24,*,0,0,,0,0.0,1,4,0,0,0
23,2008,2008-10-20,7,23.027,DEN,@,NWE,L 7-41,*,0,0,,0,0.0,4,2,0,0,0
24,2008,2008-11-02,8,23.040,DEN,,MIA,L 17-26,*,0,0,,0,0.0,1,0,0,0,0
25,2008,2008-11-06,9,23.044,DEN,@,CLE,W 34-30,*,,,,,,,,,,
26,2008,2008-11-16,10,23.054,DEN,@,ATL,W 24-20,*,0,0,,0,0.0,2,0,0,0,0
27,2008,2008-11-23,11,23.061,DEN,,OAK,L 10-31,*,0,0,,0,0.0,3,0,0,0,0
28,2008,2008-11-30,12,23.068,DEN,@,NYJ,W 34-17,*,,,,,,,,,,
29,2008,2008-12-07,13,23.075,DEN,,KAN,W 24-17,*,0,0,,0,0.0,1,1,0,0,0
30,2008,2008-12-14,14,23.082,DEN,@,CAR,L 10-30,*,0,0,,0,0.0,1,0,0,0,0
31,2008,2008-12-21,15,23.089,DEN,,BUF,L 23-30,*,0,0,,0,0.0,1,1,0,0,0
32,2008,2008-12-28,16,23.096,DEN,@,SDG,L 21-52,*,0,0,,0,0.0,4,0,0,0,0
33,2009,2009-09-13,1,23.355,DEN,@,CIN,W 12-7,,0,0,,0,0.0,0,1,0,0,0
34,2009,2009-09-20,2,23.362,DEN,,CLE,W 27-6,,0,0,,0,0.0,1,0,0,0,0
35,2009,2009-09-27,3,24.004,DEN,@,OAK,W 23-3,,0,0,,0,0.0,0,1,0,0,0
36,2009,2009-10-04,4,24.011,DEN,,DAL,W 17-10,,,,,,,,,,,
37,2009,2009-10-11,5,24.018,DEN,,NWE,W 20-17,,,,,,,,,,,
38,2009,2009-10-19,6,24.026,DEN,@,SDG,W 34-23,,0,0,,0,0.0,1,0,0,0,0
39,2009,2009-11-01,7,24.039,DEN,@,BAL,L 7-30,,0,0,,0,0.0,0,1,0,0,0
