ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1976,1976-09-12,1,22.140,ATL,,RAM,L 14-30,,,,,,,
2,1976,1976-09-19,2,22.147,ATL,@,DET,L 10-24,,,,,,,
3,1976,1976-09-26,3,22.154,ATL,@,CHI,W 10-0,,,,,,,
4,1976,1976-10-03,4,22.161,ATL,,PHI,L 13-14,,,,,,,
5,1976,1976-10-10,5,22.168,ATL,@,NOR,L 0-30,,,,,,,
6,1976,1976-10-17,6,22.175,ATL,,CLE,L 17-20,,,,,,,
7,1976,1976-10-23,7,22.181,ATL,@,SFO,L 0-15,,,,,,,
8,1976,1976-10-31,8,22.189,ATL,,NOR,W 23-20,,,,,,,
9,1976,1976-11-07,9,22.196,ATL,@,SEA,L 13-30,,,,,,,
10,1976,1976-11-14,10,22.203,ATL,,SFO,W 21-16,,,,,,,
11,1976,1976-11-21,11,22.210,ATL,,DAL,W 17-10,0,0,,0,1,13,0
12,1976,1976-11-28,12,22.217,ATL,@,HOU,L 14-20,,,,,,,
13,1976,1976-12-04,13,22.223,ATL,@,RAM,L 0-59,,,,,,,
14,1976,1976-12-12,14,22.231,ATL,,GNB,L 20-24,,,,,,,
15,1977,1977-09-25,2,23.153,ATL,@,WAS,L 6-10,,,,,,,
16,1977,1977-10-02,3,23.160,ATL,,NYG,W 17-3,,,,,,,
17,1977,1977-10-09,4,23.167,ATL,@,SFO,W 7-0,,,,,,,
18,1977,1977-10-16,5,23.174,ATL,@,BUF,L 0-3,,,,,,,
19,1977,1977-10-23,6,23.181,ATL,@,CHI,W 16-10,,,,,,,
20,1977,1977-10-30,7,23.188,ATL,,MIN,L 7-14,,,,,,,
21,1977,1977-11-06,8,23.195,ATL,,SFO,L 3-10,,,,,,,
22,1977,1977-11-13,9,23.202,ATL,,DET,W 17-6,,,,,,,
23,1977,1977-11-20,10,23.209,ATL,@,NOR,L 20-21,,,,,,,
24,1977,1977-11-27,11,23.216,ATL,@,TAM,W 17-0,,,,,,,
25,1977,1977-12-04,12,23.223,ATL,,NWE,L 10-16,,,,,,,
26,1977,1977-12-11,13,23.230,ATL,@,RAM,L 7-23,,,,,,,
27,1977,1977-12-18,14,23.237,ATL,,NOR,W 35-7,,,,,,,
28,1978,1978-09-03,1,24.131,ATL,,HOU,W 20-14,,,,,,,
29,1978,1978-09-10,2,24.138,ATL,@,RAM,L 0-10,,,,,,,
30,1978,1978-09-17,3,24.145,ATL,,CLE,L 16-24,,,,,,,
31,1978,1978-09-24,4,24.152,ATL,@,TAM,L 9-14,,,,,,,
32,1978,1978-10-01,5,24.159,ATL,,NYG,W 23-20,,,,,,,
33,1978,1978-10-08,6,24.166,ATL,@,PIT,L 7-31,,,,,,,
34,1978,1978-10-15,7,24.173,ATL,,DET,W 14-0,,,,,,,
35,1978,1978-10-22,8,24.180,ATL,@,SFO,W 20-17,,,,,,,
36,1978,1978-10-30,9,24.188,ATL,,RAM,W 15-7,,,,,,,
37,1978,1978-11-05,10,24.194,ATL,,SFO,W 21-10,,,,,,,
38,1978,1978-11-12,11,24.201,ATL,@,NOR,W 20-17,,,,,,,
39,1978,1978-11-19,12,24.208,ATL,@,CHI,L 7-13,,,,,,,
40,1978,1978-11-26,13,24.215,ATL,,NOR,W 20-17,,,,,,,
41,1978,1978-12-03,14,24.222,ATL,@,CIN,L 7-37,,,,,,,
42,1978,1978-12-10,15,24.229,ATL,,WAS,W 20-17,,,,,,,
43,1978,1978-12-17,16,24.236,ATL,@,STL,L 21-42,,,,,,,
44,1979,1979-09-02,1,25.130,ATL,@,NOR,W 40-34,,,,,,,
45,1979,1979-09-10,2,25.138,ATL,@,PHI,W 14-10,,,,,,,
46,1979,1979-09-16,3,25.144,ATL,,DEN,L 17-20,,,,,,,
47,1979,1979-09-23,4,25.151,ATL,@,DET,L 23-24,,,,,,,
48,1979,1979-09-30,5,25.158,ATL,,WAS,L 7-16,,,,,,,
49,1979,1979-10-07,6,25.165,ATL,,GNB,W 25-7,,,,,,,
50,1979,1979-10-14,7,25.172,ATL,@,OAK,L 19-50,,,,,,,
51,1979,1979-10-21,8,25.179,ATL,@,SFO,L 15-20,,,,,,,
52,1979,1979-10-29,9,25.187,ATL,,SEA,L 28-31,,,,,,,
53,1979,1979-11-04,10,25.193,ATL,,TAM,W 17-14,,,,,,,
54,1979,1979-11-11,11,25.200,ATL,@,NYG,L 3-24,,,,,,,
55,1979,1979-11-19,12,25.208,ATL,@,RAM,L 14-20,,,,,,,
56,1979,1979-11-25,13,25.214,ATL,,NOR,L 6-37,,,,,,,
57,1979,1979-12-02,14,25.221,ATL,@,SDG,W 28-26,1,2,2.00,0,0,0,0
58,1979,1979-12-09,15,25.228,ATL,,RAM,L 13-34,,,,,,,
59,1980,1980-09-07,1,26.135,ATL,@,MIN,L 23-24,,,,,,,
60,1980,1980-09-21,3,26.149,ATL,,MIA,L 17-20,,,,,,,
61,1980,1980-09-28,4,26.156,ATL,@,SFO,W 20-17,,,,,,,
62,1980,1980-10-05,5,26.163,ATL,,DET,W 43-28,,,,,,,
63,1980,1980-10-12,6,26.170,ATL,,NYJ,L 7-14,,,,,,,
64,1980,1980-10-19,7,26.177,ATL,@,NOR,W 41-14,,,,,,,
65,1980,1980-10-26,8,26.184,ATL,,RAM,W 13-10,,,,,,,
66,1980,1980-11-02,9,26.191,ATL,@,BUF,W 30-14,,,,,,,
67,1980,1980-11-09,10,26.198,ATL,@,STL,W 33-27,,,,,,,
68,1980,1980-11-16,11,26.205,ATL,,NOR,W 31-13,,,,,,,
69,1980,1980-11-23,12,26.212,ATL,,CHI,W 28-17,,,,,,,
70,1980,1980-11-30,13,26.219,ATL,,WAS,W 10-6,,,,,,,
71,1980,1980-12-07,14,26.226,ATL,@,PHI,W 20-17,,,,,,,
72,1980,1980-12-14,15,26.233,ATL,,SFO,W 35-10,,,,,,,
73,1980,1980-12-21,16,26.240,ATL,@,RAM,L 17-20,,,,,,,
