ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1950,1950-09-24,2,29.205,CLE,@,BAL,W 31-0,1,16,16.00,0,0,0,,0,1,1,100.00,3,0,0,79.2,0,0,3.00,3.00
2,1950,1950-10-29,7,29.240,CLE,,PIT,W 45-7,1,38,38.00,1,0,0,,0,0,0,,0,0,,,,,,
3,1951,1951-10-07,2,30.218,CLE,@,RAM,W 38-23,1,20,20.00,0,0,0,,0,0,0,,0,0,,,,,,
4,1951,1951-10-14,3,30.225,CLE,,WAS,W 45-0,2,29,14.50,0,0,0,,0,0,0,,0,0,,,,,,
5,1951,1951-10-28,5,30.239,CLE,,NYG,W 14-13,2,25,12.50,0,0,0,,0,0,0,,0,0,,,,,,
6,1951,1951-11-04,6,30.246,CLE,@,CRD,W 34-17,5,80,16.00,0,0,0,,0,0,0,,0,0,,,,,,
7,1951,1951-11-11,7,30.253,CLE,,PHI,W 20-17,1,10,10.00,0,0,0,,0,0,0,,0,0,,,,,,
8,1952,1952-10-04,2,31.215,CLE,@,PIT,W 21-20,2,25,12.50,0,0,0,,0,0,0,,0,0,,,,,,
9,1952,1952-10-12,3,31.223,CLE,,NYG,L 9-17,1,9,9.00,0,0,0,,0,0,0,,0,0,,,,,,
10,1952,1952-10-19,4,31.230,CLE,@,PHI,W 49-7,1,11,11.00,1,0,0,,0,0,0,,0,0,,,,,,
11,1953,1953-09-27,1,32.208,CLE,@,GNB,W 27-0,1,-11,-11.00,0,0,0,,0,0,0,,0,0,,,,,,
12,1953,1953-10-10,3,32.221,CLE,,PHI,W 37-13,2,39,19.50,0,0,0,,0,0,0,,0,0,,,,,,
13,1953,1953-11-01,6,32.243,CLE,,WAS,W 27-3,1,0,0.00,0,0,0,,0,0,0,,0,0,,,,,,
14,1953,1953-12-06,11,32.278,CLE,,NYG,W 62-14,3,52,17.33,0,0,0,,0,0,0,,0,0,,,,,,
15,1954,1954-10-10,2,33.221,CLE,,CRD,W 31-7,2,18,9.00,0,0,0,,0,0,0,,0,0,,,,,,
16,1954,1954-12-12,11,33.284,CLE,,PIT,W 42-7,3,44,14.67,0,0,0,,0,0,0,,0,0,,,,,,
17,1955,1955-11-27,10,34.269,CLE,@,NYG,T 35-35,0,0,,0,1,-15,-15.00,0,0,0,,0,0,,,,,,
