ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1982,1982-09-19,2,24.210,KAN,,SDG,W 19-12,0,0,,0,1,18,18.00,0
2,1982,1982-11-28,4,24.280,KAN,@,RAM,L 14-20,0,0,,0,0,0,,0
3,1982,1982-12-12,6,24.294,KAN,,RAI,L 16-21,0,0,,0,0,0,,0
4,1982,1982-12-19,7,24.301,KAN,@,DEN,W 37-16,0,0,,0,0,0,,0
5,1982,1982-12-26,8,24.308,KAN,,SFO,L 13-26,0,0,,0,0,0,,0
6,1982,1983-01-02,9,24.315,KAN,,NYJ,W 37-13,4,7,1.75,0,1,23,23.00,0
