ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
40,1991,1991-11-24,12,25.086,SDG,@,NYJ,L 3-24,,0,0,,0,,,0,0,,0,,,,,0,,,,
41,1991,1991-12-01,13,25.093,SDG,,RAI,L 7-9,,0,0,,0,,,0,0,,0,,,,,0,,,,
42,1991,1991-12-08,14,25.100,SDG,@,KAN,L 17-20,,0,0,,0,,,0,0,,0,,,,,0,,,,
43,1991,1991-12-15,15,25.107,SDG,,MIA,W 38-30,,0,0,,0,,,0,0,,0,,,,,0,,,,
44,1991,1991-12-22,16,25.114,SDG,,DEN,L 14-17,,0,0,,0,,,0,0,,0,,,,,0,,,,
45,1992,1992-09-06,1,26.007,SDG,,KAN,L 10-24,,,,,,0.0%,,,,,,0,0,,0,,,,,
46,1992,1992-09-13,2,26.014,SDG,@,DEN,L 13-21,,,,,,0.0%,,,,,,0,0,,0,,,,,
47,1992,1992-09-20,3,26.021,SDG,,PIT,L 6-23,,,,,,0.0%,,,,,,0,0,,0,,,,,
48,1992,1992-09-27,4,26.028,SDG,@,HOU,L 0-27,,,,,,0.0%,,,,,,0,0,,0,,,,,
49,1992,1992-10-04,5,26.035,SDG,,SEA,W 17-6,,,,,,0.0%,,,,,,0,0,,0,,,,,
50,1992,1992-10-18,6,26.049,SDG,@,IND,W 34-14,,,,,,0.0%,,,,,,0,0,,0,,,,,
51,1992,1992-10-25,7,26.056,SDG,,DEN,W 24-21,,,,,,0.0%,,,,,,0,0,,0,,,,,
52,1992,1992-11-01,8,26.063,SDG,,IND,W 26-0,,,,,,0.0%,,,,,,0,0,,0,,,,,
53,1992,1992-11-08,9,26.070,SDG,@,KAN,L 14-16,,,,,,0.0%,,,,,,0,0,,0,,,,,
54,1992,1992-11-15,10,26.077,SDG,@,CLE,W 14-13,,0,0,,0,0.0%,,0,0,,0,2,14,7.00,0,0,0,0,0,0
55,1992,1992-11-22,11,26.084,SDG,,TAM,W 29-14,,,,,,0.0%,,,,,,0,0,,0,,,,,
56,1992,1992-11-29,12,26.091,SDG,,RAI,W 27-3,,,,,,0.0%,,,,,,0,0,,0,,,,,
57,1992,1992-12-06,13,26.098,SDG,@,PHO,W 27-21,,,,,,0.0%,,,,,,0,0,,0,,,,,
58,1992,1992-12-13,14,26.105,SDG,,CIN,W 27-10,,,,,,0.0%,,,,,,0,0,,0,,,,,
59,1992,1992-12-20,15,26.112,SDG,@,RAI,W 36-14,,,,,,0.0%,,,,,,0,0,,0,,,,,
60,1992,1992-12-27,16,26.119,SDG,@,SEA,W 31-14,,,,,,0.0%,,,,,,0,0,,0,,,,,
61,1993,1993-09-05,1,27.006,SDG,,SEA,W 18-12,,,,,,0.0%,,0,0,,0,0,0,,0,,,,,
62,1993,1993-09-12,2,27.013,SDG,@,DEN,L 17-34,,,,,,0.0%,,0,0,,0,0,0,,0,,,,,
63,1993,1993-09-19,3,27.020,SDG,,HOU,W 18-17,,,,,,0.0%,,0,0,,0,0,0,,0,,,,,
64,1993,1993-10-03,4,27.034,SDG,@,SEA,L 14-31,,0,0,,0,0.0%,,0,0,,0,1,13,13.00,0,0,0,0,0,0
65,1993,1993-10-10,5,27.041,SDG,@,PIT,L 3-16,,0,0,,0,0.0%,,0,0,,0,1,12,12.00,0,0,0,0,0,0
66,1993,1993-10-17,6,27.048,SDG,,KAN,L 14-17,,,,,,0.0%,,0,0,,0,0,0,,0,,,,,
67,1993,1993-10-31,7,27.062,SDG,@,RAI,W 30-23,,,,,,0.0%,,0,0,,0,0,0,,0,,,,,
68,1993,1993-11-07,8,27.069,SDG,@,MIN,W 30-17,,,,,,0.0%,,0,0,,0,0,0,,0,,,,,
69,1993,1993-11-14,9,27.076,SDG,,CHI,L 13-16,,,,,,0.0%,,0,0,,0,0,0,,0,,,,,
70,1993,1993-11-21,10,27.083,SDG,,RAI,L 7-12,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1,16,0
71,1993,1993-11-29,11,27.091,SDG,@,IND,W 31-0,,,,,,0.0%,,0,0,,0,0,0,,0,,,,,
72,1993,1993-12-05,12,27.097,SDG,,DEN,W 13-10,,,,,,0.0%,,0,0,,0,0,0,,0,,,,,
73,1993,1993-12-12,13,27.104,SDG,,GNB,L 13-20,,,,,,0.0%,,0,0,,0,0,0,,0,,,,,
74,1993,1993-12-19,14,27.111,SDG,@,KAN,L 24-28,,0,0,,0,0.0%,,1,0,0.00,0,0,0,,0,0,0,0,0,0
75,1993,1993-12-27,15,27.119,SDG,,MIA,W 45-20,,,,,,0.0%,,0,0,,0,0,0,,0,,,,,
76,1993,1994-01-02,16,27.125,SDG,@,TAM,W 32-17,,,,,,0.0%,,0,0,,0,0,0,,0,,,,,
77,1994,1994-09-04,1,28.005,SDG,@,DEN,W 37-34,0,,,,,0.0%,,0,0,,0,,,,,,,,,
78,1994,1994-09-11,2,28.012,SDG,,CIN,W 27-10,,,,,,0.0%,,0,0,,0,,,,,,,,,
79,1994,1994-09-18,3,28.019,SDG,@,SEA,W 24-10,,,,,,0.0%,,0,0,,0,,,,,,,,,
80,1994,1994-09-25,4,28.026,SDG,@,RAI,W 26-24,0,,,,,0.0%,,0,0,,0,,,,,,,,,
81,1994,1994-10-09,5,28.040,SDG,,KAN,W 20-6,,,,,,0.0%,,0,0,,0,,,,,,,,,
82,1994,1994-10-16,6,28.047,SDG,@,NOR,W 36-22,,,,,,0.0%,,0,0,,0,,,,,,,,,
83,1994,1994-10-23,7,28.054,SDG,,DEN,L 15-20,0,0,0,,0,0.0%,,1,3,3.00,0,0,0,,0,0,0,0,0,0
84,1994,1994-10-30,8,28.061,SDG,,SEA,W 35-15,,,,,,0.0%,,0,0,,0,,,,,,,,,
85,1994,1994-11-06,9,28.068,SDG,@,ATL,L 9-10,,,,,,0.0%,,0,0,,0,,,,,,,,,
86,1994,1994-11-13,10,28.075,SDG,@,KAN,W 14-13,0,,,,,0.0%,,0,0,,0,,,,,,,,,
87,1994,1994-11-20,11,28.082,SDG,@,NWE,L 17-23,0,,,,,0.0%,,0,0,,0,,,,,,,,,
88,1994,1994-11-27,12,28.089,SDG,,RAM,W 31-17,,,,,,0.0%,,0,0,,0,,,,,,,,,
89,1994,1994-12-05,13,28.097,SDG,,RAI,L 17-24,,,,,,0.0%,,0,0,,0,,,,,,,,,
90,1994,1994-12-11,14,28.103,SDG,,SFO,L 15-38,,,,,,0.0%,,0,0,,0,,,,,,,,,
91,1994,1994-12-18,15,28.110,SDG,@,NYJ,W 21-6,0,,,,,0.0%,,0,0,,0,,,,,,,,,
92,1994,1994-12-24,16,28.116,SDG,,PIT,W 37-34,,,,,,0.0%,,0,0,,0,,,,,,,,,
93,1995,1995-09-24,4,29.025,PHI,@,OAK,L 17-48,,,,,,0.0%,,,,,,,,,,,,,,
94,1995,1995-10-01,5,29.032,PHI,@,NOR,W 15-10,,,,,,0.0%,,,,,,,,,,,,,,
95,1995,1995-10-08,6,29.039,PHI,,WAS,W 37-34,,,,,,0.0%,,,,,,,,,,,,,,
96,1995,1995-11-26,12,29.088,HOU,,DEN,W 42-33,,,,,,0.0%,,,,,,,,,,,,,,
97,1995,1995-12-03,13,29.095,HOU,@,PIT,L 7-21,,,,,,0.0%,,,,,,,,,,,,,,
98,1995,1995-12-10,14,29.102,HOU,,DET,L 17-24,,,,,,0.0%,,,,,,,,,,,,,,
99,1995,1995-12-17,15,29.109,HOU,,NYJ,W 23-6,,,,,,0.0%,,,,,,,,,,,,,,
100,1995,1995-12-24,16,29.116,HOU,@,BUF,W 28-17,,,,,,0.0%,,,,,,,,,,,,,,
