ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1989,1989-09-10,1,23.011,SFO,@,IND,W 30-24,,,,,,,,,,,,,,,,,,,,
2,1989,1989-09-17,2,23.018,SFO,@,TAM,W 20-16,,,,,,,,,,,,,,,,,,,,
3,1989,1989-09-24,3,23.025,SFO,@,PHI,W 38-28,,,,,,,,,,,,,,,,,,,,
4,1989,1989-10-01,4,23.032,SFO,,RAM,L 12-13,,,,,,,,,,,,,,,,,,,,
5,1989,1989-10-08,5,23.039,DAL,@,GNB,L 13-31,,,,,,,,,,,,,,,,,,,,
6,1989,1989-10-15,6,23.046,DAL,,SFO,L 14-31,,,,,,,,,,,,,,,,,,,,
7,1989,1989-10-22,7,23.053,DAL,@,KAN,L 28-36,,,,,,,,,,,,,,,,,,,,
8,1989,1989-10-29,8,23.060,DAL,,PHO,L 10-19,,,,,,,,,,,,,,,,,,,,
9,1989,1989-11-12,10,23.074,SFO,,ATL,W 45-3,,,,,,,,,,,,,,,,,,,,
10,1989,1989-11-19,11,23.081,SFO,,GNB,L 17-21,,,,,,,,,,,,,,,,,,,,
11,1989,1989-11-27,12,23.089,SFO,,NYG,W 34-24,,,,,,,,,,,,,,,,,,,,
12,1989,1989-12-03,13,23.095,SFO,@,ATL,W 23-10,,,,,,,,,,,,,,,,,,,,
13,1989,1989-12-11,14,23.103,SFO,@,RAM,W 30-27,,,,,,,,,,,,,,,,,,,,
14,1989,1989-12-17,15,23.109,SFO,,BUF,W 21-10,,,,,,,,,,,,,,,,,,,,
15,1989,1989-12-24,16,23.116,SFO,,CHI,W 26-0,,,,,,,,,,,,,,,,,,,,
16,1990,1990-09-23,3,24.024,SDG,@,CLE,W 24-14,,0,0,,0,,,,,,,,,,,,,,,
17,1990,1990-09-30,4,24.031,SDG,,HOU,L 7-17,,0,0,,0,,,,,,,,,,,,,,,
18,1990,1990-10-07,5,24.038,SDG,@,PIT,L 14-36,,0,0,,0,,,,,,,,,,,,,,,
19,1990,1990-10-14,6,24.045,SDG,@,NYJ,W 39-3,,0,0,,0,,,,,,,,,,,,,,,
20,1990,1990-10-21,7,24.052,SDG,,RAI,L 9-24,,0,0,,0,,,,,,,,,,,,,,,
21,1990,1990-10-28,8,24.059,SDG,,TAM,W 41-10,,0,0,,0,,,,,,,,,,,,,,,
22,1990,1990-11-04,9,24.066,SDG,@,SEA,W 31-14,,0,0,,0,,,,,,,,,,,,,,,
23,1990,1990-11-11,10,24.073,SDG,,DEN,W 19-7,,0,0,,0,,,,,,,,,,,,,,,
24,1990,1990-11-18,11,24.080,SDG,@,KAN,L 10-27,,0,0,,0,,,,,,,,,,,,,,,
25,1990,1990-11-25,12,24.087,SDG,,SEA,L 10-13,,0,0,,0,,,,,,,,,,,,,,,
26,1990,1990-12-02,13,24.094,SDG,,NYJ,W 38-17,,0,0,,0,,,,,,,,,,,,,,,
27,1990,1990-12-16,14,24.108,SDG,@,DEN,L 10-20,,0,0,,0,,,,,,,,,,,,,,,
28,1990,1990-12-23,15,24.115,SDG,,KAN,L 21-24,,0,0,,0,,,,,,,,,,,,,,,
29,1990,1990-12-30,16,24.122,SDG,@,RAI,L 12-17,,1,12,12.00,0,,,0,0,,0,0,0,,0,0,0,0,0,0
30,1991,1991-09-01,1,25.002,SDG,@,PIT,L 20-26,,0,0,,0,,,0,0,,0,,,,,0,,,,
31,1991,1991-09-08,2,25.009,SDG,@,SFO,L 14-34,,0,0,,0,,,0,0,,0,,,,,0,,,,
32,1991,1991-09-22,4,25.023,SDG,@,DEN,L 19-27,,0,0,,0,,,0,0,,0,,,,,0,,,,
33,1991,1991-09-29,5,25.030,SDG,,KAN,L 13-14,,0,0,,0,,,0,0,,0,,,,,0,,,,
34,1991,1991-10-06,6,25.037,SDG,@,RAI,W 21-13,,1,13,13.00,0,,,0,0,,0,0,0,,0,0,0,0,0,0
35,1991,1991-10-13,7,25.044,SDG,@,RAM,L 24-30,,1,1,1.00,0,,,0,0,,0,0,0,,0,0,0,0,0,0
36,1991,1991-10-20,8,25.051,SDG,,CLE,L 24-30,,1,2,2.00,1,,,0,0,,0,0,0,,0,1,6,0,0,0
37,1991,1991-10-27,9,25.058,SDG,@,SEA,L 9-20,,0,0,,0,,,0,0,,0,,,,,0,,,,
38,1991,1991-11-10,10,25.072,SDG,,SEA,W 17-14,,1,20,20.00,0,,,0,0,,0,0,0,,0,0,0,0,0,0
39,1991,1991-11-17,11,25.079,SDG,,NOR,W 24-21,,0,0,,0,,,1,3,3.00,1,0,0,,0,1,6,0,0,0
