ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1993,1993-10-03,4,22.020,NYJ,,PHI,L 30-35,,,,,,,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,
2,1993,1993-10-10,5,22.027,NYJ,@,RAI,L 20-24,,,,,,,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,
3,1993,1993-10-24,6,22.041,NYJ,,BUF,L 10-19,,,,,,,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,
4,1993,1993-10-31,7,22.048,NYJ,@,NYG,W 10-6,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,21,21.00,0,0,0
5,1993,1993-11-07,8,22.055,NYJ,,MIA,W 27-10,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,2,31,15.50,0,0,0
6,1993,1993-11-14,9,22.062,NYJ,@,IND,W 31-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,1,14,14.00,0,0,0
7,1993,1993-11-21,10,22.069,NYJ,,CIN,W 17-12,,,,,,,0.0%,,,,,,,,,,,,,,,,,0,0,,0,,
8,1994,1994-09-04,1,22.356,NYJ,@,BUF,W 23-3,,0,0,0,,0,0.0%,,3,5,1.67,1,0,0,,0,0,0,,,,,,0,0,,0,1,6
9,1994,1994-09-11,2,22.363,NYJ,,DEN,W 25-22,,3,3,22,7.33,0,100.0%,7.33,0,0,,0,0,0,,0,0,0,,,,,,2,25,12.50,0,0,0
10,1994,1994-09-18,3,23.005,NYJ,@,MIA,L 14-28,,1,1,27,27.00,1,100.0%,27.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6
11,1994,1994-09-25,4,23.012,NYJ,,CHI,L 7-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,18,18.00,0,0,0
12,1994,1994-10-30,8,23.047,NYJ,@,IND,L 25-28,,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,,,,0,0,,0,0,
13,1994,1994-11-06,9,23.054,NYJ,,BUF,W 22-17,,3,1,8,8.00,0,33.3%,2.67,7,35,5.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
14,1994,1994-11-13,10,23.061,NYJ,@,GNB,L 10-17,,3,3,11,3.67,0,100.0%,3.67,9,74,8.22,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
15,1994,1994-11-20,11,23.068,NYJ,@,MIN,W 31-21,,0,0,0,,0,0.0%,,1,1,1.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
16,1994,1994-11-27,12,23.075,NYJ,,MIA,L 24-28,,5,4,27,6.75,0,80.0%,5.40,1,-1,-1.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
17,1994,1994-12-04,13,23.082,NYJ,@,NWE,L 13-24,,2,0,0,,0,0.0%,0.00,4,29,7.25,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
18,1994,1994-12-10,14,23.088,NYJ,,DET,L 7-18,,4,2,6,3.00,0,50.0%,1.50,4,27,6.75,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
19,1994,1994-12-18,15,23.096,NYJ,,SDG,L 6-21,,8,7,64,9.14,0,87.5%,8.00,6,23,3.83,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
20,1994,1994-12-24,16,23.102,NYJ,@,HOU,L 10-24,,4,4,47,11.75,0,100.0%,11.75,8,14,1.75,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
21,1995,1995-09-03,1,23.355,NYJ,@,MIA,L 14-52,,1,1,5,5.00,0,100.0%,5.00,1,1,1.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
22,1995,1995-09-10,2,23.362,NYJ,,IND,L 24-27,,3,1,9,9.00,0,33.3%,3.00,2,13,6.50,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
23,1995,1995-09-17,3,24.004,NYJ,,JAX,W 27-10,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,
24,1995,1995-09-24,4,24.011,NYJ,@,ATL,L 3-13,,1,1,3,3.00,0,100.0%,3.00,2,3,1.50,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
25,1995,1995-10-01,5,24.018,NYJ,,OAK,L 10-47,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,
26,1995,1995-10-08,6,24.025,NYJ,@,BUF,L 10-29,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,
27,1995,1995-10-15,7,24.032,NYJ,@,CAR,L 15-26,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,
28,1995,1995-10-22,8,24.039,NYJ,,MIA,W 17-16,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,
29,1995,1995-10-29,9,24.046,NYJ,@,IND,L 10-17,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,,,,,,,,0,
30,1995,1995-11-19,11,24.067,NYJ,,BUF,L 26-28,,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0
31,1996,1996-09-01,1,24.354,NYJ,@,DEN,L 6-31,,0,0,0,,0,0.0%,,3,9,3.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
32,1996,1996-09-08,2,24.361,NYJ,,IND,L 7-21,,7,5,41,8.20,0,71.4%,5.86,5,14,2.80,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
33,1996,1996-09-15,3,25.002,NYJ,@,MIA,L 27-36,,4,2,-1,-0.50,0,50.0%,-0.25,3,13,4.33,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
34,1996,1996-09-22,4,25.009,NYJ,,NYG,L 6-13,,4,4,17,4.25,0,100.0%,4.25,2,3,1.50,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
35,1996,1996-09-29,5,25.016,NYJ,@,WAS,L 16-31,,2,1,12,12.00,0,50.0%,6.00,5,19,3.80,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
