ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1963,1963-09-07,1,23.146,KAN,@,DEN,W 59-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,12,0
2,1963,1963-10-13,5,23.182,KAN,,BUF,L 26-35,0,0,,0,0,0,,0,2,62,31.00,0,0,0,,0,0,0,0,0,0
3,1963,1963-10-20,6,23.189,KAN,,SDG,L 17-38,0,0,,0,0,0,,0,2,44,22.00,0,0,0,,0,0,0,0,0,0
4,1963,1963-10-27,7,23.196,KAN,@,HOU,L 7-28,0,0,,0,0,0,,0,0,0,,0,1,13,13.00,0,0,0,0,0,0
5,1963,1963-11-08,9,23.208,KAN,,OAK,L 7-22,0,0,,0,0,0,,0,0,0,,0,1,1,1.00,0,0,0,0,0,0
6,1963,1963-11-17,10,23.217,KAN,@,BOS,T 24-24,0,0,,0,0,0,,0,1,24,24.00,0,0,0,,0,0,0,0,0,0
7,1963,1963-12-01,11,23.231,KAN,@,NYJ,L 0-17,0,0,,0,0,0,,0,1,19,19.00,0,2,11,5.50,0,0,0,0,0,0
8,1963,1963-12-08,12,23.238,KAN,,DEN,W 52-21,0,0,,0,0,0,,0,1,22,22.00,0,0,0,,0,0,0,0,0,0
9,1963,1963-12-14,13,23.244,KAN,,BOS,W 35-3,0,0,,0,0,0,,0,2,44,22.00,0,0,0,,0,0,0,0,0,0
10,1964,1964-09-13,1,24.152,KAN,@,BUF,L 17-34,0,0,,0,0,0,,0,1,31,31.00,0,0,0,,0,0,0,0,0,0
11,1964,1964-09-27,2,24.166,KAN,@,OAK,W 21-9,0,0,,0,0,0,,0,2,44,22.00,0,2,22,11.00,0,0,0,0,0,0
12,1964,1964-10-04,3,24.173,KAN,,HOU,W 28-7,0,0,,0,0,0,,0,0,0,,0,4,42,10.50,0,0,0,0,0,0
13,1964,1964-10-11,4,24.180,KAN,@,DEN,L 27-33,0,0,,0,0,0,,0,2,50,25.00,0,1,23,23.00,0,0,0,0,0,0
14,1964,1964-10-18,5,24.187,KAN,,BUF,L 22-35,0,0,,0,0,0,,0,2,55,27.50,0,2,23,11.50,0,0,0,0,0,0
15,1964,1964-11-26,11,24.226,BUF,@,SDG,W 27-24,0,0,,0,0,0,,0,3,51,17.00,0,1,40,40.00,0,0,0,0,0,0
16,1964,1964-12-06,12,24.236,BUF,@,OAK,L 13-16,0,0,,0,0,0,,0,1,26,26.00,0,0,0,,0,0,0,0,0,0
17,1964,1964-12-13,13,24.243,BUF,@,DEN,W 30-19,0,0,,0,0,0,,0,1,44,44.00,0,2,15,7.50,0,0,0,0,0,0
18,1964,1964-12-20,14,24.250,BUF,@,BOS,W 24-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,30,0
19,1965,1965-09-11,1,25.150,BUF,,BOS,W 24-7,0,0,,0,0,0,,0,1,27,27.00,0,0,0,,0,1,6,2,45,1
20,1965,1965-09-19,2,25.158,BUF,@,DEN,W 30-15,0,0,,0,0,0,,0,2,40,20.00,0,0,0,,0,0,0,3,39,0
21,1965,1965-09-26,3,25.165,BUF,,NYJ,W 33-21,0,0,,0,0,0,,0,4,69,17.25,0,0,0,,0,0,0,0,0,0
22,1965,1965-10-03,4,25.172,BUF,,OAK,W 17-12,0,0,,0,0,0,,0,2,45,22.50,0,0,0,,0,0,0,0,0,0
23,1965,1965-10-10,5,25.179,BUF,,SDG,L 3-34,0,0,,0,0,0,,0,4,103,25.75,0,0,0,,0,0,0,0,0,0
24,1965,1965-10-24,7,25.193,BUF,,DEN,W 31-13,0,0,,0,0,0,,0,3,71,23.67,0,0,0,,0,0,0,0,0,0
25,1965,1965-10-31,8,25.200,BUF,,HOU,L 17-19,0,0,,0,0,0,,0,3,37,12.33,0,0,0,,0,0,0,0,0,0
26,1965,1965-11-07,9,25.207,BUF,@,BOS,W 23-7,0,0,,0,0,0,,0,1,102,102.00,1,0,0,,0,1,6,0,0,0
27,1965,1965-11-14,10,25.214,BUF,@,OAK,W 17-14,1,2,2.00,0,0,0,,0,2,64,32.00,0,0,0,,0,0,0,0,0,0
28,1965,1965-11-25,11,25.225,BUF,@,SDG,T 20-20,0,0,,0,0,0,,0,3,70,23.33,0,0,0,,0,0,0,0,0,0
29,1965,1965-12-05,12,25.235,BUF,@,HOU,W 29-18,0,0,,0,0,0,,0,2,35,17.50,0,1,16,16.00,0,0,0,0,0,0
30,1965,1965-12-12,13,25.242,BUF,,KAN,W 34-25,0,0,,0,0,0,,0,2,33,16.50,0,0,0,,0,0,0,0,0,0
31,1965,1965-12-19,14,25.249,BUF,@,NYJ,L 12-14,0,0,,0,1,11,11.00,1,3,129,43.00,1,0,0,,0,2,12,0,0,0
32,1966,1966-09-04,1,26.143,BUF,@,SDG,L 7-27,0,0,,0,0,0,,0,3,57,19.00,0,0,0,,0,0,0,0,0,0
33,1966,1966-09-11,2,26.150,BUF,,KAN,L 20-42,0,0,,0,0,0,,0,4,103,25.75,0,0,0,,0,0,0,0,0,0
34,1966,1966-09-18,3,26.157,BUF,,MIA,W 58-24,0,0,,0,0,0,,0,4,110,27.50,0,0,0,,0,0,0,0,0,0
35,1966,1966-09-25,4,26.164,BUF,,HOU,W 27-20,0,0,,0,0,0,,0,3,60,20.00,0,0,0,,0,0,0,0,0,0
36,1966,1966-10-02,5,26.171,BUF,@,KAN,W 29-14,0,0,,0,0,0,,0,1,12,12.00,0,0,0,,0,0,0,0,0,0
37,1966,1966-10-08,6,26.177,BUF,,BOS,L 10-20,0,0,,0,0,0,,0,3,49,16.33,0,0,0,,0,0,0,0,0,0
38,1966,1966-10-30,8,26.199,BUF,@,NYJ,W 33-23,0,0,,0,0,0,,0,4,179,44.75,1,0,0,,0,1,6,0,0,0
39,1966,1966-11-06,9,26.206,BUF,@,MIA,W 29-0,0,0,,0,0,0,,0,2,40,20.00,0,0,0,,0,0,0,0,0,0
40,1966,1966-11-13,10,26.213,BUF,,NYJ,W 14-3,0,0,,0,0,0,,0,2,59,29.50,0,0,0,,0,0,0,0,0,0
41,1966,1966-11-20,11,26.220,BUF,@,HOU,W 42-20,0,0,,0,0,0,,0,4,78,19.50,0,0,0,,0,0,0,0,0,0
42,1966,1966-11-24,12,26.224,BUF,@,OAK,W 31-10,0,0,,0,0,0,,0,1,30,30.00,0,0,0,,0,0,0,0,0,0
43,1966,1966-12-04,13,26.234,BUF,@,BOS,L 3-14,0,0,,0,0,0,,0,1,27,27.00,0,0,0,,0,0,0,0,0,0
44,1966,1966-12-18,14,26.248,BUF,,DEN,W 38-21,0,0,,0,0,0,,0,1,42,42.00,0,0,0,,0,0,0,0,0,0
