ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2006,2006-12-10,13,23.231,SDG,,DEN,W 48-20,,,,,,,,,,,,
2,2006,2006-12-31,16,23.252,SDG,,ARI,W 27-20,,2,55,27.50,0,3,12,4.00,0,0.0,,
3,2007,2007-09-23,3,24.153,SDG,@,GNB,L 24-31,,,,,,,,,,,,
4,2007,2007-09-30,4,24.160,SDG,,KAN,L 16-30,,,,,,,,,,,,
5,2007,2007-10-07,5,24.167,SDG,@,DEN,W 41-3,,,,,,,,,,,,
6,2007,2007-10-14,6,24.174,SDG,,OAK,W 28-14,,,,,,,,,,,,
7,2007,2007-10-28,7,24.188,SDG,,HOU,W 35-10,,,,,,,,,,,,
8,2007,2007-11-04,8,24.195,SDG,@,MIN,L 17-35,,,,,,,,,,,,
9,2007,2007-11-11,9,24.202,SDG,,IND,W 23-21,,,,,,,,,,,,
10,2007,2007-11-18,10,24.209,SDG,@,JAX,L 17-24,,,,,,,,,,,,
11,2007,2007-11-25,11,24.216,SDG,,BAL,W 32-14,,,,,,,,,,,,
12,2007,2007-12-02,12,24.223,SDG,@,KAN,W 24-10,,,,,,,,,,,,
13,2007,2007-12-09,13,24.230,SDG,@,TEN,W 23-17,,,,,,,,,,,,
14,2007,2007-12-16,14,24.237,SDG,,DET,W 51-14,,,,,,,,,,,,
15,2007,2007-12-24,15,24.245,SDG,,DEN,W 23-3,,,,,,,,,,,,
16,2007,2007-12-30,16,24.251,SDG,@,OAK,W 30-17,,,,,,,,,,,,
17,2008,2008-09-07,1,25.137,SDG,,CAR,L 24-26,,0,0,,0,0,0,,0,0.0,0,0
18,2008,2008-09-14,2,25.144,SDG,@,DEN,L 38-39,,0,0,,0,0,0,,0,0.0,1,0
19,2008,2008-09-22,3,25.152,SDG,,NYJ,W 48-29,,0,0,,0,0,0,,0,0.0,3,0
20,2008,2008-09-28,4,25.158,SDG,@,OAK,W 28-18,,,,,,,,,,,,
21,2008,2008-10-05,5,25.165,SDG,@,MIA,L 10-17,,0,0,,0,0,0,,0,0.0,0,0
22,2008,2008-10-12,6,25.172,SDG,,NWE,W 30-10,,1,18,18.00,0,0,0,,0,0.0,0,0
23,2008,2008-10-19,7,25.179,SDG,@,BUF,L 14-23,,,,,,,,,,,,
24,2008,2008-10-26,8,25.186,SDG,@,NOR,L 32-37,,0,0,,0,0,0,,0,0.0,2,0
25,2008,2008-11-09,9,25.200,SDG,,KAN,W 20-19,*,0,0,,0,0,0,,0,0.0,1,0
26,2008,2008-11-30,12,25.221,SDG,,ATL,L 16-22,,,,,,,,,,,,
27,2008,2008-12-04,13,25.225,SDG,,OAK,W 34-7,,,,,,,,,,,,
28,2008,2008-12-14,14,25.235,SDG,@,KAN,W 22-21,,,,,,,,,,,,
29,2008,2008-12-21,15,25.242,SDG,@,TAM,W 41-24,,0,0,,0,0,0,,0,0.0,0,1
30,2008,2008-12-28,16,25.249,SDG,,DEN,W 52-21,,0,0,,0,0,0,,0,0.0,1,2
31,2009,2009-10-11,5,26.171,DAL,@,KAN,W 26-20,,,,,,,,,,,,
