ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,def_int,def_int_yds,def_int_td
1,1960,1960-09-09,1,23.011,BOS,,DEN,L 10-13,0,0,,0,1,52,0
2,1960,1960-11-04,8,23.067,BOS,,OAK,W 34-28,0,0,,0,1,49,0
3,1961,1961-11-03,9,24.066,BOS,,DTX,W 28-21,0,0,,0,1,12,0
4,1961,1961-12-17,14,24.110,BOS,@,SDG,W 41-0,1,9,9.00,0,0,0,0
5,1962,1962-10-12,5,25.044,BOS,,DTX,L 7-27,0,0,,0,1,0,0
6,1962,1962-11-23,11,25.086,BOS,,BUF,W 21-10,0,0,,0,1,0,0
7,1963,1963-09-29,4,26.031,BOS,@,DEN,L 10-14,0,0,,0,1,3,0
8,1963,1963-10-11,6,26.043,BOS,,OAK,W 20-14,0,0,,0,1,0,0
9,1963,1963-12-14,14,26.107,BOS,@,KAN,L 3-35,0,0,,0,1,12,0
10,1964,1964-11-15,10,27.078,BOS,@,BUF,W 36-28,0,0,,0,1,21,0
11,1965,1965-09-24,3,28.026,BOS,,DEN,L 10-27,0,0,,0,1,19,0
12,1965,1965-10-03,4,28.035,BOS,@,KAN,L 17-27,0,0,,0,1,27,0
13,1966,1966-10-30,7,29.062,BOS,,OAK,W 24-21,0,0,,0,1,9,0
14,1967,1967-10-29,8,30.061,BOS,@,NYJ,L 23-30,0,0,,0,1,27,0
15,1967,1967-11-19,11,30.082,BOS,,NYJ,L 24-29,0,0,,0,1,2,0
16,1967,1967-12-09,13,30.102,BOS,,BUF,L 16-44,0,0,,0,1,28,0
