ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2004,2004-09-12,1,22.147,PIT,,OAK,W 24-21,,1,23,23.00,0,0,0,,0,0.0,,,0,0,0
2,2004,2004-09-19,2,22.154,PIT,@,BAL,L 13-30,,5,97,19.40,0,0,0,,0,0.0,,,0,0,0
3,2004,2004-09-26,3,22.161,PIT,@,MIA,W 13-3,,,,,,,,,,,,,,,
4,2004,2004-10-03,4,22.168,PIT,,CIN,W 28-17,,2,54,27.00,0,0,0,,0,0.0,,,0,0,0
5,2004,2004-10-10,5,22.175,PIT,,CLE,W 34-23,,4,99,24.75,0,0,0,,0,0.0,,,0,0,0
6,2004,2004-10-17,6,22.182,PIT,@,DAL,W 24-20,,1,17,17.00,0,0,0,,0,0.0,,,0,0,0
7,2004,2004-10-31,7,22.196,PIT,,NWE,W 34-20,,1,23,23.00,0,0,0,,0,0.0,,,0,0,0
8,2004,2004-11-07,8,22.203,PIT,,PHI,W 27-3,,1,22,22.00,0,0,0,,0,0.0,,,0,0,0
9,2004,2004-11-14,9,22.210,PIT,@,CLE,W 24-10,,,,,,,,,,,,,,,
10,2004,2004-11-21,10,22.217,PIT,@,CIN,W 19-14,,1,21,21.00,0,0,0,,0,0.0,,,0,0,0
11,2004,2004-11-28,11,22.224,PIT,,WAS,W 16-7,,1,22,22.00,0,0,0,,0,0.0,,,0,0,0
12,2004,2004-12-05,12,22.231,PIT,@,JAX,W 17-16,,3,69,23.00,0,0,0,,0,0.0,,,0,0,0
13,2004,2004-12-12,13,22.238,PIT,,NYJ,W 17-6,,2,27,13.50,0,0,0,,0,0.0,,,0,0,0
14,2004,2004-12-18,14,22.244,PIT,@,NYG,W 33-30,,3,67,22.33,0,0,0,,0,0.0,,,0,0,0
15,2004,2004-12-26,15,22.252,PIT,,BAL,W 20-7,,1,25,25.00,0,0,0,,0,0.0,,,0,0,0
16,2004,2005-01-02,16,22.259,PIT,@,BUF,W 29-24,,0,0,,0,1,13,13.00,0,1.5,,,0,0,0
17,2005,2005-09-11,1,23.146,PIT,,TEN,W 34-7,,0,0,,0,0,0,,0,0.0,,,1,14,0
18,2005,2005-09-18,2,23.153,PIT,@,HOU,W 27-7,,0,0,,0,0,0,,0,1.0,,,0,0,0
19,2005,2005-09-25,3,23.160,PIT,,NWE,L 20-23,,3,81,27.00,0,0,0,,0,0.0,,,0,0,0
20,2005,2005-10-10,4,23.175,PIT,@,SDG,W 24-22,,3,56,18.67,0,0,0,,0,0.0,,,0,0,0
21,2005,2005-10-31,7,23.196,PIT,,BAL,W 20-19,,4,68,17.00,0,0,0,,0,0.0,,,0,0,0
22,2005,2005-11-06,8,23.202,PIT,@,GNB,W 20-10,,,,,,,,,,,,,,,
23,2005,2005-11-13,9,23.209,PIT,,CLE,W 34-21,,1,29,29.00,0,0,0,,0,0.0,,,0,0,0
24,2005,2005-11-20,10,23.216,PIT,@,BAL,L 13-16,,4,55,13.75,0,0,0,,0,0.0,,,0,0,0
25,2005,2005-11-28,11,23.224,PIT,@,IND,L 7-26,,3,59,19.67,0,0,0,,0,0.0,,,0,0,0
26,2005,2005-12-04,12,23.230,PIT,,CIN,L 31-38,,2,41,20.50,0,0,0,,0,0.0,,,0,0,0
27,2005,2005-12-11,13,23.237,PIT,,CHI,W 21-9,,1,21,21.00,0,0,0,,0,0.0,,,0,0,0
28,2005,2005-12-18,14,23.244,PIT,@,MIN,W 18-3,,,,,,,,,,,,,,,
29,2005,2005-12-24,15,23.250,PIT,@,CLE,W 41-0,,,,,,,,,,,,,,,
30,2005,2006-01-01,16,23.258,PIT,,DET,W 35-21,,1,63,63.00,0,0,0,,0,0.0,,,0,0,0
31,2006,2006-09-07,1,24.142,PIT,,MIA,W 28-17,,1,26,26.00,0,1,3,3.00,0,0.0,,,0,0,0
32,2006,2006-09-18,2,24.153,PIT,@,JAX,L 0-9,,0,0,,0,1,3,3.00,0,0.0,,,0,0,0
33,2006,2006-09-24,3,24.159,PIT,,CIN,L 20-28,,0,0,,0,2,0,0.00,0,0.0,,,0,0,0
34,2007,2007-10-07,5,25.172,PIT,,SEA,W 21-0,,,,,,,,,,,,,,,
35,2007,2007-10-21,6,25.186,PIT,@,DEN,L 28-31,,,,,,,,,,,,,,,
36,2007,2007-10-28,7,25.193,PIT,@,CIN,W 24-13,,,,,,,,,,,,,,,
37,2008,2008-11-09,9,26.205,KAN,@,SDG,L 19-20,,,,,,,,,,,,,,,
38,2008,2008-11-16,10,26.212,KAN,,NOR,L 20-30,*,0,0,,0,0,0,,0,0.0,1,1,0,0,0
39,2008,2008-12-07,13,26.233,KAN,@,DEN,L 17-24,,0,0,,0,0,0,,0,0.0,1,1,0,0,0
40,2008,2008-12-14,14,26.240,KAN,,SDG,L 21-22,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
41,2008,2008-12-21,15,26.247,KAN,,MIA,L 31-38,,0,0,,0,0,0,,0,0.0,0,0,0,0,0
42,2008,2008-12-28,16,26.254,KAN,@,CIN,L 6-16,,,,,,,,,,,,,,,
43,2009,2009-09-13,1,27.148,KAN,@,BAL,L 24-38,,0,0,,0,0,0,,0,0.0,2,0,0,0,0
