ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2000,2000-09-24,4,22.045,CLE,@,OAK,L 10-36,,2,5,40.00,15,0,0,47.9,1,3,3.00,3.00,0,0,,0
2,2000,2000-10-15,7,22.066,CLE,@,DEN,L 10-44,,2,5,40.00,21,0,0,52.9,0,0,4.20,4.20,2,12,6.00,0
3,2000,2000-10-22,8,22.073,CLE,@,PIT,L 0-22,,1,3,33.33,2,0,0,42.4,0,0,0.67,0.67,0,0,,0
4,2000,2000-10-29,9,22.080,CLE,,CIN,L 3-12,,7,16,43.75,82,0,1,33.9,2,19,5.13,2.31,0,0,,0
5,2000,2000-11-19,12,22.101,CLE,@,TEN,L 10-24,,0,0,,0,0,0,,0,2,,,1,3,3.00,0
6,2000,2000-11-26,13,22.108,CLE,@,BAL,L 7-44,,5,9,55.56,30,0,0,62.3,4,30,3.33,3.33,0,0,,0
7,2000,2000-12-03,14,22.115,CLE,@,JAX,L 0-48,*,5,16,31.25,17,0,0,40.6,5,35,1.06,1.06,0,0,,0
8,2001,2001-12-23,14,23.135,MIN,,JAX,L 3-33,,24,39,61.54,218,0,1,66.0,4,32,5.59,4.44,1,11,11.00,0
9,2001,2001-12-30,15,23.142,MIN,@,GNB,L 13-24,*,11,30,36.67,114,1,3,20.0,1,11,3.80,-0.03,5,33,6.60,0
10,2001,2002-01-07,16,23.150,MIN,@,BAL,L 3-19,*,13,29,44.83,86,0,2,23.2,5,22,2.97,-0.14,2,17,8.50,0
