ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1964,1964-10-04,4,24.311,NYG,@,DET,L 3-26,7,45,6.43,0,0,0,,0,0,0
2,1964,1964-10-11,5,24.318,NYG,@,DAL,T 13-13,11,37,3.36,0,0,0,,0,0,0
3,1964,1964-10-18,6,24.325,NYG,,PHI,L 17-23,12,42,3.50,0,0,0,,0,0,0
4,1964,1964-10-25,7,24.332,NYG,@,CLE,L 20-42,20,94,4.70,0,5,68,13.60,1,1,6
5,1964,1964-11-01,8,24.339,NYG,,STL,W 34-17,12,44,3.67,0,3,50,16.67,2,2,12
6,1964,1964-11-08,9,24.346,NYG,,DAL,L 21-31,14,44,3.14,0,2,31,15.50,0,0,0
7,1964,1964-12-06,13,25.008,NYG,,MIN,L 21-30,12,50,4.17,0,1,29,29.00,0,0,0
8,1964,1964-12-12,14,25.014,NYG,,CLE,L 20-52,12,46,3.83,0,3,26,8.67,0,0,0
9,1965,1965-09-19,1,25.295,NYG,@,DAL,L 2-31,4,3,0.75,0,0,0,,0,0,0
10,1965,1965-10-17,5,25.323,NYG,,PHI,W 35-27,7,22,3.14,0,0,0,,0,0,0
11,1965,1965-10-24,6,25.330,NYG,,CLE,L 14-38,4,23,5.75,0,1,12,12.00,0,0,0
12,1965,1965-11-07,8,25.344,NYG,,WAS,L 7-23,2,6,3.00,0,1,5,5.00,0,0,0
13,1965,1965-12-05,12,26.007,NYG,,PIT,W 35-10,5,30,6.00,0,0,0,,0,0,0
14,1965,1965-12-12,13,26.014,NYG,@,WAS,W 27-10,2,12,6.00,0,0,0,,0,0,0
15,1966,1966-09-11,1,26.287,ATL,,RAM,L 14-19,6,91,15.17,0,1,25,25.00,0,0,0
16,1966,1966-09-18,2,26.294,ATL,@,PHI,L 10-23,6,22,3.67,0,0,0,,0,0,0
17,1966,1966-09-25,3,26.301,ATL,@,DET,L 10-28,6,23,3.83,1,0,0,,0,1,6
18,1966,1966-10-02,4,26.308,ATL,,DAL,L 14-47,10,42,4.20,0,1,0,0.00,0,0,0
19,1966,1966-10-09,5,26.315,ATL,@,WAS,L 20-33,8,34,4.25,0,1,12,12.00,0,0,0
20,1966,1966-10-16,6,26.322,ATL,,SFO,L 7-44,5,11,2.20,0,2,-2,-1.00,0,0,0
21,1966,1966-10-23,7,26.329,ATL,@,GNB,L 3-56,8,51,6.38,0,1,5,5.00,0,0,0
22,1966,1966-10-30,8,26.336,ATL,,CLE,L 17-49,11,32,2.91,1,0,0,,0,1,6
23,1966,1966-11-13,9,26.350,ATL,,BAL,L 7-19,16,53,3.31,0,1,13,13.00,0,0,0
24,1966,1966-11-20,10,26.357,ATL,@,NYG,W 27-16,14,51,3.64,0,5,35,7.00,2,2,12
25,1966,1966-11-27,11,26.364,ATL,@,CHI,L 6-23,7,8,1.14,0,1,5,5.00,0,0,0
26,1966,1966-12-04,12,27.006,ATL,@,MIN,W 20-13,12,10,0.83,1,1,35,35.00,0,1,6
27,1966,1966-12-11,13,27.013,ATL,,STL,W 16-10,8,17,2.13,0,1,9,9.00,1,1,6
28,1966,1966-12-18,14,27.020,ATL,,PIT,L 33-57,4,13,3.25,0,0,0,,0,0,0
29,1967,1967-09-17,1,27.293,ATL,@,BAL,L 31-38,7,16,2.29,0,4,46,11.50,0,0,0
30,1967,1967-09-24,2,27.300,ATL,@,SFO,L 7-38,7,15,2.14,1,0,0,,0,1,6
31,1967,1967-10-01,3,27.307,ATL,@,GNB,L 0-23,7,12,1.71,0,0,0,,0,0,0
32,1967,1967-10-15,5,27.321,NOR,@,DAL,L 10-14,6,15,2.50,0,1,-2,-2.00,0,0,0
33,1967,1967-10-22,6,27.328,NOR,@,SFO,L 13-27,9,42,4.67,0,2,10,5.00,0,0,0
34,1967,1967-10-29,7,27.335,NOR,,PIT,L 10-14,7,24,3.43,0,0,0,,0,0,0
35,1967,1967-11-05,8,27.342,NOR,,PHI,W 31-24,5,19,3.80,0,0,0,,0,0,0
36,1967,1967-11-19,10,27.356,NOR,@,PHI,L 21-48,3,14,4.67,0,0,0,,0,0,0
37,1967,1967-11-26,11,27.363,NOR,,ATL,W 27-24,11,47,4.27,0,3,35,11.67,0,0,0
38,1967,1967-12-03,12,28.005,NOR,@,STL,L 20-31,7,22,3.14,0,1,6,6.00,0,0,0
39,1967,1967-12-10,13,28.012,NOR,@,BAL,L 10-30,6,4,0.67,0,0,0,,0,0,0
40,1967,1967-12-17,14,28.019,NOR,@,WAS,W 30-14,5,11,2.20,0,2,12,6.00,0,0,0
41,1968,1968-09-22,2,28.299,NOR,,WAS,W 37-17,1,6,6.00,0,1,-9,-9.00,0,0,0
42,1968,1968-10-06,4,28.313,NOR,@,NYG,L 21-38,1,11,11.00,0,0,0,,0,0,0
43,1968,1968-10-13,5,28.320,NOR,,MIN,W 20-17,1,4,4.00,0,0,0,,0,0,0
44,1968,1968-10-20,6,28.327,NOR,@,PIT,W 16-12,2,4,2.00,1,0,0,,0,1,6
45,1968,1968-11-10,9,28.348,NOR,@,CLE,L 17-35,2,14,7.00,0,0,0,,0,0,0
46,1968,1968-11-17,10,28.355,NOR,@,GNB,L 7-29,7,30,4.29,0,0,0,,0,0,0
47,1968,1968-11-24,11,28.362,NOR,@,DET,T 20-20,2,15,7.50,0,0,0,,0,0,0
48,1968,1968-12-01,12,29.003,NOR,,CHI,L 17-23,2,9,4.50,0,0,0,,0,0,0
