ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2012,2012-09-09,1,23.122,PIT,@,DEN,L 19-31,,0,0,,0,0.0,0,0,3,142,47.33,0
2,2012,2012-09-16,2,23.129,PIT,,NYJ,W 27-10,,0,0,,0,0.0,0,0,5,205,41.00,0
3,2012,2012-09-23,3,23.136,PIT,@,OAK,L 31-34,,0,0,,0,0.0,0,0,3,108,36.00,0
4,2012,2012-10-07,4,23.150,PIT,,PHI,W 16-14,,0,0,,0,0.0,0,0,4,185,46.25,0
5,2012,2012-10-11,5,23.154,PIT,@,TEN,L 23-26,,0,0,,0,0.0,0,0,3,123,41.00,1
6,2012,2012-10-21,6,23.164,PIT,@,CIN,W 24-17,,0,0,,0,0.0,0,0,2,94,47.00,0
7,2012,2012-10-28,7,23.171,PIT,,WAS,W 27-12,,0,0,,0,0.0,0,0,3,152,50.67,0
8,2012,2012-11-04,8,23.178,PIT,@,NYG,W 24-20,,0,0,,0,0.0,0,0,4,165,41.25,0
9,2012,2012-11-12,9,23.186,PIT,,KAN,W 16-13,,0,0,,0,0.0,0,0,6,256,42.67,0
10,2012,2012-11-18,10,23.192,PIT,,BAL,L 10-13,,0,0,,0,0.0,0,0,8,357,44.63,0
11,2012,2012-11-25,11,23.199,PIT,@,CLE,L 14-20,,0,0,,0,0.0,0,0,6,275,45.83,0
12,2012,2012-12-02,12,23.206,PIT,@,BAL,W 23-20,,0,0,,0,0.0,0,0,4,154,38.50,0
13,2012,2012-12-09,13,23.213,PIT,,SDG,L 24-34,,0,0,,0,0.0,0,0,7,332,47.43,0
14,2012,2012-12-16,14,23.220,PIT,@,DAL,L 24-27,,0,0,,0,0.0,0,0,6,258,43.00,0
15,2012,2012-12-23,15,23.227,PIT,,CIN,L 10-13,,0,0,,0,0.0,0,0,7,317,45.29,0
16,2012,2012-12-30,16,23.234,PIT,,CLE,W 24-10,,0,0,,0,0.0,0,0,6,251,41.83,0
17,2014,2014-09-08,1,25.121,ARI,,SDG,W 18-17,,0,0,,0,0.0,0,0,4,218,54.50,1
18,2014,2014-09-14,2,25.127,ARI,@,NYG,W 25-14,,0,0,,0,0.0,0,0,4,164,41.00,0
19,2014,2014-09-21,3,25.134,ARI,,SFO,W 23-14,,0,0,,0,0.0,0,0,1,49,49.00,0
20,2014,2014-10-12,5,25.155,ARI,,WAS,W 30-20,,0,0,,0,0.0,0,0,7,270,38.57,0
21,2014,2014-10-19,6,25.162,ARI,@,OAK,W 24-13,,0,0,,0,0.0,0,0,4,168,42.00,0
22,2014,2014-10-26,7,25.169,ARI,,PHI,W 24-20,,0,0,,0,0.0,0,0,8,343,42.88,0
23,2014,2014-11-02,8,25.176,ARI,@,DAL,W 28-17,,0,0,,0,0.0,1,0,5,196,39.20,0
24,2014,2014-11-09,9,25.183,ARI,,STL,W 31-14,,0,0,,0,0.0,0,0,6,268,44.67,0
