ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1983,1983-09-04,1,24.209,BAL,@,NWE,W 29-23,0,0,,0,0,0,,0,,,,
2,1983,1983-09-11,2,24.216,BAL,,DEN,L 10-17,0,0,,0,0,0,,0,,,,
3,1983,1983-09-18,3,24.223,BAL,@,BUF,L 23-28,0,0,,0,0,0,,0,,,,
4,1983,1983-09-25,4,24.230,BAL,,CHI,W 22-19,3,50,16.67,0,3,14,4.67,0,1.0,0,0,0
5,1983,1983-10-02,5,24.237,BAL,@,CIN,W 34-31,4,143,35.75,0,0,0,,0,0.0,1,14,0
6,1983,1983-10-09,6,24.244,BAL,,NWE,W 12-7,1,28,28.00,0,0,0,,0,0.0,0,0,0
7,1983,1983-10-16,7,24.251,BAL,,BUF,L 7-30,2,37,18.50,0,0,0,,0,0.0,0,0,0
8,1983,1983-10-23,8,24.258,BAL,,MIA,L 7-21,0,0,,0,0,0,,0,,,,
9,1983,1983-10-30,9,24.265,BAL,@,PHI,W 22-21,1,19,19.00,0,0,0,,0,0.0,0,0,0
10,1983,1983-11-06,10,24.272,BAL,@,NYJ,W 17-14,0,0,,0,1,6,6.00,0,0.0,0,0,0
11,1983,1983-11-13,11,24.279,BAL,,PIT,L 13-24,4,104,26.00,0,4,23,5.75,0,0.0,0,0,0
12,1983,1983-11-20,12,24.286,BAL,@,MIA,L 0-37,1,12,12.00,0,1,0,0.00,0,0.0,0,0,0
13,1983,1983-11-27,13,24.293,BAL,@,CLE,L 23-41,1,18,18.00,0,0,0,,0,0.0,0,0,0
14,1983,1983-12-04,14,24.300,BAL,,NYJ,L 6-10,1,21,21.00,0,0,0,,0,0.0,0,0,0
15,1983,1983-12-11,15,24.307,BAL,@,DEN,L 19-21,1,18,18.00,0,0,0,,0,0.0,0,0,0
16,1983,1983-12-18,16,24.314,BAL,,HOU,W 20-10,1,40,40.00,0,0,0,,0,0.0,0,0,0
