ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2010,2010-09-19,2,22.213,GNB,,BUF,W 34-7,,2,6,3.00,0,0,0,0,,0,0.0%,
2,2010,2010-10-03,4,22.227,GNB,,DET,W 28-26,,0,0,,0,,0,0,,0,0.0%,
3,2010,2010-10-10,5,22.234,GNB,@,WAS,L 13-16,,,,,,,,,,,0.0%,
4,2010,2010-10-17,6,22.241,GNB,,MIA,L 20-23,,,,,,,,,,,0.0%,
5,2010,2010-10-24,7,22.248,GNB,,MIN,W 28-24,,,,,,1,,,,,0.0%,
6,2010,2010-11-07,9,22.262,GNB,,DAL,W 45-7,,4,5,1.25,0,0,0,0,,0,0.0%,
7,2010,2010-11-21,10,22.276,GNB,@,MIN,W 31-3,,12,37,3.08,0,0,0,0,,0,0.0%,
8,2010,2010-11-28,11,22.283,GNB,@,ATL,L 17-20,,1,0,0.00,0,0,0,0,,0,0.0%,
9,2010,2010-12-12,13,22.297,GNB,@,DET,L 3-7,,2,4,2.00,0,1,1,14,14.00,0,100.0%,14.00
10,2010,2010-12-19,14,22.304,GNB,@,NWE,L 27-31,,6,11,1.83,0,2,2,16,8.00,0,100.0%,8.00
11,2010,2010-12-26,15,22.311,GNB,,NYG,W 45-17,,9,32,3.56,0,0,0,0,,0,0.0%,
12,2010,2011-01-02,16,22.318,GNB,,CHI,W 10-3,,,,,,,,,,,0.0%,
