ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1999,1999-09-13,1,22.075,DEN,,MIA,L 21-38,,3,94,31.33,0,1,3,3.00,0,0,0,0,0,0
2,1999,1999-09-19,2,22.081,DEN,@,KAN,L 10-26,,5,113,22.60,0,3,6,2.00,0,0,0,0,0,0
3,1999,1999-09-26,3,22.088,DEN,@,TAM,L 10-13,,3,62,20.67,0,5,40,8.00,0,0,0,0,0,0
4,1999,1999-10-03,4,22.095,DEN,,NYJ,L 13-21,*,2,98,49.00,0,3,6,2.00,0,0,0,0,0,0
5,1999,1999-10-10,5,22.102,DEN,@,OAK,W 16-13,,2,51,25.50,0,3,4,1.33,0,0,0,0,0,0
6,1999,1999-10-31,8,22.123,DEN,,MIN,L 20-23,,4,94,23.50,0,3,42,14.00,0,0,0,0,0,0
7,1999,1999-11-07,9,22.130,DEN,@,SDG,W 33-17,,4,106,26.50,0,3,12,4.00,0,0,0,0,0,0
8,1999,1999-11-14,10,22.137,DEN,@,SEA,L 17-20,,5,86,17.20,0,1,2,2.00,0,0,0,0,0,0
9,1999,1999-11-22,11,22.145,DEN,,OAK,W 27-21,,6,153,25.50,0,1,0,0.00,0,0,0,0,0,0
10,1999,1999-12-05,12,22.158,DEN,,KAN,L 10-16,,4,82,20.50,0,4,37,9.25,0,0,0,0,0,0
11,1999,1999-12-13,13,22.166,DEN,@,JAX,L 24-27,,2,36,18.00,0,5,24,4.80,0,0,0,0,0,0
12,1999,1999-12-19,14,22.172,DEN,,SEA,W 36-30,,5,93,18.60,0,5,110,22.00,1,1,6,0,0,0
13,1999,1999-12-25,15,22.178,DEN,@,DET,W 17-7,,1,17,17.00,0,3,43,14.33,0,0,0,0,0,0
