ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1950,1950-09-16,1,25.261,CLE,@,PHI,W 35-10,6,72,12.00,0,5,98,19.60,1,0,0,,0,0,,,,,,
2,1950,1950-09-24,2,25.269,CLE,@,BAL,W 31-0,5,77,15.40,2,2,8,4.00,0,0,0,,0,0,,,,,,
3,1950,1950-10-01,3,25.276,CLE,,NYG,L 0-6,10,27,2.70,0,2,15,7.50,0,0,0,,0,0,,,,,,
4,1950,1950-10-07,4,25.282,CLE,@,PIT,W 30-17,10,76,7.60,2,1,2,2.00,0,0,0,,0,0,,,,,,
5,1950,1950-10-15,5,25.290,CLE,,CRD,W 34-24,9,11,1.22,0,6,63,10.50,0,0,0,,0,0,,,,,,
6,1950,1950-10-22,6,25.297,CLE,@,NYG,L 13-17,9,28,3.11,0,0,0,,0,0,0,,0,0,,,,,,
7,1950,1950-10-29,7,25.304,CLE,,PIT,W 45-7,2,4,2.00,0,1,80,80.00,1,0,0,,0,0,,,,,,
8,1950,1950-11-05,8,25.311,CLE,@,CRD,W 10-7,12,69,5.75,1,1,1,1.00,0,0,0,,0,0,,,,,,
9,1950,1950-11-12,9,25.318,CLE,,SFO,W 34-14,5,-5,-1.00,1,3,30,10.00,1,0,0,,0,0,,,,,,
10,1950,1950-11-19,10,25.325,CLE,,WAS,W 20-14,4,4,1.00,0,0,0,,0,0,0,,0,0,,,,,,
11,1950,1950-12-03,11,25.339,CLE,,PHI,W 13-7,7,9,1.29,0,0,0,,0,0,0,,0,0,,,,,,
12,1950,1950-12-10,12,25.346,CLE,@,WAS,W 45-21,4,12,3.00,0,10,161,16.10,2,0,0,,0,0,,,,,,
13,1951,1951-09-30,1,26.275,CLE,@,SFO,L 10-24,6,3,0.50,0,5,143,28.60,1,0,0,,0,0,,,,,,
14,1951,1951-10-07,2,26.282,CLE,@,RAM,W 38-23,15,110,7.33,1,3,57,19.00,0,0,0,,0,0,,,,,,
15,1951,1951-10-14,3,26.289,CLE,,WAS,W 45-0,7,40,5.71,0,1,11,11.00,0,0,0,,0,0,,,,,,
16,1951,1951-10-21,4,26.296,CLE,,PIT,W 17-0,11,52,4.73,0,2,6,3.00,0,0,0,,0,0,,,,,,
17,1951,1951-10-28,5,26.303,CLE,,NYG,W 14-13,6,2,0.33,0,7,116,16.57,1,0,0,,0,0,,,,,,
18,1951,1951-11-04,6,26.310,CLE,@,CRD,W 34-17,12,78,6.50,1,1,12,12.00,0,0,0,,0,0,,,,,,
19,1951,1951-11-11,7,26.317,CLE,,PHI,W 20-17,4,3,0.75,0,2,17,8.50,0,0,0,,0,0,,,,,,
20,1951,1951-11-18,8,26.324,CLE,@,NYG,W 10-0,12,23,1.92,0,3,94,31.33,1,0,0,,0,0,,,,,,
21,1951,1951-11-25,9,26.331,CLE,,CHI,W 42-21,9,116,12.89,4,3,80,26.67,2,0,0,,0,0,,,,,,
22,1951,1951-12-02,10,26.338,CLE,,CRD,W 49-28,8,31,3.88,1,2,27,13.50,0,0,0,,0,0,,,,,,
23,1951,1951-12-09,11,26.345,CLE,@,PIT,W 28-0,10,31,3.10,0,1,7,7.00,0,0,0,,0,0,,,,,,
24,1951,1951-12-16,12,26.352,CLE,@,PHI,W 24-9,4,3,0.75,0,0,0,,0,0,0,,0,0,,,,,,
25,1952,1952-09-28,1,27.274,CLE,,RAM,W 37-7,7,53,7.57,1,1,38,38.00,0,0,0,,0,0,,,,,,
26,1952,1952-10-04,2,27.280,CLE,@,PIT,W 21-20,5,-3,-0.60,0,4,98,24.50,1,0,0,,0,0,,,,,,
27,1952,1952-10-12,3,27.288,CLE,,NYG,L 9-17,7,6,0.86,0,3,11,3.67,0,0,0,,0,0,,,,,,
28,1952,1952-10-19,4,27.295,CLE,@,PHI,W 49-7,4,37,9.25,1,6,121,20.17,1,0,0,,0,0,,,,,,
29,1952,1952-10-26,5,27.302,CLE,,WAS,W 19-15,7,13,1.86,0,3,32,10.67,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
30,1952,1952-11-02,6,27.309,CLE,@,DET,L 6-17,6,2,0.33,0,3,67,22.33,0,0,0,,0,0,,,,,,
31,1952,1952-11-09,7,27.316,CLE,,CRD,W 28-13,4,21,5.25,0,3,18,6.00,0,0,0,,0,0,,,,,,
32,1952,1952-11-16,8,27.323,CLE,,PIT,W 29-28,9,66,7.33,0,7,62,8.86,0,0,0,,0,0,,,,,,
33,1952,1952-11-23,9,27.330,CLE,,PHI,L 20-28,1,-1,-1.00,0,3,53,17.67,0,0,0,,0,0,,,,,,
