ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2003,2003-09-07,1,22.189,MIN,@,GNB,W 30-25,,0,0,,0,2,74,37.00,0
2,2003,2003-09-14,2,22.196,MIN,,CHI,W 24-13,,0,0,,0,3,82,27.33,0
3,2003,2003-09-21,3,22.203,MIN,@,DET,W 23-13,,0,0,,0,6,286,47.67,0
4,2003,2003-09-28,4,22.210,MIN,,SFO,W 35-7,,0,0,,0,4,166,41.50,0
5,2003,2003-10-05,5,22.217,MIN,@,ATL,W 39-26,,0,0,,0,7,282,40.29,0
6,2003,2003-10-19,6,22.231,MIN,,DEN,W 28-20,,0,0,,0,6,234,39.00,0
7,2003,2003-10-26,7,22.238,MIN,,NYG,L 17-29,,0,0,,0,4,147,36.75,0
8,2003,2003-11-02,8,22.245,MIN,,GNB,L 27-30,,0,0,,0,4,180,45.00,0
9,2003,2003-11-09,9,22.252,MIN,@,SDG,L 28-42,,0,0,,0,3,114,38.00,0
10,2003,2003-11-16,10,22.259,MIN,@,OAK,L 18-28,,0,0,,0,1,36,36.00,0
11,2003,2003-11-23,11,22.266,MIN,,DET,W 24-14,,0,0,,0,6,231,38.50,0
12,2003,2003-11-30,12,22.273,MIN,@,STL,L 17-48,,0,0,,0,2,75,37.50,1
13,2003,2003-12-07,13,22.280,MIN,,SEA,W 34-7,,1,15,15.00,0,4,147,36.75,0
14,2003,2003-12-14,14,22.287,MIN,@,CHI,L 10-13,,1,0,0.00,0,4,137,34.25,0
