ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2016,2016-09-11,1,23.246,KAN,,SDG,W 33-27,,1,0,0,,0,0.0%,0.00
2,2016,2016-09-18,2,23.253,KAN,@,HOU,L 12-19,*,0,0,0,,0,0.0%,
3,2016,2016-09-25,3,23.260,KAN,,NYJ,W 24-3,*,2,2,10,5.00,0,100.0%,5.00
4,2016,2016-10-02,4,23.267,KAN,@,PIT,L 14-43,,1,0,0,,0,0.0%,0.00
5,2016,2016-11-13,9,23.309,KAN,@,CAR,W 20-17,*,2,1,5,5.00,0,50.0%,2.50
6,2016,2016-11-20,10,23.316,KAN,,TAM,L 17-19,,0,0,0,,0,0.0%,
7,2017,2017-09-07,1,24.241,KAN,@,NWE,W 42-27,*,1,0,0,,0,0.0%,0.00
8,2017,2017-09-17,2,24.251,KAN,,PHI,W 27-20,,1,0,0,,0,0.0%,0.00
9,2017,2017-09-24,3,24.258,KAN,@,LAC,W 24-10,,0,0,0,,0,0.0%,
10,2017,2017-10-02,4,24.266,KAN,,WAS,W 29-20,,0,0,0,,0,0.0%,
11,2017,2017-10-08,5,24.272,KAN,@,HOU,W 42-34,,2,2,26,13.00,0,100.0%,13.00
12,2017,2017-10-15,6,24.279,KAN,,PIT,L 13-19,,0,0,0,,0,0.0%,
13,2017,2017-10-19,7,24.283,KAN,@,OAK,L 30-31,*,1,1,3,3.00,0,100.0%,3.00
14,2017,2017-10-30,8,24.294,KAN,,DEN,W 29-19,*,2,0,0,,0,0.0%,0.00
15,2017,2017-11-05,9,24.300,KAN,@,DAL,L 17-28,,2,1,3,3.00,0,50.0%,1.50
16,2017,2017-11-19,10,24.314,KAN,@,NYG,L 9-12,,3,1,11,11.00,0,33.3%,3.67
17,2017,2017-11-26,11,24.321,KAN,,BUF,L 10-16,,0,0,0,,0,0.0%,
18,2017,2017-12-10,13,24.335,IND,@,BUF,L 7-13,,2,0,0,,0,0.0%,0.00
19,2017,2017-12-14,14,24.339,IND,,DEN,L 13-25,,2,2,33,16.50,0,100.0%,16.50
20,2017,2017-12-23,15,24.348,IND,@,BAL,L 16-23,,1,0,0,,0,0.0%,0.00
21,2017,2017-12-31,16,24.356,IND,,HOU,W 22-13,,0,0,0,,0,0.0%,
