ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1973,1973-10-07,4,22.226,BAL,@,NWE,L 16-24,,,,,,,,,,,,,,
2,1973,1973-10-14,5,22.233,BAL,@,BUF,L 13-31,,,,,,,,,,,,,,
3,1973,1973-10-21,6,22.240,BAL,@,DET,W 29-27,,,,,,,,,,,,,,
4,1973,1973-10-28,7,22.247,BAL,,OAK,L 21-34,,,,,,,,,,,,,,
5,1973,1973-11-04,8,22.254,BAL,,HOU,L 27-31,,,,,,,,,,,,,,
6,1973,1973-11-11,9,22.261,BAL,@,MIA,L 0-44,,,,,,,,,,,,,,
7,1973,1973-11-18,10,22.268,BAL,@,WAS,L 14-22,,,,,,,,,,,,,,
8,1973,1973-11-25,11,22.275,BAL,,BUF,L 17-24,0,0,,0,0,0,,0,0,0,0.0,1,3,0
9,1973,1973-12-02,12,22.282,BAL,@,NYJ,L 17-20,,,,,,,,,,,,,,
10,1973,1973-12-09,13,22.289,BAL,,MIA,W 16-3,,,,,,,,,,,,,,
11,1973,1973-12-16,14,22.296,BAL,,NWE,W 18-13,0,0,,0,0,0,,0,0,0,0.0,1,7,0
12,1974,1974-09-15,1,23.204,BAL,@,PIT,L 0-30,,,,,,,,,,,,,,
13,1974,1974-09-22,2,23.211,BAL,,GNB,L 13-20,,,,,,,,,,,,,,
14,1974,1974-09-29,3,23.218,BAL,@,PHI,L 10-30,,,,,,,,,,,,,,
15,1974,1974-10-06,4,23.225,BAL,@,NWE,L 3-42,,,,,,,,,,,,,,
16,1974,1974-10-13,5,23.232,BAL,,BUF,L 14-27,0,0,,0,0,0,,0,0,0,0.0,1,3,0
17,1974,1974-10-20,6,23.239,BAL,@,NYJ,W 35-20,1,0,0.00,0,0,0,,0,0,0,0.0,0,0,0
18,1974,1974-10-27,7,23.246,BAL,@,MIA,L 7-17,,,,,,,,,,,,,,
19,1974,1974-11-03,8,23.253,BAL,,CIN,L 14-24,,,,,,,,,,,,,,
20,1974,1974-11-10,9,23.260,BAL,,DEN,L 6-17,,,,,,,,,,,,,,
21,1974,1974-11-17,10,23.267,BAL,@,ATL,W 17-7,,,,,,,,,,,,,,
22,1974,1974-11-24,11,23.274,BAL,,NWE,L 17-27,,,,,,,,,,,,,,
23,1974,1974-12-01,12,23.281,BAL,@,BUF,L 0-6,,,,,,,,,,,,,,
24,1974,1974-12-08,13,23.288,BAL,,MIA,L 16-17,,,,,,,,,,,,,,
