ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1999,1999-09-12,1,24.360,STL,,BAL,W 27-10,,,,,
2,2001,2001-09-09,1,26.357,IND,@,NYJ,W 45-24,,,,,
3,2001,2001-09-23,2,27.006,IND,,BUF,W 42-26,,,,,
4,2001,2001-09-30,3,27.013,IND,@,NWE,L 13-44,,,,,
5,2001,2001-10-14,4,27.027,IND,,OAK,L 18-23,,,,,
6,2001,2001-10-21,5,27.034,IND,,NWE,L 17-38,,,,,
7,2001,2001-10-25,6,27.038,IND,@,KAN,W 35-28,,,,,
8,2001,2001-11-04,7,27.048,IND,@,BUF,W 30-14,,,,,
9,2001,2001-11-11,8,27.055,IND,,MIA,L 24-27,,,,,
10,2001,2001-12-02,11,27.076,IND,@,BAL,L 27-39,,,,,
11,2001,2001-12-10,12,27.084,IND,@,MIA,L 6-41,,,,,
12,2001,2001-12-16,13,27.090,IND,,ATL,W 41-27,,,,,
13,2001,2001-12-23,14,27.097,IND,,NYJ,L 28-29,,,,,
14,2001,2001-12-30,15,27.104,IND,@,STL,L 17-42,,,,,
15,2001,2002-01-06,16,27.111,IND,,DEN,W 29-10,,,,,
16,2002,2002-09-08,1,27.356,IND,@,JAX,W 28-25,,,,,
17,2002,2002-09-15,2,27.363,IND,,MIA,L 13-21,,,,,
18,2002,2002-09-22,3,28.005,IND,@,HOU,W 23-3,,,,,
19,2002,2002-10-06,4,28.019,IND,,CIN,W 28-21,,,,,
20,2002,2002-10-13,5,28.026,IND,,BAL,W 22-20,,,,,
21,2002,2002-10-21,6,28.034,IND,@,PIT,L 10-28,,,,,
22,2002,2002-10-27,7,28.040,IND,@,WAS,L 21-26,,,,,
23,2002,2002-11-03,8,28.047,IND,,TEN,L 15-23,,,,,
24,2002,2002-11-10,9,28.054,IND,@,PHI,W 35-13,,,,,
25,2002,2002-11-17,10,28.061,IND,,DAL,W 20-3,,,,,
26,2002,2002-11-24,11,28.068,IND,@,DEN,W 23-20,,,,,
27,2002,2002-12-01,12,28.075,IND,,HOU,W 19-3,,,,,
28,2002,2002-12-08,13,28.082,IND,@,TEN,L 17-27,,,,,
29,2002,2002-12-15,14,28.089,IND,@,CLE,W 28-23,,,,,
30,2002,2002-12-22,15,28.096,IND,,NYG,L 27-44,,,,,
31,2002,2002-12-29,16,28.103,IND,,JAX,W 20-13,,0,6,,0
32,2003,2003-09-07,1,28.355,IND,@,CLE,W 9-6,,,,,
33,2003,2003-09-14,2,28.362,IND,,TEN,W 33-7,,,,,
34,2003,2003-09-21,3,29.004,IND,,JAX,W 23-13,,,,,
35,2003,2003-09-28,4,29.011,IND,@,NOR,W 55-21,,,,,
36,2003,2003-10-06,5,29.019,IND,@,TAM,W 38-35,,,,,
37,2003,2003-10-12,6,29.025,IND,,CAR,L 20-23,,,,,
38,2003,2003-11-09,9,29.053,IND,@,JAX,L 23-28,,,,,
39,2003,2003-11-16,10,29.060,IND,,NYJ,W 38-31,,,,,
40,2003,2003-11-23,11,29.067,IND,@,BUF,W 17-14,,,,,
41,2003,2003-11-30,12,29.074,IND,,NWE,L 34-38,,,,,
42,2003,2003-12-07,13,29.081,IND,@,TEN,W 29-27,,,,,
43,2003,2003-12-14,14,29.088,IND,,ATL,W 38-7,,,,,
44,2003,2003-12-21,15,29.095,IND,,DEN,L 17-31,,,,,
45,2003,2003-12-28,16,29.102,IND,@,HOU,W 20-17,,,,,
