ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1997,1997-11-23,12,23.158,NOR,@,ATL,L 3-20,,1,0,0,,0,0.0%,0.00,,,,,,
2,1997,1997-12-14,15,23.179,NOR,,ARI,W 27-10,,1,1,49,49.00,0,100.0%,49.00,0,0,,0,0,0
3,1997,1997-12-21,16,23.186,NOR,@,KAN,L 13-25,,4,3,49,16.33,2,75.0%,12.25,0,0,,0,2,12
4,1998,1998-09-06,1,24.080,NOR,@,STL,W 24-17,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0
5,1998,1998-09-13,2,24.087,NOR,,CAR,W 19-14,,,,,,,0.0%,,,,,,,
6,1998,1998-09-27,3,24.101,NOR,@,IND,W 19-13,,1,,,,,0.0%,,,,,,,
7,1998,1998-10-04,4,24.108,NOR,,NWE,L 27-30,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0
8,1998,1998-10-11,5,24.115,NOR,,SFO,L 0-31,,3,3,38,12.67,0,100.0%,12.67,0,0,,0,0,0
9,1998,1998-10-18,6,24.122,NOR,@,ATL,L 23-31,,6,3,154,51.33,2,50.0%,25.67,0,0,,0,2,12
10,1998,1998-10-25,7,24.129,NOR,,TAM,W 9-3,,4,2,64,32.00,0,50.0%,16.00,0,0,,0,0,0
11,1998,1998-11-01,8,24.136,NOR,@,CAR,L 17-31,,8,5,90,18.00,0,62.5%,11.25,0,0,,0,0,0
12,1998,1998-11-08,9,24.143,NOR,@,MIN,L 24-31,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0
13,1998,1998-11-15,10,24.150,NOR,,STL,W 24-3,,8,3,43,14.33,0,37.5%,5.38,0,0,,0,0,0
14,1998,1998-11-22,11,24.157,NOR,@,SFO,L 20-31,,8,2,38,19.00,0,25.0%,4.75,0,0,,0,0,0
15,1998,1998-12-06,13,24.171,NOR,,DAL,W 22-3,,1,,,,,0.0%,,,,,,,
16,1998,1998-12-13,14,24.178,NOR,,ATL,L 17-27,,2,2,27,13.50,0,100.0%,13.50,0,0,,0,0,0
17,1998,1998-12-20,15,24.185,NOR,@,ARI,L 17-19,,4,1,20,20.00,0,25.0%,5.00,0,0,,0,0,0
18,1998,1998-12-27,16,24.192,NOR,,BUF,L 33-45,,1,,,,,0.0%,,,,,,,
19,1999,1999-09-12,1,25.086,NOR,,CAR,W 19-10,*,6,3,89,29.67,1,50.0%,14.83,0,0,,0,1,6
20,1999,1999-09-19,2,25.093,NOR,@,SFO,L 21-28,*,3,2,69,34.50,1,66.7%,23.00,0,0,,0,1,6
21,1999,1999-10-03,3,25.107,NOR,@,CHI,L 10-14,*,6,2,45,22.50,0,33.3%,7.50,0,0,,0,0,0
22,1999,1999-10-10,4,25.114,NOR,,ATL,L 17-20,*,5,3,50,16.67,0,60.0%,10.00,0,0,,0,0,0
23,1999,1999-10-17,5,25.121,NOR,,TEN,L 21-24,*,5,2,25,12.50,0,40.0%,5.00,0,0,,0,0,0
