ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1984,1984-09-02,1,22.007,BUF,,NWE,L 17-21,2,2,1.00,0,3,35,11.67,0,0,0
2,1984,1984-09-17,3,22.022,BUF,,MIA,L 17-21,12,34,2.83,1,3,21,7.00,0,1,6
3,1984,1984-09-23,4,22.028,BUF,,NYJ,L 26-28,0,0,,0,1,4,4.00,0,0,0
4,1984,1984-09-30,5,22.035,BUF,@,IND,L 17-31,9,24,2.67,0,0,0,,0,0,0
5,1984,1984-10-14,7,22.049,BUF,@,SEA,L 28-31,3,25,8.33,0,1,8,8.00,0,0,0
6,1984,1984-10-21,8,22.056,BUF,,DEN,L 7-37,4,16,4.00,0,1,8,8.00,0,0,0
7,1984,1984-10-28,9,22.063,BUF,@,MIA,L 7-38,3,12,4.00,0,0,0,,0,0,0
8,1984,1984-11-04,10,22.070,BUF,,CLE,L 10-13,5,17,3.40,0,0,0,,0,0,0
9,1984,1984-11-25,13,22.091,BUF,@,WAS,L 14-41,3,13,4.33,0,0,0,,0,0,0
10,1984,1984-12-02,14,22.098,BUF,,IND,W 21-15,6,25,4.17,0,0,0,,0,0,0
11,1984,1984-12-08,15,22.104,BUF,@,NYJ,L 17-21,2,7,3.50,0,0,0,,0,0,0
12,1984,1984-12-16,16,22.112,BUF,@,CIN,L 21-52,0,0,,0,0,0,,0,0,
