ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1996,1996-12-01,13,22.070,NOR,,STL,L 10-26,0,0,,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0
2,1996,1996-12-08,14,22.077,NOR,,ATL,L 15-31,1,-1,-1.00,0,5,1,57,57.00,1,20.0%,11.40,1,7,7.00,0,1,6
3,1996,1996-12-15,15,22.084,NOR,@,NYG,W 17-3,1,-3,-3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
