ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-10-09,3,26.005,NYG,@,PIT,W 19-17,0,0,1,16,0
2,1960,1960-12-04,10,26.061,NYG,,DAL,T 31-31,0,0,1,17,0
3,1960,1960-12-18,12,26.075,NYG,,CLE,L 34-48,0,0,1,12,0
4,1961,1961-10-22,6,27.018,NYG,,RAM,W 24-14,0,0,1,13,0
5,1961,1961-11-05,8,27.032,NYG,,WAS,W 53-0,0,0,1,0,0
6,1961,1961-12-10,13,27.067,NYG,@,PHI,W 28-24,0,0,1,0,0
7,1962,1962-11-11,9,28.038,NYG,@,DAL,W 41-10,0,0,1,4,0
8,1963,1963-09-15,1,28.346,NYG,@,BAL,W 37-28,0,0,1,0,0
9,1963,1963-09-29,3,28.360,NYG,@,PHI,W 37-14,0,0,1,2,0
10,1963,1963-11-10,9,29.037,NYG,,PHI,W 42-14,0,0,1,9,0
11,1963,1963-12-08,13,29.065,NYG,,WAS,W 44-14,1,6,1,36,1
12,1964,1964-09-13,1,29.345,WAS,,CLE,L 13-27,0,0,1,3,0
13,1964,1964-09-20,2,29.352,WAS,@,DAL,L 18-24,0,0,1,10,0
14,1964,1964-09-25,3,29.357,WAS,@,NYG,L 10-13,0,0,1,14,0
15,1964,1964-10-25,7,30.021,WAS,,CHI,W 27-20,0,0,1,7,0
16,1965,1965-11-21,10,31.048,WAS,@,PIT,W 31-3,0,0,1,39,0
17,1965,1965-12-05,12,31.062,WAS,@,CLE,L 16-24,0,0,1,10,0
18,1966,1966-10-02,4,31.363,WAS,,PIT,W 24-10,0,0,1,17,0
19,1967,1967-10-22,6,33.018,WAS,@,RAM,T 28-28,0,0,1,5,0
20,1967,1967-12-03,12,33.060,WAS,,PHI,T 35-35,0,0,1,3,0
21,1969,1969-10-05,3,35.001,WAS,@,SFO,T 17-17,0,0,1,15,0
22,1969,1969-10-12,4,35.008,WAS,,STL,W 33-17,0,0,1,32,0
23,1969,1969-11-09,8,35.036,WAS,,PHI,T 28-28,1,6,1,18,1
