ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1990,1990-09-09,1,23.026,TAM,@,DET,W 38-21,7,21,3.00,0,1,8,8.00,1,1,6
2,1990,1990-09-16,2,23.033,TAM,,RAM,L 14-35,1,-1,-1.00,0,0,0,,0,0,0
3,1990,1990-09-23,3,23.040,TAM,,DET,W 23-20,0,0,,0,0,0,,0,0,
4,1990,1990-09-30,4,23.047,TAM,@,MIN,W 23-20,0,0,,0,0,0,,0,0,
5,1990,1990-10-07,5,23.054,TAM,@,DAL,L 10-14,0,0,,0,0,0,,0,0,
6,1990,1990-10-14,6,23.061,TAM,,GNB,W 26-14,1,4,4.00,0,0,0,,0,0,0
7,1990,1990-10-21,7,23.068,TAM,,DAL,L 13-17,0,0,,0,0,0,,0,0,
8,1990,1990-10-28,8,23.075,TAM,@,SDG,L 10-41,0,0,,0,3,18,6.00,0,0,0
9,1990,1990-11-04,9,23.082,TAM,,CHI,L 6-26,1,1,1.00,0,2,39,19.50,1,1,6
10,1990,1990-11-11,10,23.089,TAM,@,NOR,L 7-35,2,2,1.00,0,1,10,10.00,0,0,0
11,1990,1990-11-18,11,23.096,TAM,@,SFO,L 7-31,0,0,,0,0,0,,0,0,
12,1990,1990-11-25,12,23.103,TAM,@,GNB,L 10-20,0,0,,0,0,0,,0,0,
13,1990,1990-12-02,13,23.110,TAM,,ATL,W 23-17,0,0,,0,0,0,,0,0,
14,1990,1990-12-16,14,23.124,TAM,,MIN,W 26-13,1,9,9.00,0,0,0,,0,0,0
15,1990,1990-12-23,15,23.131,TAM,@,CHI,L 14-27,0,0,,0,0,0,,0,0,
16,1990,1990-12-30,16,23.138,TAM,,NYJ,L 14-16,0,0,,0,1,10,10.00,0,0,0
17,1991,1991-09-01,1,24.018,IND,,NWE,L 7-16,0,0,,0,0,0,,0,0,
18,1991,1991-09-08,2,24.025,IND,@,MIA,L 6-17,0,0,,0,0,0,,0,0,
19,1991,1991-09-15,3,24.032,IND,@,RAI,L 0-16,0,0,,0,0,0,,0,0,
20,1991,1991-09-22,4,24.039,IND,,DET,L 24-33,0,0,,0,0,0,,0,0,
21,1991,1991-09-29,5,24.046,IND,@,SEA,L 3-31,0,0,,0,0,0,,0,0,
22,1991,1991-10-06,6,24.053,IND,,PIT,L 3-21,2,4,2.00,0,2,1,0.50,0,0,0
23,1991,1991-10-13,7,24.060,IND,@,BUF,L 6-42,1,4,4.00,0,0,0,,0,0,0
24,1991,1991-11-10,10,24.088,IND,@,NYJ,W 28-27,0,0,,0,0,0,,0,0,
25,1991,1991-11-17,11,24.095,IND,,CHI,L 17-31,0,0,,0,0,0,,0,0,
26,1991,1991-11-24,12,24.102,IND,@,GNB,L 10-14,1,3,3.00,0,0,0,,0,0,0
27,1991,1991-12-01,13,24.109,IND,,CLE,L 0-31,0,0,,0,0,0,,0,0,
28,1991,1991-12-08,14,24.116,IND,@,NWE,L 17-23,0,0,,0,0,0,,0,0,
29,1991,1991-12-15,15,24.123,IND,,BUF,L 7-35,0,0,,0,0,0,,0,0,
30,1991,1991-12-22,16,24.130,IND,@,TAM,L 3-17,0,0,,0,1,-3,-3.00,0,0,0
