ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,tackles_solo,tackles_assists
1,1998,1998-10-18,7,21.131,CHI,,DAL,W 13-12,,,,,,,0.0%,,,,
2,1998,1998-11-08,9,21.152,CHI,,STL,L 12-20,,,,,,,0.0%,,,,
3,1998,1998-11-15,10,21.159,CHI,@,DET,L 3-26,,,,,,,0.0%,,,,
4,1998,1998-11-22,11,21.166,CHI,@,ATL,L 13-20,,,,,,,0.0%,,,,
5,1998,1998-11-29,12,21.173,CHI,,TAM,L 17-31,,,,,,,0.0%,,,,
6,1998,1998-12-06,13,21.180,CHI,@,MIN,L 22-48,,,,,,,0.0%,,,,
7,1998,1998-12-13,14,21.187,CHI,@,GNB,L 20-26,,,,,,,0.0%,,,,
8,1998,1998-12-27,16,21.201,CHI,,GNB,L 13-16,,,,,,,0.0%,,,,
9,1999,1999-09-12,1,22.095,CHI,,KAN,W 20-17,*,0,,,,,0.0%,,,,
10,1999,1999-09-19,2,22.102,CHI,,SEA,L 13-14,*,,,,,,0.0%,,,,
11,1999,1999-09-26,3,22.109,CHI,@,OAK,L 17-24,*,,,,,,0.0%,,,,
12,1999,1999-10-03,4,22.116,CHI,,NOR,W 14-10,*,,,,,,0.0%,,,,
13,1999,1999-10-10,5,22.123,CHI,@,MIN,W 24-22,*,,,,,,0.0%,,,,
14,1999,1999-10-17,6,22.130,CHI,,PHI,L 16-20,*,,,,,,0.0%,,,,
15,1999,1999-10-24,7,22.137,CHI,@,TAM,L 3-6,*,,,,,,0.0%,,,,
16,1999,1999-10-31,8,22.144,CHI,@,WAS,L 22-48,*,0,,,,,0.0%,,,,
17,1999,1999-11-07,9,22.151,CHI,@,GNB,W 14-13,*,,,,,,0.0%,,,,
18,1999,1999-11-14,10,22.158,CHI,,MIN,L 24-27,*,0,,,,,0.0%,,,,
19,1999,1999-11-21,11,22.165,CHI,@,SDG,W 23-20,*,,,,,,0.0%,,,,
20,1999,1999-11-25,12,22.169,CHI,@,DET,L 17-21,*,,,,,,0.0%,,,,
21,1999,1999-12-05,13,22.179,CHI,,GNB,L 19-35,*,,,,,,0.0%,,,,
22,1999,1999-12-19,14,22.193,CHI,,DET,W 28-10,*,,,,,,0.0%,,,,
