ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-09-17,1,30.053,RAM,,CHI,L 20-24,,9,14,64.29,149,1,1,94.0,0,0,10.64,8.86,2,-5,-2.50,0,0,0,,0
2,1950,1950-09-22,2,30.058,RAM,,NYY,W 45-28,*,11,23,47.83,153,1,0,84.1,0,0,6.65,7.52,0,0,,0,0,0,,0
3,1950,1950-10-01,3,30.067,RAM,@,SFO,W 35-14,*,8,13,61.54,43,0,0,67.1,0,0,3.31,3.31,0,0,,0,0,0,,0
4,1950,1950-10-07,4,30.073,RAM,@,PHI,L 20-56,*,5,14,35.71,61,0,2,10.4,0,0,4.36,-2.07,1,1,1.00,0,0,0,,0
5,1950,1950-10-15,5,30.081,RAM,@,DET,W 30-28,,6,10,60.00,61,0,1,37.9,0,0,6.10,1.60,0,0,,0,0,0,,0
6,1950,1950-10-22,6,30.088,RAM,,BAL,W 70-27,,5,10,50.00,97,2,1,84.2,0,0,9.70,9.20,2,10,5.00,1,0,0,,0
7,1950,1950-10-29,7,30.095,RAM,,DET,W 65-24,,7,9,77.78,134,1,0,155.8,0,0,14.89,17.11,0,0,,0,0,0,,0
8,1950,1950-11-05,8,30.102,RAM,,SFO,W 28-21,,10,15,66.67,138,1,2,78.6,0,0,9.20,4.53,2,8,4.00,0,0,0,,0
9,1950,1950-11-12,9,30.109,RAM,@,GNB,W 45-14,,13,27,48.15,221,2,2,70.1,0,0,8.19,6.33,0,0,,0,0,0,,0
10,1950,1950-11-19,10,30.116,RAM,@,NYY,W 43-35,*,21,37,56.76,248,1,2,63.8,0,0,6.70,4.81,0,0,,0,0,0,,0
11,1950,1950-11-26,11,30.123,RAM,@,CHI,L 14-24,*,8,14,57.14,96,0,1,48.5,0,0,6.86,3.64,0,0,,0,0,0,,0
12,1950,1950-12-03,12,30.130,RAM,,GNB,W 51-14,*,19,27,70.37,139,2,1,91.4,0,0,5.15,4.96,0,0,,0,0,0,,0
13,1951,1951-10-07,2,31.073,RAM,,CLE,L 23-38,,6,16,37.50,106,0,1,34.9,0,0,6.63,3.81,0,0,,0,0,0,,0
14,1951,1951-10-14,3,31.080,RAM,@,DET,W 27-21,*,12,23,52.17,198,2,0,110.4,0,0,8.61,10.35,0,0,,0,0,0,,0
15,1951,1951-10-21,4,31.087,RAM,@,GNB,W 28-0,*,5,12,41.67,85,1,1,59.4,0,0,7.08,5.00,0,0,,0,0,0,,0
16,1951,1951-10-28,5,31.094,RAM,@,SFO,L 17-44,*,7,16,43.75,73,0,1,31.5,0,0,4.56,1.75,0,0,,0,0,0,,0
17,1951,1951-11-04,6,31.101,RAM,,SFO,W 23-16,*,11,22,50.00,188,1,2,56.6,0,0,8.55,5.36,3,6,2.00,1,0,0,,0
18,1951,1951-11-11,7,31.108,RAM,,CRD,W 45-21,*,5,9,55.56,116,1,0,137.5,0,0,12.89,15.11,3,35,11.67,1,0,0,,0
19,1951,1951-11-18,8,31.115,RAM,,NYY,W 48-21,*,5,11,45.45,74,0,1,30.1,0,0,6.73,2.64,1,13,13.00,1,0,0,,0
20,1951,1951-11-25,9,31.122,RAM,@,WAS,L 21-31,*,16,30,53.33,236,2,2,73.8,0,0,7.87,6.20,0,0,,0,0,0,,0
21,1951,1951-12-02,10,31.129,RAM,@,CHI,W 42-17,*,5,7,71.43,187,1,0,153.3,0,0,26.71,29.57,0,0,,0,0,0,,0
22,1951,1951-12-09,11,31.136,RAM,,DET,L 22-24,*,6,12,50.00,99,0,0,78.1,0,0,8.25,8.25,2,-5,-2.50,0,0,0,,0
23,1951,1951-12-16,12,31.143,RAM,,GNB,W 42-14,*,10,18,55.56,204,5,2,95.6,0,0,11.33,11.89,0,0,,0,0,0,,0
24,1952,1952-09-28,1,32.064,RAM,@,CLE,L 7-37,*,3,10,30.00,26,0,1,0.0,0,0,2.60,-1.90,0,0,,0,0,0,,0
25,1952,1952-10-03,2,32.069,RAM,,DET,L 14-17,*,1,6,16.67,25,0,1,4.9,0,0,4.17,-3.33,0,0,,0,1,5,5.00,0
26,1952,1952-10-12,3,32.078,RAM,@,GNB,W 30-28,,7,13,53.85,111,0,0,82.5,0,0,8.54,8.54,1,2,2.00,0,0,0,,0
27,1952,1952-10-19,4,32.085,RAM,@,DET,L 16-24,*,5,10,50.00,62,0,1,30.0,0,0,6.20,1.70,0,0,,0,0,0,,0
28,1952,1952-10-26,5,32.092,RAM,,CHI,W 31-7,*,12,20,60.00,94,0,2,32.1,0,0,4.70,0.20,5,-25,-5.00,0,0,0,,0
29,1952,1952-11-02,6,32.099,RAM,,DTX,W 42-20,,2,4,50.00,78,2,0,135.4,0,0,19.50,29.50,0,0,,0,0,0,,0
30,1952,1952-11-09,7,32.106,RAM,@,DTX,W 27-6,*,1,6,16.67,-4,0,1,0.0,0,0,-0.67,-8.17,0,0,,0,0,0,,0
31,1952,1952-11-16,8,32.113,RAM,@,CHI,W 40-24,,4,7,57.14,43,0,1,35.7,0,0,6.14,-0.29,0,0,,0,0,0,,0
32,1952,1952-11-23,9,32.120,RAM,,SFO,W 35-9,,2,5,40.00,16,0,1,9.2,0,0,3.20,-5.80,1,-8,-8.00,0,0,0,,0
33,1952,1952-11-30,10,32.127,RAM,@,SFO,W 34-21,,3,7,42.86,37,0,1,20.2,0,0,5.29,-1.14,1,-2,-2.00,0,0,0,,0
34,1952,1952-12-07,11,32.134,RAM,,GNB,W 45-27,,4,6,66.67,98,1,0,149.3,0,0,16.33,19.67,1,19,19.00,1,0,0,,0
35,1952,1952-12-14,12,32.141,RAM,,PIT,W 28-14,*,7,15,46.67,69,0,2,20.6,0,0,4.60,-1.40,0,0,,0,0,0,,0
