ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2001,2001-09-09,1,22.078,SDG,,WAS,W 30-3,*,36,113,3.14,2,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,,,,,2,12,0.0,,
2,2001,2001-09-23,2,22.092,SDG,@,DAL,W 32-21,*,27,90,3.33,0,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0,,,,,,0,0,0.0,,
3,2001,2001-09-30,3,22.099,SDG,,CIN,W 28-14,*,21,107,5.10,3,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,,,,,3,18,0.0,,
4,2001,2001-10-07,4,22.106,SDG,@,CLE,L 16-20,*,19,102,5.37,1,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,,,,,1,6,0.0,,
5,2001,2001-10-14,5,22.113,SDG,@,NWE,L 26-29,*,24,74,3.08,1,3,3,13,4.33,0,100.0%,4.33,0,0,,0,0,0,,,,,,1,6,0.0,,
6,2001,2001-10-21,6,22.120,SDG,,DEN,W 27-10,*,25,58,2.32,0,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,,,,,0,0,0.0,,
7,2001,2001-10-28,7,22.127,SDG,,BUF,W 27-24,*,16,76,4.75,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,,,,,0,0,0.0,,
8,2001,2001-11-04,8,22.134,SDG,,KAN,L 20-25,*,13,31,2.38,1,5,2,20,10.00,0,40.0%,4.00,0,0,,0,0,0,,,,,,1,6,0.0,,
9,2001,2001-11-11,9,22.141,SDG,@,DEN,L 16-26,*,14,75,5.36,0,6,3,21,7.00,0,50.0%,3.50,0,0,,0,0,0,,,,,,0,0,0.0,,
10,2001,2001-11-18,10,22.148,SDG,@,OAK,L 24-34,*,22,68,3.09,1,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0,,,,,,1,6,0.0,,
11,2001,2001-11-25,11,22.155,SDG,,ARI,L 17-20,*,21,75,3.57,0,14,13,72,5.54,0,92.9%,5.14,0,0,,0,0,0,,,,,,0,0,0.0,,
12,2001,2001-12-02,12,22.162,SDG,@,SEA,L 10-13,*,24,87,3.63,1,4,4,26,6.50,0,100.0%,6.50,0,0,,0,0,0,,,,,,1,6,0.0,,
13,2001,2001-12-09,13,22.169,SDG,@,PHI,L 14-24,*,19,51,2.68,0,5,4,13,3.25,0,80.0%,2.60,0,0,,0,0,0,,,,,,0,0,0.0,,
14,2001,2001-12-15,14,22.175,SDG,,OAK,L 6-13,*,17,46,2.71,0,7,6,23,3.83,0,85.7%,3.29,0,0,,0,0,0,,,,,,0,0,0.0,,
15,2001,2001-12-23,15,22.183,SDG,@,KAN,L 17-20,*,27,145,5.37,0,3,3,11,3.67,0,100.0%,3.67,0,0,,0,0,0,,,,,,0,0,0.0,,
16,2001,2001-12-30,16,22.190,SDG,,SEA,L 22-25,*,14,38,2.71,0,12,10,68,6.80,0,83.3%,5.67,0,0,,0,0,0,,,,,,0,0,0.0,,
17,2002,2002-09-08,1,23.077,SDG,@,CIN,W 34-6,*,21,114,5.43,1,3,3,45,15.00,0,100.0%,15.00,0,0,,0,0,0,,,,,,1,6,0.0,,
18,2002,2002-09-15,2,23.084,SDG,,HOU,W 24-3,*,27,84,3.11,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,0,0,0.0,,
19,2002,2002-09-22,3,23.091,SDG,@,ARI,W 23-15,*,26,91,3.50,2,5,5,25,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,2,12,0.0,,
20,2002,2002-09-29,4,23.098,SDG,,NWE,W 21-14,*,27,217,8.04,2,6,4,20,5.00,0,66.7%,3.33,0,0,,0,0,0,,,,,,2,12,0.0,,
