ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1951,1951-12-16,12,27.252,DET,@,SFO,L 17-21,0,10,,0,,,,,,,0,
2,1960,1960-10-02,1,36.177,DET,@,GNB,L 9-28,0,0,,0,,,,3,3,100.0,0,9
3,1960,1960-10-09,2,36.184,DET,,SFO,L 10-14,0,0,,0,1,1,100.0,1,2,50.0,0,4
4,1960,1960-10-16,3,36.191,DET,@,PHI,L 10-28,0,0,,0,1,1,100.0,1,2,50.0,0,4
5,1960,1960-10-23,4,36.198,DET,,BAL,W 30-17,0,0,,0,3,3,100.0,3,4,75.0,0,12
6,1960,1960-10-30,5,36.205,DET,@,RAM,L 35-48,0,0,,0,5,5,100.0,,,,0,5
7,1960,1960-11-06,6,36.212,DET,@,SFO,W 24-0,0,0,,0,3,3,100.0,1,3,33.3,0,6
8,1960,1960-11-13,7,36.219,DET,,RAM,W 12-10,0,0,,0,,1,0.0,2,2,100.0,0,6
9,1960,1960-11-20,8,36.226,DET,@,CHI,L 7-28,0,0,,0,1,1,100.0,,3,0.0,0,1
10,1960,1960-11-24,9,36.230,DET,,GNB,W 23-10,0,0,,0,3,3,100.0,,1,0.0,0,3
11,1960,1960-12-04,10,36.240,DET,@,BAL,W 20-15,0,0,,0,2,2,100.0,2,3,66.7,0,8
12,1960,1960-12-11,11,36.247,DET,,DAL,W 23-14,0,0,,0,3,3,100.0,,1,0.0,0,3
13,1960,1960-12-18,12,36.254,DET,,CHI,W 36-0,0,0,,0,4,5,80.0,,,,0,4
14,1961,1961-09-17,1,37.162,DET,@,GNB,W 17-13,0,0,,0,2,2,100.0,1,2,50.0,0,5
15,1961,1961-09-24,2,37.169,DET,@,BAL,W 16-15,0,0,,0,1,1,100.0,3,3,100.0,0,10
16,1961,1961-10-01,3,37.176,DET,,SFO,L 0-49,0,0,,0,,,,,1,0.0,0,0
