ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1971,1971-09-19,1,22.174,SFO,@,ATL,L 17-20,0,0,,0,2,97,48.50,0
2,1971,1971-09-26,2,22.181,SFO,@,NOR,W 38-20,1,-9,-9.00,0,1,48,48.00,0
3,1971,1971-10-03,3,22.188,SFO,@,PHI,W 31-3,0,0,,0,3,102,34.00,0
4,1971,1971-10-10,4,22.195,SFO,,RAM,L 13-20,0,0,,0,5,211,42.20,0
5,1971,1971-10-17,5,22.202,SFO,,CHI,W 13-0,0,0,,0,5,215,43.00,0
6,1971,1971-10-24,6,22.209,SFO,@,STL,W 26-14,0,0,,0,5,207,41.40,0
7,1971,1971-10-31,7,22.216,SFO,,NWE,W 27-10,1,-6,-6.00,0,4,150,37.50,0
8,1971,1971-11-07,8,22.223,SFO,@,MIN,W 13-9,0,0,,0,3,105,35.00,0
9,1971,1971-11-21,10,22.237,SFO,@,RAM,L 6-17,0,0,,0,5,201,40.20,0
10,1971,1971-11-28,11,22.244,SFO,@,NYJ,W 24-21,0,0,,0,5,153,30.60,1
11,1971,1971-12-06,12,22.252,SFO,,KAN,L 17-26,0,0,,0,4,128,32.00,0
12,1971,1971-12-12,13,22.258,SFO,,ATL,W 24-3,0,0,,0,5,194,38.80,0
13,1971,1971-12-19,14,22.265,SFO,,DET,W 31-27,0,0,,0,2,86,43.00,0
14,1972,1972-09-17,1,23.172,SFO,,SDG,W 34-3,0,0,,0,5,204,40.80,0
15,1972,1972-09-24,2,23.179,SFO,@,BUF,L 20-27,0,0,,0,6,258,43.00,0
16,1972,1972-10-01,3,23.186,SFO,@,NOR,W 37-2,0,0,,0,5,188,37.60,1
17,1972,1972-10-08,4,23.193,SFO,@,RAM,L 7-31,0,0,,0,5,231,46.20,0
18,1972,1972-10-22,6,23.207,SFO,,NOR,T 20-20,0,0,,0,5,201,40.20,0
19,1972,1972-10-29,7,23.214,SFO,@,ATL,W 49-14,0,0,,0,4,155,38.75,0
20,1972,1972-11-05,8,23.221,SFO,@,GNB,L 24-34,0,0,,0,7,286,40.86,0
21,1972,1972-11-12,9,23.228,SFO,,BAL,W 24-21,0,0,,0,4,159,39.75,0
22,1972,1972-11-19,10,23.235,SFO,@,CHI,W 34-21,0,0,,0,7,266,38.00,0
23,1972,1972-11-23,11,23.239,SFO,@,DAL,W 31-10,0,0,,0,7,283,40.43,0
24,1972,1972-12-04,12,23.250,SFO,,RAM,L 16-26,0,0,,0,3,116,38.67,0
25,1972,1972-12-10,13,23.256,SFO,,ATL,W 20-0,0,0,,0,3,79,26.33,0
26,1972,1972-12-16,14,23.262,SFO,,MIN,W 20-17,0,0,,0,3,116,38.67,0
27,1973,1973-10-14,5,24.199,NYG,,WAS,L 3-21,0,0,,0,6,167,27.83,1
28,1973,1973-10-21,6,24.206,NYG,@,DAL,L 28-45,0,0,,0,6,127,21.17,2
29,1975,1975-12-07,12,26.253,KAN,,SDG,L 20-28,0,0,,0,5,194,38.80,0
30,1975,1975-12-14,13,26.260,KAN,@,CLE,L 14-40,0,0,,0,6,175,29.17,1
31,1975,1975-12-21,14,26.267,KAN,@,OAK,L 20-28,0,0,,0,3,124,41.33,0
