ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1995,1995-09-03,1,23.336,STL,@,GNB,W 17-14,2,2,100.0,1,1,100.0,0,5
2,1995,1995-09-10,2,23.343,STL,,NOR,W 17-13,2,2,100.0,1,2,50.0,0,5
3,1995,1995-09-17,3,23.350,STL,@,CAR,W 31-10,4,4,100.0,1,4,25.0,0,7
4,1995,1995-09-24,4,23.357,STL,,CHI,W 34-28,4,4,100.0,2,2,100.0,0,10
5,1995,1995-10-01,5,23.364,STL,@,IND,L 18-21,1,1,100.0,1,1,100.0,0,4
6,1995,1995-10-12,6,24.010,STL,,ATL,W 21-19,3,3,100.0,,1,0.0,0,3
7,1995,1995-10-22,7,24.020,STL,,SFO,L 10-44,1,1,100.0,1,2,50.0,0,4
8,1995,1995-10-29,8,24.027,STL,@,PHI,L 9-20,,,,1,3,33.3,0,3
9,1995,1995-11-05,9,24.034,STL,@,NOR,L 10-19,,,,,,,,
10,1995,1995-11-12,10,24.041,STL,,CAR,W 28-17,,,,,,,,
11,1995,1995-11-19,11,24.048,STL,@,ATL,L 6-31,,,,,,,,
12,1995,1995-11-26,12,24.055,STL,@,SFO,L 13-41,,,,,,,,
13,1995,1995-12-03,13,24.062,STL,@,NYJ,W 23-20,,,,,,,,
14,1995,1995-12-10,14,24.069,STL,,BUF,L 27-45,,,,,,,,
15,1995,1995-12-17,15,24.076,STL,,WAS,L 23-35,,,,,,,,
16,1995,1995-12-24,16,24.083,STL,,MIA,L 22-41,,,,,,,,
