ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1999,1999-10-24,6,23.140,NOR,@,NYG,L 3-31,,1,1,1.00,0
2,1999,1999-10-31,7,23.147,NOR,,CLE,L 16-21,,,,,
3,1999,1999-11-07,8,23.154,NOR,,TAM,L 16-31,,,,,
4,1999,1999-11-14,9,23.161,NOR,,SFO,W 24-6,,,,,
5,1999,1999-11-28,11,23.175,NOR,@,STL,L 12-43,,,,,
6,1999,1999-12-05,12,23.182,NOR,@,ATL,L 12-35,,,,,
7,1999,1999-12-12,13,23.189,NOR,,STL,L 14-30,,,,,
8,1999,1999-12-19,14,23.196,NOR,@,BAL,L 8-31,,,,,
9,1999,1999-12-24,15,23.201,NOR,,DAL,W 31-24,,,,,
