ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,def_int,def_int_yds,def_int_td
1,1999,1999-10-24,7,21.358,BUF,@,SEA,L 16-26,,,,,,
2,1999,1999-10-31,8,22.000,BUF,@,BAL,W 13-10,,,,,,
3,1999,1999-11-07,9,22.007,BUF,@,WAS,W 34-17,,,,,,
4,1999,1999-11-14,10,22.014,BUF,,MIA,W 23-3,,,,,,
5,1999,1999-11-21,11,22.021,BUF,@,NYJ,L 7-17,,,,,,
6,1999,1999-11-28,12,22.028,BUF,,NWE,W 17-7,,,,,,
7,1999,1999-12-12,13,22.042,BUF,,NYG,L 17-19,,,,,,
8,1999,1999-12-19,14,22.049,BUF,@,ARI,W 31-21,,,,,,
9,1999,1999-12-26,15,22.056,BUF,@,NWE,W 13-10,,,,,,
10,1999,2000-01-02,16,22.063,BUF,,IND,W 31-6,,,,,,
11,2000,2000-09-03,1,22.308,BUF,,TEN,W 16-13,*,0,0,1,8,0
12,2000,2000-09-10,2,22.315,BUF,,GNB,W 27-18,,,,,,
13,2000,2000-09-17,3,22.322,BUF,@,NYJ,L 14-27,,,,,,
14,2000,2000-10-01,4,22.336,BUF,,IND,L 16-18,*,,,,,
15,2000,2000-10-08,5,22.343,BUF,@,MIA,L 13-22,,,,,,
16,2000,2000-10-15,6,22.350,BUF,,SDG,W 27-24,,,,,,
17,2000,2000-10-22,7,22.357,BUF,@,MIN,L 27-31,,,,,,
18,2000,2000-10-29,8,22.364,BUF,,NYJ,W 23-20,*,0,0,1,22,0
19,2000,2000-11-05,9,23.005,BUF,@,NWE,W 16-13,*,,,,,
20,2000,2000-11-12,10,23.012,BUF,,CHI,W 20-3,,0,0,2,31,0
21,2000,2000-11-19,11,23.019,BUF,@,KAN,W 21-17,*,0,0,1,2,0
22,2000,2000-11-26,12,23.026,BUF,@,TAM,L 17-31,*,,,,,
23,2001,2001-09-09,1,23.313,BUF,,NOR,L 6-24,*,,,,,
24,2001,2001-09-23,2,23.327,BUF,@,IND,L 26-42,*,,,,,
25,2001,2001-09-30,3,23.334,BUF,,PIT,L 3-20,*,,,,,
