ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2015,2015-09-13,1,22.243,TAM,,TEN,L 14-42,,2,2,100.0,,,,0,2
2,2015,2015-09-20,2,22.250,TAM,@,NOR,W 26-19,,2,2,100.0,4,5,80.0,0,14
3,2015,2015-09-27,3,22.257,TAM,@,HOU,L 9-19,,,1,0.0,1,4,25.0,0,3
4,2015,2015-10-04,4,22.264,TAM,,CAR,L 23-37,,2,3,66.7,1,3,33.3,0,5
