ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1995,1995-10-19,7,23.003,PIT,,CIN,L 9-27,,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,,0,0.0%,,0,,,,,
2,1995,1995-10-29,8,23.013,PIT,,JAX,W 24-7,,0,0,,0,0,0,,0,,,,2,16,8.00,0,0,0,0,,0,0.0%,,0,0,0,0,,0
3,1995,1995-11-05,9,23.020,PIT,@,CHI,W 37-34,,0,0,,0,0,0,,0,,,,1,2,2.00,0,1,1,27,27.00,0,100.0%,27.00,0,0,0,0,,0
4,1995,1995-11-13,10,23.028,PIT,,CLE,W 20-3,,1,1,100.00,2,1,0,118.7,0,0,2.00,22.00,2,13,6.50,0,2,2,21,10.50,0,100.0%,10.50,0,0,0,0,,0
5,1995,1995-11-19,11,23.034,PIT,@,CIN,W 49-31,,0,0,,0,0,0,,0,,,,1,15,15.00,0,2,2,86,43.00,1,100.0%,43.00,1,6,0,0,,0
6,1995,1995-11-26,12,23.041,PIT,@,CLE,W 20-17,,2,2,100.00,17,0,0,102.1,0,0,8.50,8.50,0,0,,0,3,2,36,18.00,0,66.7%,12.00,0,0,0,0,,0
7,1995,1995-12-03,13,23.048,PIT,,HOU,W 21-7,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,7,7.00,0,2,0,0,,0,0.0%,0.00,0,0,0,0,,0
8,1995,1995-12-10,14,23.055,PIT,@,OAK,W 29-10,,0,0,,0,0,0,,0,,,,2,5,2.50,0,1,1,23,23.00,0,100.0%,23.00,0,0,0,0,,0
9,1995,1995-12-16,15,23.061,PIT,,NWE,W 41-27,,2,3,66.67,41,0,0,109.7,0,0,13.67,13.67,4,25,6.25,1,0,0,0,,0,0.0%,,1,6,0,0,,0
10,1995,1995-12-24,16,23.069,PIT,@,GNB,L 19-24,,0,0,,0,0,0,,0,,,,2,3,1.50,0,9,6,42,7.00,0,66.7%,4.67,0,0,0,0,,0
11,1996,1996-09-01,1,23.321,PIT,@,JAX,L 9-24,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,3,4,1.33,0,1,1,8,8.00,0,100.0%,8.00,0,0,0,0,,0
12,1996,1996-09-08,2,23.328,PIT,,BAL,W 31-17,,0,0,,0,0,0,,0,,,,4,26,6.50,0,3,2,22,11.00,0,66.7%,7.33,0,0,0,0,,0
13,1996,1996-09-16,3,23.336,PIT,,BUF,W 24-6,,1,1,100.00,3,0,0,79.2,0,0,3.00,3.00,4,-5,-1.25,0,3,3,65,21.67,0,100.0%,21.67,0,0,0,0,,0
14,1996,1996-09-29,4,23.349,PIT,,HOU,W 30-16,,0,0,,0,0,0,,0,,,,3,15,5.00,0,7,4,40,10.00,1,57.1%,5.71,1,6,0,0,,0
15,1996,1996-10-07,5,23.357,PIT,@,KAN,W 17-7,,0,0,,0,0,0,,0,,,,3,-11,-3.67,0,4,1,31,31.00,0,25.0%,7.75,0,0,0,0,,0
16,1996,1996-10-13,6,23.363,PIT,,CIN,W 20-10,,0,0,,0,0,0,,0,,,,0,0,,0,4,2,31,15.50,1,50.0%,7.75,1,6,0,0,,0
17,1996,1996-10-20,7,24.004,PIT,@,HOU,L 13-23,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,6,6.00,0,2,0,0,,0,0.0%,0.00,0,0,0,0,,0
18,1996,1996-10-27,8,24.011,PIT,@,ATL,W 20-17,,1,2,50.00,13,0,0,70.8,1,27,6.50,6.50,0,0,,0,2,1,4,4.00,0,50.0%,2.00,0,0,0,0,,0
19,1996,1996-11-03,9,24.018,PIT,,STL,W 42-6,,0,0,,0,0,0,,0,,,,3,12,4.00,2,0,0,0,,0,0.0%,,2,12,0,0,,0
20,1996,1996-11-10,10,24.025,PIT,@,CIN,L 24-34,,0,0,,0,0,0,,0,,,,3,0,0.00,1,2,1,36,36.00,0,50.0%,18.00,1,6,0,0,,0
21,1996,1996-11-17,11,24.032,PIT,,JAX,W 28-3,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,1,1.00,0,2,0,0,,0,0.0%,0.00,0,0,0,0,,0
22,1996,1996-11-25,12,24.040,PIT,@,MIA,W 24-17,,0,0,,0,0,0,,0,,,,4,5,1.25,1,2,0,0,,0,0.0%,0.00,1,6,0,0,,0
