ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2007,2007-09-09,1,23.321,KAN,@,HOU,L 3-20,,,,,1,2,50.0,0,3
2,2012,2012-09-09,1,28.322,CAR,@,TAM,L 10-16,,1,1,100.0,1,1,100.0,0,4
3,2012,2012-09-16,2,28.329,CAR,,NOR,W 35-27,,5,5,100.0,,,,0,5
4,2012,2012-09-20,3,28.333,CAR,,NYG,L 7-36,,1,1,100.0,,,,0,1
5,2012,2012-09-30,4,28.343,CAR,@,ATL,L 28-30,,4,4,100.0,,,,0,4
6,2012,2012-10-07,5,28.350,CAR,,SEA,L 12-16,,1,1,100.0,1,1,100.0,0,4
7,2012,2012-10-21,6,28.364,CAR,,DAL,L 14-19,,2,2,100.0,,,,0,2
8,2012,2012-10-28,7,29.005,CAR,@,CHI,L 22-23,,1,1,100.0,5,5,100.0,0,16
9,2012,2012-11-04,8,29.012,CAR,@,WAS,W 21-13,,3,3,100.0,,1,0.0,0,3
10,2012,2012-11-11,9,29.019,CAR,,DEN,L 14-36,,2,2,100.0,,1,0.0,0,2
11,2012,2012-11-18,10,29.026,CAR,,TAM,L 21-27,,3,3,100.0,,1,0.0,0,3
